mouse,n_trials,r2_signed,r2_unsigned,delta_r2
WCL23,982,0.055952397558142145,0.021710938622615326,0.03424145893552682
WCL24,853,0.03161791143948021,0.014523561680095743,0.017094349759384467
WCL27,1077,0.045918933448886826,0.059582288068378106,-0.01366335461949128
WCL28,857,0.008853202743492484,0.025456276987558833,-0.01660307424406635
WCL29,1076,0.03910239611319995,0.03222708475839549,0.006875311354804459
