mouse,n_trials,peak_r2,peak_time_s
WCL23,982,0.255121930387078,0.864
WCL24,853,0.2951239414818676,1.404
WCL27,1077,0.3529726938968474,1.188
WCL28,857,0.1798202585000891,1.728
WCL29,1076,0.25442010063223486,0.864
