mouse,n_trials,beta_rpe,se_rpe,t_rpe,p_rpe,r2_rpe,r2_outcome_only,r2_outcome_plus_value,r2_outcome_x_value,interaction_coef,interaction_p
WCL23,982,-0.9841871045676231,0.13146733553493675,-7.486172139740982,1.5773914194126657e-13,0.05409310768802644,0.07975757475653189,0.08581591256411614,0.09054703715191226,-0.743685864457452,0.024316194858191496
WCL24,853,-0.9783981207541161,0.15746585009581227,-6.213398779219725,8.107316783823544e-10,0.04339708849990265,0.08165109106459822,0.08463987139226015,0.09600844156213895,-1.241958809714763,0.0011283238365812646
WCL27,1077,-0.9502731567090542,0.11829509645519828,-8.033073095882294,2.483348788678463e-15,0.056628828069296366,0.08697883705568388,0.09179537443149555,0.12400741156973294,-1.868423449666986,4.866050044698468e-10
WCL28,857,-0.3992671827609031,0.1531169599255209,-2.607596068751068,0.009277010075753782,0.007889952136204359,0.0434336319119516,0.04484025871419872,0.05514160745325003,-1.143885090487169,0.002362535901624182
WCL29,1076,-0.9565979560241674,0.13661550214192653,-7.002118654370432,4.436909291156875e-12,0.04365838868691807,0.0970495711745547,0.09756482684182188,0.10862947229112663,-1.2569291482237843,0.0002771639867822542
