mouse,n_trials,peak_r2,peak_time_s
WCL23,550,0.3488624047618173,0.972
WCL24,935,0.2736095365245216,1.566
WCL27,1304,0.39033644469916173,0.972
WCL28,1113,0.0934072483576196,0.0
WCL29,1037,0.2728734847423462,2.754
