mouse,interaction_coef_post,interaction_p_post,r2_post,n_trials,interaction_coef_pre,interaction_p_pre,r2_pre
SM1L,-0.4666862145488024,5.776377418218891e-05,0.0260078254509557,10324,-0.033884291437832836,0.5612684416112026,0.004345395327101098
SM1N,-1.0309043653456789,2.0019946517786815e-18,0.06576542810574815,7789,0.06664987967016744,0.27306636397003686,0.0004022619236609959
SM2L,-0.2937018192552816,0.002136651655016029,0.09039827008607204,8151,-0.017587871199903578,0.7374384979185704,0.006434563006287419
SM2N,-0.6696130528584144,4.3832870330070755e-12,0.042907085069559536,10247,-0.028013707704233025,0.5894284874623315,0.015151370077738813
SM2R,-1.1462922542943228,5.502591323595207e-28,0.05463691441630025,9668,0.022564041518228464,0.6560323858916455,0.00040216416166505287
SM3FR,-0.04538941630751395,0.8970218687824623,0.04542424848765214,752,0.05261721849411965,0.7725693029474848,0.005399796619332875
SM3MN,-0.7435363508364917,1.593609918772786e-08,0.03377484426259192,5959,-0.026636961007957614,0.7069371609017239,0.011528169751368611
SM3MR,-0.12419085521997136,0.5004876382995649,0.020008024706501426,3226,-0.09008874973637299,0.3601965219246417,0.014355672292042043
