mouse,n_trials,peak_r2,peak_time_s
SM1L,10324,0.03789039658138327,1.89
SM1N,5438,0.14806357482245902,1.944
SM2L,4291,0.23499964497507309,1.188
SM2N,8560,0.14896598563423724,1.728
SM2R,7618,0.24989590584957633,1.728
SM3FR,752,0.22620154105975465,1.35
SM3MN,5959,0.1945453744140323,1.836
SM3MR,3226,0.11821481367560627,2.43
