mouse,n_trials,r2_signed,r2_unsigned,delta_r2
SM1L,10324,0.007969626201207513,0.0054715260837800315,0.0024981001174274814
SM1N,5438,0.008915243822756592,0.003601571122271707,0.005313672700484885
SM2L,4291,0.055810200707612466,0.008757713561005099,0.04705248714660737
SM2N,8560,0.015836772726903602,0.010111515172010432,0.0057252575548931706
SM2R,7618,0.0397134337852717,0.02666637323683585,0.013047060548435852
SM3FR,752,0.06865535792215689,0.0226344603144766,0.04602089760768029
SM3MN,5959,0.018988031773030857,0.0052592165281649,0.013728815244865956
SM3MR,3226,0.02819142626044695,0.010400929679631998,0.017790496580814955
