mouse,n_samples,n_trials,r2_mean,r2_std,n_splits
WCL23,38885,1053,0.26909419813438007,0.03286221877329781,10
WCL24,32756,974,0.25978909995032795,0.024466698275076318,10
WCL27,42066,1145,0.395133545464227,0.0376224517148835,10
WCL28,41627,1109,0.1939010610641791,0.044155197057389656,10
WCL29,36540,956,0.18029368655708247,0.042771889852160794,10
