mouse,n_trials,peak_r2,peak_time_s
WCL23,1053,0.2850360415727886,0.972
WCL24,974,0.28270420749306413,1.296
WCL27,1145,0.34207702631492487,0.972
WCL28,1109,0.21035961319611585,1.89
WCL29,956,0.24680229107146856,0.918
