mouse,n_trials,peak_r2,peak_time_s
WCL30,796,0.514263638611941,0.8099999999999999
WCL31,960,0.27024412288334365,3.186
WCL32,840,0.3834985861882244,1.08
WCL33,1042,0.4098201830872119,1.134
