mouse,n_trials,r2_signed,r2_unsigned,delta_r2
WCL23,4680,0.031507007361898466,0.03702436849230959,-0.005517361130411125
WCL24,4991,0.005490195841742906,0.02985401682650306,-0.024363820984760157
WCL27,3706,0.056678107362927756,0.06811451098490114,-0.01143640362197338
WCL28,2399,0.010684253963290846,0.032465717300336074,-0.021781463337045226
WCL29,3351,0.037156869641742515,0.03396472737937366,0.003192142262368858
