mouse,n_trials,beta_rpe,se_rpe,t_rpe,p_rpe,r2_rpe,r2_outcome_only,r2_outcome_plus_value,r2_outcome_x_value,interaction_coef,interaction_p
WCL23,4680,-0.843464567237799,0.07046704881379222,-11.969630932985961,1.5246914157632908e-32,0.029716652109663566,0.04108864119275302,0.04423044885182981,0.06082598336778733,-1.6645509637592728,1.4341871432511076e-19
WCL24,4991,-0.4151703285141263,0.07235760829020438,-5.737756378693506,1.0159912383391738e-08,0.006555627358605154,0.042384337736826594,0.0451210564502863,0.05648751194014323,-1.3899314402006184,1.0973804693211933e-14
WCL27,3706,-0.8180008757850791,0.06677145741163175,-12.25075664804317,7.460686123946217e-34,0.03894081026120533,0.05406814863305964,0.05904929042857088,0.08895247946902463,-1.8320898639095127,7.9667118457007375e-28
WCL28,2399,-0.12850545461846385,0.09562982555527057,-1.3437800798265847,0.17914669607782802,0.0007527682917950473,0.02403303654255473,0.03156413456785889,0.03675673410071967,-0.8740159013295311,0.00033327229019499446
WCL29,3351,-0.9744600676844712,0.08276558439305129,-11.77373511986322,2.1972827271190196e-31,0.03974653354963198,0.05583011573287355,0.06137462006734995,0.07937987410006797,-1.6524946857506966,8.213662388807079e-16
