mouse,n_trials,peak_r2,peak_time_s
WCL23,4680,0.1953719153452047,1.134
WCL24,4991,0.17285328258411525,2.16
WCL27,3706,0.29681119283111246,1.134
WCL28,2399,0.16056415392035217,2.16
WCL29,3351,0.16631092741410325,2.214
