peth_time,r_squared,r_squared_adj,n_trials,Intercept_beta,Intercept_se,Intercept_tstat,Intercept_pvalue,C(Q_diff_bin)[T.1]_beta,C(Q_diff_bin)[T.1]_se,C(Q_diff_bin)[T.1]_tstat,C(Q_diff_bin)[T.1]_pvalue,C(Q_diff_bin)[T.2]_beta,C(Q_diff_bin)[T.2]_se,C(Q_diff_bin)[T.2]_tstat,C(Q_diff_bin)[T.2]_pvalue,C(Q_diff_bin)[T.3]_beta,C(Q_diff_bin)[T.3]_se,C(Q_diff_bin)[T.3]_tstat,C(Q_diff_bin)[T.3]_pvalue,C(Q_diff_bin)[T.4]_beta,C(Q_diff_bin)[T.4]_se,C(Q_diff_bin)[T.4]_tstat,C(Q_diff_bin)[T.4]_pvalue,Reward_beta,Reward_se,Reward_tstat,Reward_pvalue,Port_beta,Port_se,Port_tstat,Port_pvalue
-2.16,0.07757420075712129,0.07515841952820057,2298,1.0257065243583965,0.08322315739614938,12.324773013308606,7.673777152999601e-34,-0.15063388310072984,0.10835420176514017,-1.3901988169063504,0.16460355689327902,-0.8006469819909645,0.09921543990919213,-8.06978210975796,1.1246336417834964e-15,-0.4156244235980924,0.1236594578817287,-3.361040317640782,0.0007892373242221792,0.09838840590741194,0.133483814366996,0.7370811687843,0.46114846570420576,0.10743551122498095,0.031131848702419036,3.450983982735111,0.0005686644066678504,-0.13009989647319178,0.03844871893854811,-3.383725129597376,0.0007271289874511363
-2.106,0.0875459221280438,0.08485828125065953,2044,1.0293886196146167,0.08417339126843452,12.229382755077886,3.074933229669812e-33,-0.22020868848350772,0.10923396893198054,-2.0159359825205163,0.04393773416866458,-0.8466685590597921,0.09868526322128225,-8.579483211807469,1.8568122070993676e-17,-0.5838613420546639,0.12311477697166391,-4.742414813365949,2.258257959857031e-06,-0.038247005237517326,0.13590824247250866,-0.2814178488494094,0.7784185131755041,0.11067088800621536,0.030554265108021512,3.6221093066696133,0.0002993593170611117,-0.118979583465118,0.037104052201739304,-3.2066466168765433,0.0013637371966277463
-2.052,0.08146270130137645,0.07839238163998818,1802,0.9031456444046301,0.08497640132596565,10.62819359624567,1.2506923187723922e-25,-0.17178496773115742,0.11024921520042864,-1.5581513883691531,0.11937364728129625,-0.7683795041456716,0.09817601463102323,-7.82655017148014,8.499093645569521e-15,-0.5538617106385197,0.12182861838273942,-4.546236491810945,5.8262073811256385e-06,-0.03897180805925232,0.13749664676743753,-0.28343824358981945,0.7768736012537032,0.08313788016604236,0.029742863569056775,2.79522111154541,0.005241610073248687,-0.10878368512811223,0.035595901675709474,-3.0560733120112493,0.002275612759354785
-1.998,0.07342458225770243,0.06996721129597738,1615,0.7963172285849881,0.08508899170376169,9.358639850350745,2.6217030808883293e-20,-0.1376813685956549,0.11014605468348412,-1.2499891075653713,0.21148541289191639,-0.6876083171202784,0.09707806479473204,-7.08304516137812,2.1008291665995398e-12,-0.5172329109580786,0.12005702568034865,-4.308226928220003,1.7453228681232507e-05,-0.14070033440652036,0.13610313034901467,-1.033777357256346,0.3013957070211613,0.07172567134348629,0.02867375644565472,2.5014396519489077,0.012467688985685501,-0.10022780485913503,0.03396862773761917,-2.9505991714859867,0.003217467751987136
-1.944,0.0810592143892993,0.0772169532647945,1442,0.7802931864637248,0.08337038636225634,9.359356727378454,2.9859090284129087e-20,-0.2665822478734702,0.10687482174461517,-2.4943409824859124,0.012730894095142161,-0.7189057153718156,0.0941248921063514,-7.637785279578609,4.014820406042566e-14,-0.5465930694430601,0.11496154390827772,-4.754573145600414,2.188583171224318e-06,-0.2321377155376949,0.13396954549547266,-1.7327648211327233,0.08335231907336263,0.08379264525546878,0.027251572800002274,3.074781990398066,0.002146320676366284,-0.08389114921859415,0.03181360825603612,-2.6369580131696364,0.008455631218476593
-1.89,0.0893206801314732,0.0849424141705668,1255,0.700225030616398,0.08247647454111469,8.489997111447027,5.789643458106833e-17,-0.23930705122848125,0.10570657571131474,-2.2638804598309017,0.02375253838764558,-0.7030744364860193,0.09237286360406978,-7.611266004478864,5.329199593285328e-14,-0.5370755281199999,0.11296791993641836,-4.7542304790800936,2.2235523539372725e-06,-0.18608704380940153,0.13633743576137275,-1.364900570193384,0.17253031621784895,0.06570107886721294,0.02656913782748435,2.472834432709694,0.0135370533454839,-0.08479456955853393,0.030689598019767658,-2.7629742658706835,0.005811873715261346
-1.836,0.11817740983760905,0.11393787815413603,1255,0.6205872193294478,0.07796669963633353,7.959644594732158,3.849221239042103e-15,-0.18052486371954288,0.09992658978119846,-1.8065748477439711,0.07106938410860023,-0.7321248539240117,0.08732195879173157,-8.384200996569215,1.362693757737004e-16,-0.5628381672834124,0.10679088711331171,-5.270470004488365,1.6019153319374336e-07,-0.17158220247661574,0.1288825687850649,-1.3313065071100516,0.18333130843085305,0.07770607735455681,0.025116349845423727,3.093844361652539,0.0020197107381888886,-0.09539852437324149,0.029011505208970136,-3.2882997171668635,0.0010360358500140635
-1.782,,,877,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.728,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.674,,,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,
