age_group,mouse,lose_switch_prob
young,SM1L,0.21052631578947367
young,SM1N,0.3515850144092219
young,SM2N,0.2184950135992747
young,SM2R,0.3234011627906977
old,SM1L,0.3039364118092354
old,SM1N,0.3446206600942992
old,SM2N,0.342915116672303
old,SM2R,0.41942703670546105
old,SM3FR,0.2532467532467532
