mouse,age_group,kappa
SM1L,old,1.3087571014374015
SM1L,young,1.7471120004255347
SM1N,old,1.1171005128861966
SM1N,young,1.0977891916184797
SM2N,old,1.2045398166089663
SM2N,young,1.7101633616959144
SM2R,old,0.8286694789468179
SM2R,young,1.2989816526995521
SM3FR,old,1.5400912168385792
