age_group,mouse,n_trials,r2_word_l1,r2_word_l2,increment
young,SM1L,1890,-0.005584225393645959,-0.012879042426769849,-0.00729481703312389
young,SM1N,1069,-0.0044786757977713035,0.01664708124249123,0.02112575704026253
young,SM2N,1905,0.0400078760513362,0.0369294497257183,-0.003078426325617896
young,SM2R,2151,0.02032333623804843,0.023104845015944286,0.0027815087778958573
old,SM1L,4444,0.03359729720965423,0.02843442560654663,-0.005162871603107598
old,SM1N,3835,0.01472922055673056,0.03315444925613178,0.01842522869940122
old,SM2N,4594,0.014730773286210063,0.028774312939019053,0.01404353965280899
old,SM2R,3918,0.0589694051775997,0.06036205510280712,0.0013926499252074204
old,SM3FR,483,0.06429768750215199,0.12899777034307053,0.06470008284091854
