mouse,n_samples,n_trials,r2_mean,r2_std,n_splits
WCL23,25999,727,0.2953025978955406,0.05608963442035891,10
WCL24,24258,726,0.2378136851512375,0.045448201172694006,10
WCL27,32695,939,0.27089846283005736,0.0423990521887609,10
WCL28,35857,950,0.21868559710242091,0.026391947743724758,10
WCL29,33572,913,0.16346962612918153,0.05260260128195395,10
