mouse,interaction_coef_post,interaction_p_post,r2_post,n_trials,interaction_coef_pre,interaction_p_pre,r2_pre
WCL23,-0.3996791106176843,0.27686608942668983,0.07965045498866385,727,-0.18255951415366647,0.37378808188137014,0.0075417114578840705
WCL24,-1.3397327413296876,0.004987703391647716,0.05952913669739501,726,-0.0968178031253619,0.6941904890957152,0.0010510361816237213
WCL27,-1.5629933648883703,3.2202060226139466e-06,0.09257825027522992,939,-0.0673934972262105,0.7170444445929252,0.01641738574900653
WCL28,-1.525150273996366,5.966631500069539e-06,0.06283334128854268,950,-0.4575841198033959,0.011123625047791165,0.013801576220011214
WCL29,-0.9627763164885662,0.007740154979196071,0.10847939503018111,913,0.0813613341288138,0.6855224258863453,0.002059734818083414
