Mouse ID,Date of Birth,Treatment,Viral_Expression
WCL23,4/11/23,,
WCL24,4/11/23,,
WCL25,4/11/23,,
WCL26,4/11/23,,
WCL27,4/19/23,,
WCL28,4/19/23,,
WCL29,4/19/23,,
