Mouse ID,Date,Hemisphere
WCL23,060223,green_r
WCL23,060823,green_r
WCL23,061223,green_r
WCL23,061523,green_l
WCL23,062023,green_l
WCL23,062223,green_l
WCL23,062623,green_l
WCL23,062723,green_l
WCL23,062823,green_l
WCL23,062923,green_l
WCL23,063023,green_l
WCL24,060523,green_r
WCL24,060723,green_r
WCL24,060923,green_r
WCL24,061323,green_l
WCL24,061623,green_l
WCL24,062123,green_l
WCL24,062323,green_l
WCL24,062623,green_l
WCL24,062723,green_l
WCL24,062823,green_l
WCL24,062923,green_l
WCL24,063023,green_l
WCL25,060223,green_r
WCL25,060623,green_r
WCL26,060523,green_r
WCL26,060723,green_r
WCL27,060923,green_r
WCL27,061323,green_l
WCL27,061623,green_l
WCL27,062123,green_l
WCL27,062323,green_l
WCL27,062723,green_l
WCL27,062923,green_l
WCL28,061523,green_l
WCL28,062223,green_l
WCL28,062623,green_l
WCL28,062823,green_l
WCL28,063023,green_l
WCL29,061223,green_r
WCL29,061523,green_l
WCL29,062023,green_l
WCL29,062223,green_l
WCL29,062623,green_l
WCL29,062823,green_l
WCL29,063023,green_l
WCL27,070423,green_l
WCL27,070523,green_l
WCL27,070623,green_l
WCL27,070723,green_l
WCL28,070423,green_l
WCL28,070523,green_l
WCL28,070623,green_l
WCL28,070723,green_l
WCL29,070423,green_l
WCL29,070523,green_l
WCL29,070623,green_l
WCL29,070723,green_l
WCL30,072723,green_l
WCL30,073123,green_l
WCL30,080223,green_l
WCL30,080423,green_l
WCL30,080823,green_l
WCL30,081023,green_l
WCL31,080123,green_r
WCL31,080323,green_l
WCL31,080723,green_l
WCL31,080923,green_l
WCL31,081123,green_l
WCL31,081323,green_l
WCL31,081423,green_l
WCL32,080123,green_l
WCL32,080323,green_l
WCL32,080723,green_l
WCL32,080923,green_l
WCL32,081123,green_l
WCL32,081323,green_l
WCL33,072523,green_l
WCL33,073123,green_l
WCL33,080223,green_l
WCL33,080423,green_l
WCL33,080823,green_l
WCL33,081023,green_l
WCL33,081223,green_l
WCL23,080823,green_l
WCL23,081023,green_l
WCL23,081223,green_l
WCL23,081423,green_l
WCL23,081623,green_l
WCL23,081823,green_l
WCL23,091223,green_l
WCL23,091423,green_l
WCL23,091823,green_l
WCL23,092223,green_l
WCL24,080923,green_l
WCL24,081123,green_l
WCL24,081323,green_l
WCL24,081523,green_l
WCL24,081723,green_l
WCL24,091123,green_l
WCL24,091323,green_l
WCL24,091523,green_l
WCL24,091923,green_l
WCL24,092123,green_l
WCL27,081523,green_l
WCL27,081723,green_l
WCL27,091223,green_l
WCL27,091423,green_l
WCL27,091823,green_l
WCL27,092023,green_l
WCL27,092223,green_l
WCL28,081623,green_l
WCL28,081823,green_l
WCL28,091123,green_l
WCL28,091323,green_l
WCL28,091523,green_l
WCL28,091923,green_l
WCL28,092123,green_l
WCL29,081523,green_l
WCL29,081723,green_l
WCL29,091223,green_l
WCL29,091423,green_l
WCL29,091823,green_l
WCL29,092023,green_l
WCL29,092223,green_l
WCL30,081423,green_l
WCL30,081523,green_l
WCL30,081623,green_l
WCL30,081723,green_l
WCL31,081523,green_l
WCL31,081623,green_l
WCL31,081723,green_l
WCL31,081823,green_l
WCL32,081523,green_l
WCL32,081623,green_l
WCL32,081723,green_l
WCL32,081823,green_l
WCL33,081423,green_l
WCL33,081523,green_l
WCL33,081623,green_l
WCL33,081723,green_l
WCL23,092523,green_l
WCL23,092723,green_l
WCL23,092823,green_l
WCL24,092523,green_l
WCL24,092623,green_l
WCL24,092723,green_l
WCL24,092823,green_l
WCL27,092523,green_l
WCL27,092623,green_l
WCL27,092723,green_l
WCL27,092823,green_l
WCL28,092523,green_l
WCL28,092623,green_l
WCL28,092723,green_l
WCL28,092823,green_l
WCL29,092523,green_l
WCL29,092623,green_l
WCL29,092723,green_l
WCL29,092823,green_l
