peth_time,r_squared,r_squared_adj,n_trials,Intercept_beta,Intercept_se,Intercept_tstat,Intercept_pvalue,C(word_l2)[T.LR]_beta,C(word_l2)[T.LR]_se,C(word_l2)[T.LR]_tstat,C(word_l2)[T.LR]_pvalue,C(word_l2)[T.Ll]_beta,C(word_l2)[T.Ll]_se,C(word_l2)[T.Ll]_tstat,C(word_l2)[T.Ll]_pvalue,C(word_l2)[T.Lr]_beta,C(word_l2)[T.Lr]_se,C(word_l2)[T.Lr]_tstat,C(word_l2)[T.Lr]_pvalue,C(word_l2)[T.RL]_beta,C(word_l2)[T.RL]_se,C(word_l2)[T.RL]_tstat,C(word_l2)[T.RL]_pvalue,C(word_l2)[T.RR]_beta,C(word_l2)[T.RR]_se,C(word_l2)[T.RR]_tstat,C(word_l2)[T.RR]_pvalue,C(word_l2)[T.Rl]_beta,C(word_l2)[T.Rl]_se,C(word_l2)[T.Rl]_tstat,C(word_l2)[T.Rl]_pvalue,C(word_l2)[T.Rr]_beta,C(word_l2)[T.Rr]_se,C(word_l2)[T.Rr]_tstat,C(word_l2)[T.Rr]_pvalue,C(word_l2)[T.lL]_beta,C(word_l2)[T.lL]_se,C(word_l2)[T.lL]_tstat,C(word_l2)[T.lL]_pvalue,C(word_l2)[T.lR]_beta,C(word_l2)[T.lR]_se,C(word_l2)[T.lR]_tstat,C(word_l2)[T.lR]_pvalue,C(word_l2)[T.ll]_beta,C(word_l2)[T.ll]_se,C(word_l2)[T.ll]_tstat,C(word_l2)[T.ll]_pvalue,C(word_l2)[T.lr]_beta,C(word_l2)[T.lr]_se,C(word_l2)[T.lr]_tstat,C(word_l2)[T.lr]_pvalue,C(word_l2)[T.rL]_beta,C(word_l2)[T.rL]_se,C(word_l2)[T.rL]_tstat,C(word_l2)[T.rL]_pvalue,C(word_l2)[T.rR]_beta,C(word_l2)[T.rR]_se,C(word_l2)[T.rR]_tstat,C(word_l2)[T.rR]_pvalue,C(word_l2)[T.rl]_beta,C(word_l2)[T.rl]_se,C(word_l2)[T.rl]_tstat,C(word_l2)[T.rl]_pvalue,C(word_l2)[T.rr]_beta,C(word_l2)[T.rr]_se,C(word_l2)[T.rr]_tstat,C(word_l2)[T.rr]_pvalue
-2.16,0.03212715649647069,0.03168279763712478,32688,0.2752902675352508,0.015009895386558031,18.340585356896252,9.323176614977034e-75,-0.42231117020316034,0.12628462378965294,-3.3441218537150377,0.0008263626392017146,0.023948652661035803,0.028265531312571163,0.8472741020220831,0.3968485646295,-0.528627124122077,0.07241690897747527,-7.2997747568389375,2.94812448359907e-13,-0.5440658509067826,0.09721974918156025,-5.596248246750013,2.207934351827991e-08,-0.016321884699479462,0.02117336239391276,-0.7708688112839331,0.4407902697595695,-0.5685115342254649,0.06642491648855194,-8.558709054959,1.1904730377880183e-17,0.055663190814197266,0.027981311981736506,1.9892988166719563,0.046676554328706876,-0.4982028842647145,0.03371167854985655,-14.77834702083781,2.915675706086926e-49,-0.43757152754256406,0.03860474632858,-11.334656205696128,1.0043909557857714e-29,-0.3796053030721851,0.029818640012327823,-12.730470032008371,4.904370718500406e-37,-0.4669171103541152,0.04512072354162678,-10.348174269044113,4.663297407615088e-25,-0.39576151183527847,0.03841810906458371,-10.301431316413147,7.57759865949811e-25,-0.46233781974245747,0.03167778023457168,-14.595019484284546,4.282847231585314e-48,-0.4564546649609653,0.049037278440048515,-9.30831970047059,1.3771672606004007e-20,-0.4562875617076112,0.028797529524640358,-15.844677277514124,2.481687811495807e-56
-2.106,0.029659039748523353,0.02921354775526397,32688,0.26052939762947225,0.014553643552738844,17.9013177480524,2.5262827549627154e-71,-0.24545846631769758,0.1224459833658966,-2.0046265264921885,0.04501122445601195,-0.0008826053907422882,0.027406351407374532,-0.03220441048948952,0.9743092356605451,-0.4389736314431376,0.07021567128263569,-6.251789998220748,4.107848201892023e-10,-0.4994143699565834,0.09426458609046692,-5.2980062892048245,1.1783133200814882e-07,-0.021577803578290762,0.020529761278012103,-1.0510499019489885,0.293243445167911,-0.4797279684271333,0.06440581581005363,-7.448519398340555,9.672198011051264e-14,0.03838236968653004,0.027130771416625905,1.4147172263229155,0.1571609516044026,-0.4902797197096369,0.03268695354256108,-14.999247913123893,1.095595432543993e-50,-0.4557212536604526,0.037431288029709193,-12.174875021632888,5.01368262634736e-34,-0.3596163837136399,0.028912250671346645,-12.438200948155036,1.9504380022038662e-35,-0.43269483424920524,0.04374920080086526,-9.890348311017547,4.9391646882216837e-23,-0.33923982037493533,0.037250323929433525,-9.10703007623736,8.9348389194115e-20,-0.4429775810095379,0.030714879098279423,-14.422247263032608,5.229920010182113e-47,-0.40193426374434116,0.04754670521234898,-8.453461958073795,2.943615952457731e-17,-0.4422333559078825,0.027922178610013344,-15.838067726896154,2.754555135297172e-56
-2.052,0.02849090696091383,0.028044878667709106,32688,0.25321989376841997,0.014231975603299151,17.792322079987294,1.7447652608664884e-70,-0.35221688651776806,0.11973965431202731,-2.9415224934584554,0.003268322713463394,0.007293540419630765,0.026800609977272325,0.2721408365636414,0.7855154506558514,-0.47011585157676766,0.06866374849998884,-6.846638318571321,7.694092958951258e-12,-0.43237407135174827,0.09218112870726093,-4.6904835882931755,2.736615529817252e-06,-0.05672280508396847,0.020076007811476105,-2.825402620711467,0.004724986762524807,-0.3842300361347617,0.06298230377827023,-6.100603075547173,1.0685420848554713e-09,0.03308998307879674,0.02653112091833809,1.2472139108123856,0.2123280136906779,-0.48483389818077094,0.031964499039579417,-15.167886647634766,8.665751854151022e-52,-0.3720079722997206,0.036603973163725885,-10.163048984758197,3.1496257329781685e-24,-0.39281602924438785,0.02827322551222158,-13.893569698108427,9.232287011337726e-44,-0.40883215420711094,0.04278224598571923,-9.5561171412922,1.3047884998928766e-21,-0.34461650745599925,0.03642700877327181,-9.460466809145757,3.263575451335549e-21,-0.4671398765804558,0.03003601183448882,-15.552659892218545,2.3917942155475625e-54,-0.4094195088261207,0.04649581708850238,-8.805512720570366,1.3653870985116642e-18,-0.41486388059997414,0.027305036249419972,-15.19367624383897,5.8646462371002275e-52
-1.998,0.029426716152709642,0.0289811174976623,32688,0.22386467647653244,0.01299533638052958,17.226539577070156,3.2953063712022274e-66,-0.44014356122640685,0.10933528339610211,-4.025631502978281,5.6950710074746135e-05,0.029681160382529367,0.02447186192318196,1.212868905345232,0.2251887149171456,-0.3954584422316527,0.06269744508967469,-6.3074092040917735,2.873723175389995e-10,-0.34289248191441835,0.08417136235183355,-4.073742806741549,4.637267045702633e-05,-0.013988123994664377,0.018331571242139622,-0.7630619225104521,0.4454319767227142,-0.4177686814313702,0.057509670226640046,-7.264320587911289,3.8329021332090214e-13,0.006414764180069282,0.024225789201492435,0.26479072061248266,0.7911723560645846,-0.3958125203597521,0.029187052369465612,-13.561236515059539,8.822136852544728e-42,-0.35655630083410117,0.03342339513399858,-10.667866008363971,1.5912225089937762e-26,-0.30844876019316664,0.02581651952865332,-11.947728269522333,7.811716435564812e-33,-0.4060980418073672,0.0390648279055581,-10.395490357442174,2.846564742680926e-25,-0.32364577644310205,0.03326180746371105,-9.73025223587752,2.402566017929069e-22,-0.414902009122493,0.027426134515595054,-15.12797980650796,1.5835631395525427e-51,-0.3956540324962608,0.04245572084964761,-9.319215987344254,1.243177563912884e-20,-0.40243707421269925,0.02493245778621981,-16.141091169725215,2.208190546089768e-58
-1.944,0.027292621228992453,0.0268460427923628,32688,0.21130778258168947,0.012593239854538748,16.779461443000447,6.331987102512711e-63,-0.20949140181112813,0.10595227457397847,-1.9772242045153652,0.0480246850255594,0.014415590422496403,0.023714663311641456,0.6078766640308924,0.5432735030808319,-0.3271798343616237,0.060757485698024694,-5.385012737159081,7.293876330441904e-08,-0.3587324706227726,0.08156696555912747,-4.398011721580218,1.0959199378627763e-05,-0.03975721781831132,0.017764363060944595,-2.238032271796931,0.025225660797266607,-0.3539374194979162,0.055730228900007145,-6.350905540563297,2.1686246429059032e-10,0.01411351233141633,0.023476204474166634,0.6011837367896046,0.54772178613848,-0.38093862057336936,0.028283958211837015,-13.468363152012584,3.0945005197508093e-41,-0.3924600858002867,0.03238922174466366,-12.116996477846742,1.0141958810456487e-33,-0.34188284997996254,0.025017715056673738,-13.665630502445175,2.1309646854958598e-42,-0.45289902301643137,0.03785609954876165,-11.963700127982325,6.450705421526054e-33,-0.2913596584962908,0.032232633855756386,-9.039275530511983,1.6617194146185714e-19,-0.37916441277520363,0.026577525977335065,-14.266354705044767,4.8777423111783804e-46,-0.35784906523129734,0.0411420728329901,-8.697886144043602,3.536429526224488e-18,-0.3408901528713398,0.024161007600807714,-14.109103333088793,4.528469226160047e-45
-1.89,0.025486199446584035,0.025038791665967675,32688,0.1976964636389208,0.012358589846862542,15.996684580410259,2.2270868060123675e-57,-0.4065495618717736,0.10397806441604719,-3.9099550867291373,9.24996429548741e-05,0.02496552591167675,0.023272787671028628,1.072734657513992,0.28339810889721906,-0.35257191181922254,0.05962539064940302,-5.913117012387282,3.39025465795504e-09,-0.30113485979157195,0.08004712719222176,-3.761969609083403,0.0001688747750635649,-0.04224433033419095,0.01743335944497589,-2.4231893151474786,0.015390303570950241,-0.40463411886825906,0.05469180679495447,-7.3984412397505235,1.411013368952293e-13,-0.041795599665258254,0.023038772040281402,-1.8141418124274191,0.06966506407019817,-0.35400558044461483,0.027756942837860076,-12.753766958865377,3.643501032971271e-37,-0.4040751751130173,0.03178571294003524,-12.712477957481024,6.1673836935953935e-37,-0.2917986297275062,0.024551559635360622,-11.885136181215975,1.650114373656117e-32,-0.39381943530334074,0.037150726336441973,-10.600585079733273,3.2664801332851046e-26,-0.3363537725026064,0.03163204275536917,-10.633324414229122,2.3031906349391854e-26,-0.37472699635247253,0.02608230657814697,-14.367095763932056,1.1554230869733874e-46,-0.3128064519912128,0.04037547203624623,-7.747437645073163,9.647077471227855e-15,-0.33766395720662723,0.02371081522104842,-14.240925672892017,7.0052135072737645e-46
-1.836,0.021691162839206357,0.02124201272420234,32688,0.1848232847004663,0.012122929840171836,15.245760483411866,2.660319422110696e-52,-0.2544401650890115,0.10199535670751417,-2.4946249839456316,0.01261393046450104,0.006877690620340024,0.02282901007453704,0.30126977025654056,0.7632107077797587,-0.28286623722803367,0.058488422748251945,-4.8362774022058534,1.3289474440191974e-06,-0.21507099763083393,0.07852074701750629,-2.7390340234904236,0.00616533993369576,-0.04541214031735956,0.0171009310972152,-2.6555361260273536,0.007922086708669323,-0.294666888502526,0.053648915031821974,-5.492504150880659,3.992235041249765e-08,-0.02673002369525159,0.022599456775317196,-1.182772841002344,0.23690779380535595,-0.3286785448442775,0.027227659042869154,-12.071494810728412,1.7605872224538097e-33,-0.3387699801751222,0.031179606465353643,-10.86511404663041,1.8832033339246532e-27,-0.28190695710874025,0.024083397751227444,-11.705447878274255,1.3822406890604862e-31,-0.2669673929196658,0.036442317001275544,-7.325752446265189,2.4304738685948217e-13,-0.2722968420864509,0.03102886654354081,-8.77559744905133,1.7808691742015876e-18,-0.36821465179999907,0.025584955616679828,-14.391842507631539,8.09908097604889e-47,-0.31957587264148696,0.03960557157607215,-8.06896252027732,7.330469792737579e-16,-0.3432830780581366,0.023258685087847755,-14.759350185170007,3.857690115924067e-49
-1.782,0.01748046674118442,0.017029383458897485,32688,0.15792389365111498,0.011949293863056563,13.216169546165878,8.955189339374287e-40,-0.2869310598204972,0.10053448349809874,-2.854056139114929,0.004319204508679422,0.00013569051733565234,0.02250203156990763,0.006030145185517991,0.9951887062320307,-0.25010590592728976,0.05765069667314337,-4.338298066808997,1.440206007328391e-05,-0.24415550044632328,0.07739609919623239,-3.154622816678191,0.001608513585303401,-0.06346407130690125,0.01685599551482765,-3.7650740504216467,0.0001667912420613902,-0.3681442706785467,0.05288050492753711,-6.961814589006287,3.4225519009914237e-12,-0.014570642210940083,0.022275766148447996,-0.6541028539193591,0.5130501468234745,-0.3215364511705173,0.0268376789601004,-11.98078461436795,5.2547990670417885e-33,-0.28032345719187696,0.03073302288316205,-9.121245842219446,7.839710637339194e-20,-0.2527453775352411,0.02373845272919712,-10.647087256212654,1.987931199815184e-26,-0.24423461209565492,0.035920355940353386,-6.799337192014811,1.0690776711298723e-11,-0.2310767967167687,0.03058444199996111,-7.555370691970203,4.285721540398209e-14,-0.327717584600972,0.025218503873864984,-12.995123986740538,1.6248978347650496e-38,-0.27669804278489907,0.03903830341478724,-7.087860346925045,1.389602254512631e-12,-0.29396117774806263,0.022925552374478228,-12.822425080379466,1.5129068028110328e-37
-1.728,0.015433957832076906,0.014981934979710454,32688,0.15699859090424362,0.011840912068269194,13.258994746271464,5.079299904542595e-40,-0.38660786400964897,0.09962262143458113,-3.880723659370091,0.00010435049129517569,0.013779031553332379,0.022297934943290333,0.6179510160190249,0.5366119357916488,-0.3613869355090526,0.05712779665513517,-6.325938626526178,2.5495285357357386e-10,-0.21061379448240442,0.07669410556911413,-2.7461536048895754,0.0060331517794467975,-0.07551224733951376,0.01670310923821904,-4.520849756926167,6.1807974438386155e-06,-0.2321720503293797,0.052400871227086566,-4.430690652512806,9.423683468623486e-06,-0.04823739994005588,0.022073721781383202,-2.1852862157907107,0.028874944159821333,-0.29291274928050426,0.026594257395030706,-11.014135304836026,3.66166755539777e-28,-0.2837236240734422,0.030454269994707572,-9.316382370115864,1.2767278306238927e-20,-0.2355172520195916,0.02352314158681909,-10.012151274537278,1.4576124452382015e-23,-0.18093039883158335,0.03559455320331861,-5.083092286566882,3.733853051167902e-07,-0.24086292888851674,0.0303070367612487,-7.947425899337339,1.9651007512910657e-15,-0.28467876519620094,0.024989768457109356,-11.391812840715316,5.233623181888926e-30,-0.2784318046039306,0.038684220450719425,-7.197555007180001,6.262151343491668e-13,-0.2996184234220578,0.022717614353929605,-13.188815460732169,1.2851963288741069e-39
-1.674,0.012023305351714808,0.011569716639064143,32688,0.13006564018316868,0.011729708134593236,11.088565775953054,1.6029103753852736e-28,-0.5462711967561614,0.09868701551818183,-5.535390789637547,3.129173828652289e-08,0.02723137013922735,0.02208852387223025,1.232828879681847,0.21764848463330627,-0.3037241851630248,0.05659128091431522,-5.366978450671459,8.0611282579422e-08,-0.15860117915080613,0.07597383282493088,-2.087576383256539,0.03684379162544149,-0.07589434343428031,0.016546241976541896,-4.586802461965563,4.517553931808291e-06,-0.2791889036328856,0.05190874840961249,-5.378455697482879,7.564278764477164e-08,-0.046887801957367956,0.021866416408384402,-2.144283776622374,0.032017511120312085,-0.2715309109883002,0.02634449740876719,-10.306930770975246,7.157710453763604e-25,-0.1984998492419956,0.030168258697510577,-6.579758256262083,4.783279893979918e-11,-0.23194170106419437,0.023302223986739895,-9.953629370148555,2.6247173037909243e-23,-0.18966817338377268,0.035260266932900776,-5.37909068427376,7.537674036367705e-08,-0.1747533928990874,0.030022408205063043,-5.82076533319591,5.9125490572012755e-09,-0.21171999494901977,0.02475507702978857,-8.552588816195174,1.2551959775260086e-17,-0.22660381430366783,0.03832091756826361,-5.913319113510351,3.3861000431537012e-09,-0.25294180016181234,0.022504261863401424,-11.239728798800124,2.944484652148707e-29
