term,hemisphere,max_cluster_mass,p_value,suprathreshold_range,n_paired_mice,cluster_forming_t,min_achievable_p
LR,green_l,42.3679833188221,0.125,"[-1.57, 0.86]s",4,2.0,0.0625
RL,green_l,25.152732346800047,0.25,"[-0.70, 0.97]s",4,2.0,0.0625
RR,green_l,41.48938768562523,0.25,"[-2.16, -0.59]s",4,2.0,0.0625
lL,green_l,2.406130485028033,0.75,"[0.11, 0.11]s",4,2.0,0.0625
lR,green_l,59.81145948725815,0.125,"[-0.86, 0.11]s",4,2.0,0.0625
rL,green_l,52.470219235945194,0.25,"[-1.67, 0.16]s",4,2.0,0.0625
rR,green_l,73.67394423487035,0.125,"[-1.46, 0.32]s",4,2.0,0.0625
