mouse,n_trials,peak_r2,peak_time_s
WCL30,2414,0.4588295173499478,0.864
WCL31,3026,0.21758837112439244,2.592
WCL32,2216,0.2643540770628455,1.242
WCL33,3179,0.380971389525528,1.134
