peth_time,r_squared,r_squared_adj,n_trials,Intercept_beta,Intercept_se,Intercept_tstat,Intercept_pvalue,C(Q_diff_bin)[T.1]_beta,C(Q_diff_bin)[T.1]_se,C(Q_diff_bin)[T.1]_tstat,C(Q_diff_bin)[T.1]_pvalue,C(Q_diff_bin)[T.2]_beta,C(Q_diff_bin)[T.2]_se,C(Q_diff_bin)[T.2]_tstat,C(Q_diff_bin)[T.2]_pvalue,C(Q_diff_bin)[T.3]_beta,C(Q_diff_bin)[T.3]_se,C(Q_diff_bin)[T.3]_tstat,C(Q_diff_bin)[T.3]_pvalue,C(Q_diff_bin)[T.4]_beta,C(Q_diff_bin)[T.4]_se,C(Q_diff_bin)[T.4]_tstat,C(Q_diff_bin)[T.4]_pvalue,Reward_beta,Reward_se,Reward_tstat,Reward_pvalue,Port_beta,Port_se,Port_tstat,Port_pvalue
-2.16,0.04243285456937096,0.04162318674628984,7103,0.6348634959406676,0.04673311358821465,13.584874774976905,1.6222103924346408e-41,-0.0626275275022915,0.05574671194504318,-1.1234299803014687,0.2612929284254971,-0.6889529365287091,0.06085421614940997,-11.321367361584018,1.8385586359418117e-29,-0.3854004749003439,0.07287722509350976,-5.288352765981846,1.2710815977900355e-07,-0.13912730522976596,0.07499228985837468,-1.855221456665909,0.06360605167724007,0.059159589369662695,0.017837843367188303,3.3165214063087576,0.0009160363131139575,-0.05380188880161091,0.027235320013400472,-1.9754454427243375,0.048256307798556074
-2.106,0.04668387198844692,0.04580239614192683,6496,0.5673844633211327,0.045848984631750175,12.375071506561172,8.780980821291866e-35,-0.02998010381635096,0.05539612985585221,-0.5411949154997472,0.5883918200193792,-0.6379711577057094,0.05909758942960811,-10.795214557196195,6.135407575851063e-27,-0.36190669244740725,0.07081541525278152,-5.110563726210616,3.303821981276839e-07,-0.08947973049950239,0.07276565832713766,-1.229697257698434,0.2188550770575779,0.06322123187198413,0.01735104454453673,3.643655672124385,0.0002708922492372478,-0.059107842292135074,0.026046693580368263,-2.2693030925309245,0.0232825811162199
-2.052,0.05485492672504122,0.05389131237675748,5892,0.5508974558989689,0.044524553579162775,12.372891171598082,9.87475527154102e-35,-0.07970751800458248,0.05435182865428975,-1.4665103268478807,0.14256274114598785,-0.6467477918103419,0.05690644400312192,-11.365106415274534,1.2681546638326296e-29,-0.37721533273777896,0.06825564853838076,-5.526507194868531,3.406966755607333e-08,-0.0850969729696822,0.07016971019605317,-1.2127308596817983,0.22528141595833476,0.07490096871701235,0.016753405918849017,4.47079054132762,7.939397967108276e-06,-0.056973094712442454,0.024812615848118766,-2.296134154543888,0.02170319102173323
-1.998,0.06237151015743525,0.061308840920741736,5301,0.4965785502081331,0.04344974028270267,11.428803647091554,6.713616166545723e-30,-0.10264267773339819,0.0535546747491686,-1.9165960434666192,0.055343051257980246,-0.6294072804809405,0.055061870641274456,-11.430909868309776,6.556563260534315e-30,-0.3615922042898883,0.06585024464717669,-5.491129246782403,4.1799417149844026e-08,-0.04322757137872635,0.06775746938563992,-0.6379749977481851,0.5235175487470685,0.07276967963164327,0.016170267880249393,4.500214849286773,6.933894632046154e-06,-0.061682934278959274,0.02367185512814314,-2.605749906167062,0.00919300565381393
-1.944,0.0708047674677792,0.06962208367584166,4721,0.4431899835923235,0.042866140247538445,10.338929071594528,8.629384558340175e-25,-0.12093916531252223,0.053398964414293086,-2.2648222983169113,0.023568795491619107,-0.6323831774650178,0.05386425826721911,-11.74031162422737,2.158530476827435e-31,-0.35577672966344737,0.06424018733164538,-5.538226839637313,3.221408896898794e-08,-0.046086317673757,0.06612679581923923,-0.6969386177388084,0.4858755749936259,0.07229687954707174,0.015845163310825035,4.562709650185824,5.178025821620685e-06,-0.05956911993648872,0.02270981662862762,-2.6230559634460837,0.00874255512389262
-1.89,0.06962060929524805,0.06826371178814328,4121,0.3662680448740345,0.043204926146865906,8.47746026990035,3.1660211791170714e-17,-0.16798673590926325,0.05472289370491429,-3.069770703557979,0.0021562026148735217,-0.5863201527278596,0.053888043445263496,-10.88033848034233,3.345594540429993e-27,-0.31321801300361146,0.06394425191012407,-4.898298183921998,1.0038527596775996e-06,-0.014939657929376435,0.06615037911548848,-0.22584387465556427,0.8213340701070625,0.04919017209912876,0.01581403042872009,3.1105398665348316,0.0018802408529115123,-0.08784139404476872,0.022385894875599534,-3.923961696993191,8.852713903360253e-05
-1.836,0.07371610071285173,0.07236517621218974,4121,0.2366552106720893,0.040902333844717434,5.785860815926363,7.750724965853438e-09,-0.16246754171487993,0.05180645511715002,-3.1360482269534136,0.0017244908274854315,-0.5479970170875627,0.05101609792698821,-10.741648996201741,1.455388151169961e-26,-0.2924431398698971,0.06053636407542689,-4.830867270216623,1.4088802303141652e-06,-0.013449744203352033,0.06262491645834246,-0.21476666100303196,0.8299598917990889,0.04618640378540156,0.014971226888046661,3.0850112773508056,0.002048962490202159,-0.10796006563913281,0.021192845984784582,-5.094174973792704,3.6596386678192557e-07
-1.782,,,2957,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.728,,,2420,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.674,,,1934,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.6199999999999999,,,1447,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.566,,,994,,,,,,,,,,,,,,,,,,,,,,,,,,,,
