peth_time,r_squared,r_squared_adj,n_trials,Intercept_beta,Intercept_se,Intercept_tstat,Intercept_pvalue,C(Q_diff_bin)[T.1]_beta,C(Q_diff_bin)[T.1]_se,C(Q_diff_bin)[T.1]_tstat,C(Q_diff_bin)[T.1]_pvalue,C(Q_diff_bin)[T.2]_beta,C(Q_diff_bin)[T.2]_se,C(Q_diff_bin)[T.2]_tstat,C(Q_diff_bin)[T.2]_pvalue,C(Q_diff_bin)[T.3]_beta,C(Q_diff_bin)[T.3]_se,C(Q_diff_bin)[T.3]_tstat,C(Q_diff_bin)[T.3]_pvalue,C(Q_diff_bin)[T.4]_beta,C(Q_diff_bin)[T.4]_se,C(Q_diff_bin)[T.4]_tstat,C(Q_diff_bin)[T.4]_pvalue,Reward_beta,Reward_se,Reward_tstat,Reward_pvalue,Q_chosen_beta,Q_chosen_se,Q_chosen_tstat,Q_chosen_pvalue,RPE_abs_beta,RPE_abs_se,RPE_abs_tstat,RPE_abs_pvalue,Port_beta,Port_se,Port_tstat,Port_pvalue
-2.16,0.06756473081460124,0.06651321091701423,7103,0.46240082796232435,0.04778833737695748,9.676018320429876,5.212709409788244e-22,0.058127964375694785,0.05570827076516923,1.0434350874168299,0.2967823855022172,-0.05888843668007832,0.07554382948877796,-0.779526760538744,0.4356954846701061,-0.24466174666207152,0.0727831979960055,-3.3615141048830957,0.0007792604016833092,-0.16135793790924152,0.0741570846735455,-2.175893761460174,0.029596097874714972,-0.036399023629548444,0.018996236913589985,-1.9161175866104532,0.05539027496844102,0.3397060512145295,0.026557099162440312,12.791534539848222,4.68317250578144e-37,-0.06980041846625804,0.018589271597408568,-3.7548764673484323,0.00017481415696060152,-0.0460587313169913,0.02693625661412002,-1.7099158200344458,0.08732516987647174
-2.106,0.07485340285281261,0.07371247903946632,6496,0.4040254690806987,0.046663257475062475,8.65832114906714,5.9695878700382696e-18,0.09329237423457498,0.05528128505487745,1.6875941675734223,0.09153723282127081,-0.03030563339507403,0.07262947312373379,-0.41726357209619885,0.6764994385536951,-0.2233403751032611,0.07063906390746467,-3.1617119869514574,0.0015756718534221301,-0.11608133024100425,0.07184749891884747,-1.6156627855914565,0.10621587025985835,-0.029781638680862123,0.018371166130248178,-1.6211076896107628,0.10504314617870672,0.33200905950331366,0.02550605037778455,13.016874607622096,2.948369973859056e-38,-0.06526121089342203,0.018030773081456626,-3.619434984767157,0.00029749650874775504,-0.04979133923263582,0.02572798500047703,-1.935298828560131,0.052997044863224874
-2.052,0.08414160141482419,0.08289617099009505,5892,0.4017485847342671,0.045182942326471194,8.891598555742924,7.889908549482519e-19,0.03567087872812753,0.05416938107257488,0.6585063004566456,0.5102386192064443,-0.07973953981287847,0.06975488280887494,-1.1431391839817295,0.2530273237944109,-0.24297462882819915,0.06807879740509332,-3.5690205774701447,0.0003611750037576571,-0.11066503180696723,0.06925059098939253,-1.5980373629434925,0.11008836628507594,-0.013422557802589136,0.01771318841100199,-0.7577719770796395,0.44861785259089526,0.30789869910993506,0.024541300679250217,12.546144278744967,1.1898038401461189e-35,-0.06650718623041224,0.0174327289620067,-3.815076020246719,0.0001375362054768033,-0.0483939122734591,0.024506654209415175,-1.9747253892727108,0.048346007445363756
-1.998,0.09433464250799628,0.09296553387989048,5301,0.3623859117768264,0.04384463897637017,8.265227408352759,1.7460214733176528e-16,0.009965139353393604,0.05328483003449796,0.18701644252110625,0.8516549102214601,-0.09241467212735734,0.06706164616920594,-1.3780555266147532,0.16824440771613317,-0.23862424676488528,0.06553977194964283,-3.6409074927546445,0.00027427465017375584,-0.08159820723752505,0.066860076636163,-1.220432451514579,0.22235535992600292,-0.007786989916282407,0.01695324584703334,-0.45932147663894446,0.646022193701312,0.29012040177043363,0.023602965682139175,12.291692733764105,2.9332564512649046e-34,-0.06907874699831265,0.016730594468236177,-4.128887776788919,3.7013355994656117e-05,-0.048064039258390936,0.023372773498691265,-2.0564114593025185,0.03979179948523206
-1.944,0.11091935986386192,0.10940988509283289,4721,0.31077836315335833,0.042937363297094515,7.237947076605612,5.292595329965091e-13,-0.005705766729375121,0.05283938942866783,-0.10798320705574764,0.9140136106430232,-0.08435811593798191,0.06489253085188525,-1.299966495844123,0.19367603847087791,-0.22277160483985708,0.06368959655402953,-3.497770701858257,0.0004734971740001798,-0.0877418496767549,0.06495029513991499,-1.3509076361815242,0.1767898859591448,-0.010791658752947917,0.016541427569513115,-0.6524018986630645,0.5141737639039414,0.29759048993996295,0.022883111162886213,13.004808997415555,5.147759295699162e-38,-0.07040634043420066,0.016372414844915008,-4.300302740989223,1.7401376219984397e-05,-0.04459813407040053,0.022322587001916618,-1.9978927203451524,0.04578567306398317
-1.89,0.11953717916244078,0.1178242164759864,4121,0.23783162602822944,0.04291924893666243,5.541374369789337,3.1889224520193546e-08,-0.04445812254994775,0.05385899088009644,-0.8254540574093308,0.4091617409359324,-0.028299612867382945,0.06402412233487088,-0.44201485058030227,0.6585017045150008,-0.17950055347650384,0.06306064709757822,-2.8464749687511115,0.004442518272171483,-0.06965593303447944,0.06470591051948,-1.0765003146584144,0.2817667133810578,-0.03618220158106092,0.016423627724467354,-2.2030578254740836,0.02764593984800106,0.3083834638979163,0.022602650544084352,13.6436858719929,1.7399761123968558e-41,-0.06945969002017664,0.016278683399151384,-4.26691080089423,2.0265989666077083e-05,-0.06899004352985999,0.02191965484446056,-3.147405559960031,0.0016590454822838245
-1.836,0.1221777164175929,0.12046989096315242,4121,0.11726368558251361,0.040660499393354844,2.883970618464122,0.003947352318402559,-0.04696125736159359,0.05102450579316134,-0.9203667263718537,0.3574351396841329,-0.02523983670610597,0.06065466782046475,-0.4161235666282902,0.6773413024338141,-0.16921547676483167,0.059741898252682626,-2.8324422509830995,0.004641867346134449,-0.0664059423596743,0.06130057493099238,-1.083284168777033,0.2787458253974171,-0.034029393946272295,0.01555928683917275,-2.187079285703403,0.028792879053806873,0.291538477792046,0.021413120721012816,13.61494578910012,2.536142041171805e-41,-0.0598087532895884,0.01542197062797163,-3.878152457449903,0.00010689747061434303,-0.08964968604484962,0.020766069644438764,-4.3171234412602555,1.6179795336477133e-05
-1.782,,,2957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.728,,,2420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.674,,,1934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
