mouse,date,n_trials,alpha,beta,kappa,nll,reward_rate,switch_rate,choice_deviation,win_stay_prob,lose_switch_prob
WCL23,062723,356,0.7895014141902106,1.7973242222970953,1.0959280277578691,121.60710372910785,0.75,0.14606741573033707,0.2724719101123596,0.943609022556391,0.4157303370786517
WCL23,062923,371,0.9999,2.102898533736904,1.0598245217249447,106.83185689676658,0.7520215633423181,0.12129380053908356,0.2665768194070081,0.974910394265233,0.4175824175824176
WCL24,062623,367,0.7497717962547535,1.6282031280863483,0.9779847010800752,144.79336759733587,0.7275204359673024,0.1771117166212534,0.2634877384196186,0.9360902255639098,0.48
WCL24,062823,359,0.7904357670013227,1.5965254058422305,1.0317288223206553,140.7598033342404,0.7520891364902507,0.17270194986072424,0.26601671309192204,0.9405204460966543,0.5168539325842697
WCL27,070423,495,0.7695375404928898,1.924658829197669,1.2981842482805335,143.3354794154354,0.7555555555555555,0.11515151515151516,0.27010101010101006,0.9624664879356568,0.35537190082644626
WCL27,070623,444,0.8366952780212801,3.405995146070334,0.8455203892348995,94.82877687094768,0.7364864864864865,0.0945945945945946,0.29774774774774776,0.9877675840978594,0.3275862068965517
WCL28,070523,474,0.7606559306204538,2.081152762916622,0.8231275188559523,172.10103627229466,0.6835443037974683,0.17088607594936708,0.269620253164557,0.9537037037037037,0.436241610738255
WCL28,070723,476,0.8884597551948019,2.238864503137829,1.3819137385273903,109.62504651963397,0.7415966386554622,0.08823529411764706,0.2710084033613446,0.9830028328611898,0.29508196721311475
WCL29,070423,502,0.8748288051007563,3.2909665809336346,0.26284478002532935,129.67539031042585,0.7709163346613546,0.1394422310756972,0.23824701195219128,0.9740932642487047,0.5217391304347826
WCL29,070623,411,0.7542573789788241,2.2067045915197707,0.9735777103210851,127.18767469776107,0.7688564476885644,0.1386861313868613,0.25474452554744526,0.9556962025316456,0.44680851063829785
