mouse,date,n_trials,alpha,beta,kappa,nll,reward_rate,switch_rate,choice_deviation,win_stay_prob,lose_switch_prob
WCL23,092823,550,0.7930135279274921,3.382148727757204,0.33292069527650797,132.12470841758972,0.7872727272727272,0.12181818181818181,0.24072727272727273,0.9699769053117783,0.46551724137931033
WCL24,092523,486,0.7782955579991157,2.7024171732702484,0.6414957072728391,143.43746548092304,0.7839506172839507,0.1419753086419753,0.23168724279835395,0.9657894736842105,0.5333333333333333
WCL24,092723,449,0.8498825825264212,3.7359715301181833,0.010991213849162086,115.3305607676526,0.7505567928730512,0.1514476614699332,0.2314031180400891,0.973293768545994,0.5315315315315315
WCL27,092623,717,0.8448623436708529,3.4901611818898326,0.6494875569631111,152.02925542112152,0.7754532775453278,0.100418410041841,0.24728033472803349,0.9855855855855856,0.39751552795031053
WCL27,092823,587,0.7582609121309115,3.1837806050831037,1.0168286369002812,123.12819912565845,0.7649063032367973,0.0868824531516184,0.2512776831345826,0.9844097995545658,0.32116788321167883
WCL28,092523,545,0.7537157120965171,3.0663922722541357,0.6652805750682413,137.59096851556077,0.7504587155963303,0.12110091743119267,0.2574311926605504,0.9731051344743277,0.4
WCL28,092723,568,0.7055450913999677,2.9535907489506164,1.2572617038769904,114.36155605671584,0.7816901408450704,0.07922535211267606,0.25669014084507047,0.9887133182844243,0.3225806451612903
WCL29,092623,533,0.9999,3.3857473363860064,0.23946090830134215,115.61453160773245,0.8161350844277674,0.11444652908067542,0.2407129455909944,0.9839080459770115,0.5567010309278351
WCL29,092823,504,0.8779688757056855,3.8123406684211365,0.31520704097583085,115.89371743562339,0.7559523809523809,0.125,0.26587301587301587,0.9868421052631579,0.4715447154471545
