mouse,date,n_trials,alpha,beta,kappa,nll,reward_rate,switch_rate,choice_deviation,win_stay_prob,lose_switch_prob
WCL23,062623,470,0.7042176662429904,1.9870880381188576,1.1314847070313812,149.48990257347538,0.6808510638297872,0.13617021276595745,0.29914893617021276,0.9623824451410659,0.34
WCL23,062823,512,0.9999,1.3187996411928389,1.6893296377232214,157.53410323725367,0.7578125,0.109375,0.269140625,0.9638242894056848,0.3387096774193548
WCL24,062723,475,0.9690455542554129,2.404086533970744,0.2634674247225333,164.50057289473264,0.7326315789473684,0.1936842105263158,0.2347368421052632,0.9568965517241379,0.6031746031746031
WCL24,062923,378,0.9999,1.4849358712059046,0.9806295351043619,145.16994496960643,0.6851851851851852,0.17195767195767195,0.31693121693121695,0.9420849420849421,0.423728813559322
WCL27,070523,507,0.8627154727472087,1.6511706493393992,1.4904436134789523,151.3689057509781,0.7199211045364892,0.11242603550295859,0.27475345167652865,0.9671232876712329,0.3191489361702128
WCL27,070723,570,0.8260855033630441,2.966251756642379,1.0139149738863387,129.12360947766896,0.7456140350877193,0.09649122807017543,0.2740350877192983,0.9858490566037735,0.33793103448275863
WCL28,070423,428,0.9420541845360341,2.6636126785830037,0.4288369055007951,122.75353336874166,0.7686915887850467,0.14719626168224298,0.24485981308411217,0.9573170731707317,0.494949494949495
WCL28,070623,429,0.9737458776614839,2.4136378778751815,0.9440726462867262,111.68092718053123,0.745920745920746,0.11421911421911422,0.2543123543123543,0.975,0.37962962962962965
WCL29,070523,517,0.8971394412147145,2.001099895785355,0.8983715679019872,171.91712025749118,0.7214700193423598,0.1528046421663443,0.27446808510638304,0.9596774193548387,0.4375
WCL29,070723,559,0.8961190835001153,2.6417556765190255,0.7821365407603299,155.34094661932457,0.774597495527728,0.12880143112701253,0.23846153846153847,0.9768518518518519,0.49206349206349204
