mouse,n_sessions,n_trials,alpha,beta,kappa,reward_rate,switch_rate,choice_deviation,win_stay_prob,lose_switch_prob
WCL30,2,796,0.8677316118869116,1.9100385873894492,0.967247307650204,0.7711020679770679,0.14515509828009826,0.24657299344799347,0.9488200002154267,0.4664141414141414
WCL31,2,960,0.7151433775765177,2.395767228983557,1.1236098410429978,0.7703111946532999,0.1073517126148705,0.25694444444444453,0.9691984366934592,0.36334710743801657
WCL32,2,840,0.7260757051437452,2.9905920730169533,0.6007666078027307,0.7552064303982462,0.1310437218365607,0.2695773961758617,0.9724885262621112,0.4567307692307693
WCL33,2,1042,0.8136000132133093,2.8199536741630604,1.5984446636371805,0.7297230719875343,0.06907159797889525,0.30600067981224965,0.993943787964045,0.24150943396226415
