mouse,n_sessions,n_trials,alpha,beta,kappa,reward_rate,switch_rate,choice_deviation,win_stay_prob,lose_switch_prob
WCL23,2,982,0.8520588331214952,1.6529438396558482,1.4104071723773013,0.7193317819148937,0.12277260638297872,0.2841447805851064,0.9631033672733753,0.3393548387096774
WCL24,2,853,0.9844727771277064,1.9445112025883242,0.6220484799134476,0.7089083820662768,0.18282094124199388,0.2758340295182401,0.9494907469045399,0.5134517083669625
WCL27,2,1077,0.8444004880551264,2.308711202990889,1.2521792936826455,0.7327675698121042,0.104458631786567,0.2743942696979135,0.9764861721375032,0.3285399853264857
WCL28,2,857,0.957900031098759,2.538625278229093,0.6864547758937607,0.7573061673528964,0.1307076879506786,0.24958608369823326,0.9661585365853658,0.4372895622895623
WCL29,2,1076,0.8966292623574148,2.3214277861521904,0.8402540543311585,0.748033757435044,0.14080303664667843,0.25646481178396074,0.9682646356033453,0.46478174603174605
