mouse,date,n_trials,alpha,beta,kappa,nll,reward_rate,switch_rate,choice_deviation,win_stay_prob,lose_switch_prob
WCL23,092523,522,0.8783286104804733,2.7070666793820855,0.5318225290024204,143.20524528239784,0.7777777777777778,0.13409961685823754,0.2417624521072797,0.9679802955665024,0.4956521739130435
WCL23,092723,531,0.6971808842461595,3.5073467285378657,0.7124804469113369,118.67010334319923,0.7871939736346516,0.10357815442561205,0.2608286252354049,0.9808612440191388,0.41964285714285715
WCL24,092623,504,0.9034471863792748,2.271204485527661,1.0340500883258983,135.06342943352317,0.75,0.11507936507936507,0.25436507936507935,0.9761904761904762,0.384
WCL24,092823,470,0.9031406087818348,3.5581835903144388,0.5236060174954469,95.05812472576388,0.7957446808510639,0.1,0.23404255319148942,0.9839142091152815,0.4270833333333333
WCL27,092523,606,0.8553671289816472,3.1678413878426483,1.0162111965612128,130.604060848768,0.7574257425742574,0.09405940594059406,0.25412541254125415,0.9891067538126361,0.3493150684931507
WCL27,092723,539,0.7988133593515375,3.12934878168568,0.9598163269272075,109.51958234900337,0.764378478664193,0.08534322820037106,0.2521335807050093,0.9902912621359223,0.3333333333333333
WCL28,092623,568,0.7613117583348258,2.229234098422428,1.7182703249511244,118.07346916592796,0.7535211267605634,0.0721830985915493,0.2654929577464789,0.9859484777517564,0.25
WCL28,092823,541,0.8924095182706632,3.2203967842307977,0.8399199491705032,113.47768231903926,0.8114602587800369,0.09426987060998152,0.2179297597042514,0.9863325740318907,0.43564356435643564
WCL29,092523,473,0.7390773196002238,2.856049881875965,1.0661087738041457,118.49855493611236,0.7864693446088795,0.10359408033826638,0.26109936575052856,0.9731182795698925,0.39
WCL29,092723,483,0.8399902677259894,5.260394099224857,-0.18996906398253055,88.7053240067038,0.782608695652174,0.12215320910973085,0.22629399585921328,0.9920424403183024,0.5333333333333333
