mouse,date,n_trials,alpha,beta,kappa,nll,reward_rate,switch_rate,choice_deviation,win_stay_prob,lose_switch_prob
WCL23,060223,336,0.7033831946219119,1.6164913069617843,0.36984873113713773,162.23475281471053,0.7083333333333334,0.2708333333333333,0.25238095238095243,0.8697478991596639,0.6185567010309279
WCL23,060823,300,0.6950667773396398,0.9879594729162541,1.4757330888770621,120.04344823282013,0.68,0.15333333333333332,0.2973333333333333,0.916256157635468,0.3020833333333333
WCL23,061223,317,0.9646107545472677,1.4401077264944435,1.132931782776129,119.69633804903414,0.6529968454258676,0.1640378548895899,0.32145110410094646,0.9368932038834952,0.34545454545454546
WCL23,061523,343,0.7419978199972884,1.0940127501479937,1.4632431521202478,131.10532043878806,0.717201166180758,0.1457725947521866,0.32215743440233235,0.926829268292683,0.3333333333333333
WCL23,062023,453,0.9999,1.9602853019171524,1.005022957484817,141.8008233785128,0.7041942604856513,0.1368653421633554,0.2947019867549669,0.9685534591194969,0.3880597014925373
WCL23,062223,382,0.8931173275962935,1.5028237995360394,1.4179509841109077,119.41006513367216,0.6989528795811518,0.12041884816753927,0.2900523560209424,0.9548872180451128,0.2956521739130435
WCL23,063023,474,0.8745750732548115,2.418134844762848,0.618766482226318,152.52170854272487,0.7510548523206751,0.15822784810126583,0.26919831223628693,0.9464788732394366,0.4745762711864407
WCL24,060523,360,0.8038762185367907,1.2453263873520737,0.9869235574824234,163.17788518442697,0.6777777777777778,0.20833333333333334,0.31388888888888894,0.9053497942386831,0.4396551724137931
WCL24,060723,287,0.8801206512255668,1.3197952263148154,1.1651452544014933,113.50040227796667,0.7212543554006968,0.17073170731707318,0.29442508710801396,0.9271844660194175,0.4125
WCL24,060923,363,0.9000296744605396,1.5699423282580232,0.797953981189679,146.8412376603596,0.7107438016528925,0.19559228650137742,0.2900826446280992,0.9302325581395349,0.5
WCL24,061323,288,0.6841329262433605,1.5755190576783589,0.9854979940578684,113.01477823109288,0.6944444444444444,0.1736111111111111,0.2916666666666667,0.9296482412060302,0.4090909090909091
WCL24,061623,366,0.7997967501262431,2.2918151354961314,0.7266582148879737,134.73908097643786,0.6420765027322405,0.18032786885245902,0.2961748633879782,0.948936170212766,0.4076923076923077
WCL24,062123,350,0.9999,1.683909550963477,0.8307164628559106,132.26366251068876,0.6971428571428572,0.17714285714285713,0.28971428571428576,0.9385245901639344,0.44761904761904764
WCL24,062323,353,0.735333348790963,1.6753793941949693,0.8396279520397113,143.518985886669,0.6912181303116147,0.19263456090651557,0.2558073654390935,0.9180327868852459,0.4351851851851852
WCL24,063023,462,0.8478492743674232,2.0221272732008377,1.0074099495896511,148.26628234230878,0.7683982683982684,0.13852813852813853,0.2354978354978355,0.96045197740113,0.4672897196261682
WCL27,060923,480,0.8927461059294671,1.2146766431279938,0.9325602913369888,209.65699137815645,0.6854166666666667,0.2,0.29625,0.9179331306990881,0.46
WCL27,061323,366,0.9535572107295325,1.4762913395369348,0.965553303287919,140.20740141802818,0.7076502732240437,0.17486338797814208,0.3016393442622951,0.9305019305019305,0.42452830188679247
WCL27,061623,422,0.7140891061414126,1.9674033898611012,1.2071309647190236,135.80640703494913,0.7251184834123223,0.13507109004739337,0.2772511848341232,0.9575163398692811,0.3739130434782609
WCL27,062123,423,0.9006525834235862,1.286928935158456,1.3851228986057513,150.533813297042,0.6761229314420804,0.13947990543735225,0.31702127659574475,0.9473684210526316,0.32116788321167883
WCL27,062323,395,0.8800020189789297,2.222718864959221,1.8132021281365565,72.88672818544833,0.759493670886076,0.060759493670886074,0.28126582278481016,0.9899665551839465,0.22105263157894736
WCL27,062723,457,0.7497435504889585,2.4106848345318457,1.1048413441261378,121.73795992446576,0.7177242888402626,0.11159737417943107,0.27461706783369805,0.9785932721712538,0.34108527131782945
WCL27,062923,455,0.8378171104907383,1.9433980347860946,1.3047821129192052,128.94450250414204,0.6923076923076923,0.11208791208791209,0.2784615384615385,0.9682539682539683,0.2949640287769784
WCL28,061523,353,0.9999,1.7526147357994593,0.7689555881607106,143.95374292741397,0.6572237960339944,0.1954674220963173,0.296600566572238,0.9267241379310345,0.43333333333333335
WCL28,062223,225,0.9565206649566406,2.3476179427745394,1.4033463704070228,49.83138829611699,0.76,0.08888888888888889,0.29466666666666674,0.9824561403508771,0.3018867924528302
WCL28,062623,367,0.7424518633048947,1.901679339923432,1.4236021845877058,99.37969631237635,0.7683923705722071,0.10354223433242507,0.25313351498637604,0.9680851063829787,0.34523809523809523
WCL28,062823,398,0.8602463482796326,1.2310274859541783,1.3966457172394653,145.8217914561361,0.7185929648241206,0.14321608040201006,0.2849246231155779,0.9403508771929825,0.35714285714285715
WCL28,063023,474,0.8325280685299884,2.88715081574418,1.0145253743537928,113.6623157190323,0.7383966244725738,0.10337552742616034,0.2725738396624473,0.9828080229226361,0.3467741935483871
WCL29,061223,434,0.9999,1.0888279426245417,1.4924418192708417,153.8737807477372,0.684331797235023,0.1336405529953917,0.3175115207373272,0.9427609427609428,0.3014705882352941
WCL29,061523,458,0.9177073710868582,1.3525869405153368,1.6383596755684295,138.782596895342,0.6921397379912664,0.1091703056768559,0.3139737991266376,0.9746835443037974,0.2978723404255319
WCL29,062023,566,0.8913611021189654,2.14397233630523,1.1515573994868349,151.66252370341832,0.7579505300353356,0.10954063604240283,0.2600706713780919,0.969626168224299,0.35766423357664234
WCL29,062223,579,0.9242392193127416,2.024957089991179,1.3702512758321894,147.36934388967097,0.7288428324697754,0.09844559585492228,0.2903281519861831,0.9834123222748815,0.32051282051282054
WCL29,062623,559,0.7593049045147421,2.57021299777023,1.5325829922582352,111.86051916013278,0.774597495527728,0.07513416815742398,0.27316636851520576,0.9861431870669746,0.28
WCL29,062823,495,0.9287200300851604,1.4046438354243742,1.9868419702773472,117.40749598991349,0.7333333333333333,0.07676767676767676,0.3004040404040404,0.9779005524861879,0.22727272727272727
WCL29,063023,501,0.7695322486239334,2.6151815946028045,0.9745268656138667,126.29299865455545,0.7644710578842315,0.10778443113772455,0.270059880239521,0.9765013054830287,0.38461538461538464
