mouse,n_sessions,n_trials,alpha,beta,kappa,reward_rate,switch_rate,choice_deviation,win_stay_prob,lose_switch_prob
WCL23,2,1053,0.7877547473633164,3.1072067039599753,0.6221514879568787,0.7824858757062148,0.1188388856419248,0.2512955386713423,0.9744207697928207,0.45764751552795035
WCL24,2,974,0.9032938975805548,2.91469403792105,0.7788280529106726,0.772872340425532,0.10753968253968255,0.24420381627828439,0.9800523426528789,0.4055416666666667
WCL27,2,1145,0.8270902441665924,3.148595084764164,0.9880137617442102,0.7609021106192252,0.08970131707048257,0.2531294966231317,0.9896990079742792,0.341324200913242
WCL28,2,1109,0.8268606383027445,2.724815441326613,1.2790951370608137,0.7824906927703001,0.0832264846007654,0.24171135872536514,0.9861405258918235,0.3428217821782178
WCL29,2,956,0.7895337936631066,4.058221990550411,0.4380698549108076,0.7845390201305267,0.1128736447239986,0.24369668080487092,0.9825803599440974,0.46166666666666667
