peth_time,r_squared,r_squared_adj,n_trials,Intercept_beta,Intercept_se,Intercept_tstat,Intercept_pvalue,C(Q_diff_bin)[T.1]_beta,C(Q_diff_bin)[T.1]_se,C(Q_diff_bin)[T.1]_tstat,C(Q_diff_bin)[T.1]_pvalue,C(Q_diff_bin)[T.2]_beta,C(Q_diff_bin)[T.2]_se,C(Q_diff_bin)[T.2]_tstat,C(Q_diff_bin)[T.2]_pvalue,C(Q_diff_bin)[T.3]_beta,C(Q_diff_bin)[T.3]_se,C(Q_diff_bin)[T.3]_tstat,C(Q_diff_bin)[T.3]_pvalue,C(Q_diff_bin)[T.4]_beta,C(Q_diff_bin)[T.4]_se,C(Q_diff_bin)[T.4]_tstat,C(Q_diff_bin)[T.4]_pvalue,Reward_beta,Reward_se,Reward_tstat,Reward_pvalue,Q_chosen_beta,Q_chosen_se,Q_chosen_tstat,Q_chosen_pvalue,Port_beta,Port_se,Port_tstat,Port_pvalue
-2.16,0.055571306583897195,0.05540079251787078,38779,0.19765228210029556,0.022815674354100597,8.663004171286836,4.76921380651136e-18,0.1017566574529481,0.03055809010098196,3.3299416657482213,0.000869451766392391,0.14295048984226713,0.03303826131062278,4.326816369004997,1.5165806855711863e-05,0.14172331700738786,0.032471979679443985,4.36448034294331,1.2775449354867091e-05,0.035944066818654016,0.03272835646403807,1.0982545627718694,0.27210016681993116,-0.02348376188765842,0.009152545321054015,-2.5658176019776335,0.010297017205213517,0.45353715205333855,0.011023091809160251,41.1442778401289,0.0,-0.021132379384728422,0.010803792150647576,-1.956014989001964,0.05047055862555987
-2.106,0.058095478267680356,0.057925419934077294,38779,0.18833438302900254,0.02104955062903593,8.94719257185531,3.8038923994435823e-19,0.0764339205113699,0.028192638741429736,2.711130419979045,0.006708377053305653,0.1245868545981868,0.030480823987930193,4.0873847323655275,4.371412306281192e-05,0.10930567815059196,0.029958377283932212,3.6485847385738293,0.00026403462197813,0.0068918698437084955,0.030194908364437084,0.22824609237183816,0.8194561341454013,-0.021410443101985602,0.00844406188175835,-2.5355620792214277,0.011230596434307703,0.42782339752182574,0.010169812451049805,42.06797318840059,0.0,-0.021490876079010637,0.009967488417442478,-2.156097421834266,0.031082189908159273
-2.052,0.062165833076568755,0.06199650963460279,38779,0.1681972705285577,0.019188612883064362,8.765473124793017,1.933908849696845e-18,0.06996680049589664,0.025700198569329504,2.7224225644464353,0.006483418208305937,0.1135675809302264,0.027786091122269357,4.08720969172979,4.374709181114644e-05,0.09601465868760857,0.02730983261529574,3.5157541988680117,0.0004390071579311316,-0.012873937002777653,0.02752545257880984,-0.4677102752776719,0.6399944208480044,-0.021248146467418447,0.007697543641914884,-2.760380123305496,0.005776126164188041,0.4053903888789596,0.009270724950649472,43.72801383246296,0.0,-0.023548562654987625,0.009086287875186406,-2.591659319896303,0.00955501061288094
-1.998,0.06678330185541237,0.0666148120850425,38779,0.15098931371628957,0.01738126742090802,8.686898950456497,3.867532179969088e-18,0.05520804640758604,0.02327953702678569,2.3715268196297483,0.01771961704729887,0.09051903220964908,0.025168962619707354,3.5964546325311186,0.00032298451938427697,0.06617645860750457,0.024737562157274927,2.675140670158685,0.007472925260035082,-0.03350888082148768,0.02493287321336657,-1.3439638719023965,0.1789679342615003,-0.0199803127574689,0.006972524034935167,-2.8655781833607814,0.004164722749452835,0.3796967864894112,0.008397529854549323,45.215294624253374,0.0,-0.027565154988684917,0.008230464619011477,-3.3491614707889528,0.0008113375314390114
-1.944,0.0696843449101896,0.06951637891535778,38779,0.13474357855992367,0.01583069146789008,8.511540941419304,1.7770226892170867e-17,0.04109003570853848,0.021202778788332738,1.9379552142075411,0.05263593777610667,0.07469115261631361,0.02292364947565086,3.258257490616814,0.0011219507958499916,0.04062374071967384,0.02253073407687748,1.8030367133649938,0.07139021029759088,-0.04345509152188728,0.022708621511342432,-1.9135944249272225,0.0556793536766179,-0.014552133026250401,0.006350507939181126,-2.2914911949746877,0.02194035667877978,0.351192906530439,0.0076483895564401425,45.91723577085917,0.0,-0.028353744570347394,0.0074962281441124864,-3.7824014991614594,0.00015555570044480273
-1.89,0.06781076225882832,0.06764245799367696,38779,0.11689329450896209,0.01459570826249679,8.008744242258919,1.1909510721859057e-15,0.02536421761334115,0.019548708543557135,1.2974881464331152,0.19447100087217228,0.06407480500531536,0.021135330742626832,3.0316443014580305,0.0024338616709669086,0.021537951110605514,0.020773067442633204,1.036820930278333,0.29982578556755685,-0.051185994861954597,0.020937077530397266,-2.4447535616009812,0.014499535111304524,-0.01214367748099846,0.005855092393592787,-2.0740368664868987,0.03808247156324479,0.31742264845336093,0.007051723727302616,45.01348333094433,0.0,-0.030383477201996183,0.006911432724370199,-4.396118491447063,1.1049645480164622e-05
-1.836,0.06439545640109423,0.06422653551163593,38779,0.10132268953698247,0.013594229661107996,7.453360143448112,9.288547499830815e-14,0.015229206057957259,0.0182073818371675,0.8364303112965553,0.40291802132288956,0.04822926438002387,0.019685138597693216,2.450034280463515,0.014288650507013606,0.004913748957546123,0.019347731847069262,0.2539702842889278,0.7995198620426166,-0.057952529162238954,0.019500488449195382,-2.9718501315094064,0.0029619281010880246,-0.010766185160527566,0.005453347604242331,-1.9742341662123666,0.048362208822847134,0.28572010549914556,0.006567872564427213,43.50268716336815,0.0,-0.030153519499144136,0.006437207571749139,-4.684254649714632,2.819322653591085e-06
-1.782,0.05681019522136044,0.05663990483335268,38779,0.08081019443430797,0.012807132858613289,6.309780286222299,2.824439914659e-10,0.017005005992430208,0.017153186609994424,0.9913613358885819,0.32151535953791466,0.04522498322504486,0.01854538224274235,2.438611544000041,0.01474826412450187,-0.00011335210718028693,0.01822751111724587,-0.0062187375144728005,0.9950382293255982,-0.06369333684360773,0.018371423214306917,-3.4669789107033333,0.0005269133276121163,-0.006442909009418301,0.005137602426384166,-1.2540692086897833,0.20982441191677728,0.25209691308806603,0.006187597137019728,40.7422958388479,0.0,-0.02816578074898934,0.006064497559999529,-4.644371684600287,3.4223107572181836e-06
-1.728,0.04864433651527733,0.04847257180339504,38779,0.05662908531852459,0.012152058050940698,4.660040717476733,3.1719659884779686e-06,0.023357593092447847,0.016275814559312752,1.4351105443802823,0.15126366584803516,0.039365449457146935,0.017596800476628417,2.237079945836235,0.02528677555456663,-0.0038770835594603733,0.017295188210058293,-0.22417122683901142,0.8226252526310436,-0.06806367309928675,0.01743173931615089,-3.904583006024205,9.454771542584437e-05,-0.005881345919181267,0.004874818089053081,-1.2064749518322437,0.22764177296950322,0.22121406254498832,0.0058711063932102995,37.678428515758725,3.691058925803986e-305,-0.026159928620387966,0.005754303263071017,-4.546150493713579,5.4800961196417616e-06
-1.674,0.03857446933860709,0.03840088653923057,38779,0.031201977588660074,0.011670822572515465,2.6735028653541577,0.007509507178248158,0.03269930919306946,0.015631273579227084,2.0919158651617904,0.036452530944762605,0.03710999109323839,0.01689994693456785,2.1958643560786624,0.028107555709288044,-0.005215650377404293,0.016610278860725684,-0.31400137355529184,0.7535216849403115,-0.05567779311443475,0.016741422385929964,-3.3257504548256414,0.0008826267879133876,-0.004100205599067365,0.0046817696847838266,-0.8757811415613637,0.3811544496698175,0.1880826423686794,0.00563860382597616,33.356243526493614,1.5131287560900707e-240,-0.02579776622940088,0.005526426234159563,-4.668073929937129,3.0505275599900023e-06
