peth_time,r_squared,r_squared_adj,n_trials,Intercept_beta,Intercept_se,Intercept_tstat,Intercept_pvalue,C(Behavioral_State)[T.Exploration]_beta,C(Behavioral_State)[T.Exploration]_se,C(Behavioral_State)[T.Exploration]_tstat,C(Behavioral_State)[T.Exploration]_pvalue,C(Behavioral_State)[T.Left Bias]_beta,C(Behavioral_State)[T.Left Bias]_se,C(Behavioral_State)[T.Left Bias]_tstat,C(Behavioral_State)[T.Left Bias]_pvalue,C(Behavioral_State)[T.Right Bias]_beta,C(Behavioral_State)[T.Right Bias]_se,C(Behavioral_State)[T.Right Bias]_tstat,C(Behavioral_State)[T.Right Bias]_pvalue,Choice_beta,Choice_se,Choice_tstat,Choice_pvalue,Reward_beta,Reward_se,Reward_tstat,Reward_pvalue,Choice:Reward_beta,Choice:Reward_se,Choice:Reward_tstat,Choice:Reward_pvalue,Reward_lag1_beta,Reward_lag1_se,Reward_lag1_tstat,Reward_lag1_pvalue,Reward_lag2_beta,Reward_lag2_se,Reward_lag2_tstat,Reward_lag2_pvalue,Reward_lag3_beta,Reward_lag3_se,Reward_lag3_tstat,Reward_lag3_pvalue,Choice_lag1_beta,Choice_lag1_se,Choice_lag1_tstat,Choice_lag1_pvalue,Choice_lag2_beta,Choice_lag2_se,Choice_lag2_tstat,Choice_lag2_pvalue,Choice_lag3_beta,Choice_lag3_se,Choice_lag3_tstat,Choice_lag3_pvalue,RPE_beta,RPE_se,RPE_tstat,RPE_pvalue,RPE_abs_beta,RPE_abs_se,RPE_abs_tstat,RPE_abs_pvalue,Q_unchosen_beta,Q_unchosen_se,Q_unchosen_tstat,Q_unchosen_pvalue,belief_p_right_beta,belief_p_right_se,belief_p_right_tstat,belief_p_right_pvalue,true_switch_beta,true_switch_se,true_switch_tstat,true_switch_pvalue,trials_since_switch_beta,trials_since_switch_se,trials_since_switch_tstat,trials_since_switch_pvalue,trials_since_switch_expdecay_beta,trials_since_switch_expdecay_se,trials_since_switch_expdecay_tstat,trials_since_switch_expdecay_pvalue,first_win_after_switch_beta,first_win_after_switch_se,first_win_after_switch_tstat,first_win_after_switch_pvalue,first_loss_after_switch_beta,first_loss_after_switch_se,first_loss_after_switch_tstat,first_loss_after_switch_pvalue,detected_switch_beta,detected_switch_se,detected_switch_tstat,detected_switch_pvalue,Choice:RPE_beta,Choice:RPE_se,Choice:RPE_tstat,Choice:RPE_pvalue,local_reward_rate_beta,local_reward_rate_se,local_reward_rate_tstat,local_reward_rate_pvalue
-2.16,0.06750099728696146,0.06537645047994489,10559,0.37204942787448114,0.040934412252943135,9.088915838720299,1.179761952677349e-19,0.13997058340507182,0.050240884069077056,2.785989657598856,0.005345998578616427,-0.046558940332979346,0.1090510811290849,-0.42694616000979435,0.6694272687515417,0.00863375623306889,0.1005212647419517,0.08588984883181305,0.9315556135000324,0.028597783921689168,0.04087254179605024,0.6996820521803894,0.48414133753412114,0.31041298935260275,0.045947294670647836,6.755849100097324,1.4949650280202346e-11,0.03951617293820803,0.040675440792437005,0.9714995625949178,0.33132187712507366,0.19687030655782026,0.03551612709963952,5.543124282822449,3.042781612125883e-08,-0.2513247846669311,0.02274468287143726,-11.0498258466617,3.138233973397773e-28,-0.10957556386011026,0.02100072078649198,-5.2177049051854985,1.845975794732602e-07,0.04795445709162646,0.05429656469443402,0.8831950485541916,0.3771510512637952,-0.04969741235289683,0.033091613466024634,-1.50181291111482,0.13317540672714226,0.01108149356803233,0.027272560261193027,0.4063239190564933,0.6845128668382248,-0.3357599823402252,0.04473325153976065,-7.505825549966756,6.597507256667959e-14,-0.02274158073504365,0.021112733220865418,-1.0771500069241846,0.2814379221954044,-0.010584202053297485,0.021523076882113967,-0.49176063958091104,0.6228988112973145,-0.06651396334877925,0.07919998108338466,-0.8398229701437794,0.4010267118903271,-0.01933604042990409,0.040392741206700174,-0.47870087179665616,0.6321613810510924,0.02207337507003592,0.02487424913241454,0.8873986488006709,0.37488457065020764,-0.027017875651631287,0.042312303978103975,-0.6385347313068241,0.5231395347593881,0.017948978825575935,0.022527013586572477,0.796775780180408,0.4255992208052253,0.03355399615701494,0.040272571870357154,0.8331724198054642,0.4047663849160652,-0.016692706842549296,0.0192620905276811,-0.8666093027940346,0.386175852952816,-0.05301725663273471,0.034749166702765115,-1.5257130361205449,0.1271113681162114,0.03995356279963723,0.02058459423654771,1.9409448804533702,0.052291603298977335
-2.106,0.06320528536313197,0.061070951477496416,10559,0.3000202098453023,0.037864456582642154,7.923531378048028,2.5415140391947006e-15,0.14349383281622058,0.04647297148795266,3.0876836195727004,0.002022474062576779,-0.037033576590254386,0.10087258371238837,-0.3671322298618412,0.7135277621741778,0.049214939258098805,0.09298247745526741,0.5292926216315911,0.5966136264869573,0.020404268024157568,0.037807226220708694,0.5396922774774005,0.589420674201294,0.29583470178086546,0.04250138815713722,6.960589162102137,3.5902024203906947e-12,0.030245702386862455,0.03762490718928858,0.8038744716285465,0.42148761439873306,0.16658334876045972,0.03285252623729101,5.070640460256916,4.032222918740858e-07,-0.22164813640320882,0.021038901248901662,-10.53515741059814,7.99369437332868e-26,-0.1003712713629607,0.01942573098425625,-5.166923779821076,2.4233310971835025e-07,0.031352699502753996,0.0502244884757372,0.6242512458419578,0.5324761155915738,-0.05025567446273853,0.03060984370781523,-1.641814147842492,0.1006583768104864,0.006579125796798051,0.02522720168855455,0.26079491011414735,0.7942557676633322,-0.3072538310432973,0.041378394546409916,-7.4254652557552,1.2107530388243667e-13,-0.018904144078897546,0.019529342828780636,-0.9679866979977572,0.33307323636729613,-0.0005281669103776847,0.01990891197098057,-0.02652917000926751,0.9788357700052188,-0.03929632108116404,0.07326022483350263,-0.5363936729715502,0.5916978300313425,0.005604189797744297,0.037363409207494695,0.14999139309322332,0.8807742773633859,0.015491691194111087,0.0230087565562253,0.6732954541135175,0.5007741152365456,-0.019095863702467575,0.03913901064440674,-0.4878984774541438,0.6256319074408097,0.005456168573400957,0.020837556494390258,0.2618430128729263,0.7934475957063363,0.008637743986181508,0.03725225220369045,0.23187172520339042,0.8166421500900207,-0.02575332722898447,0.01781749267509916,-1.445395696161898,0.14837651899209164,-0.035313699310503315,0.03214308552348257,-1.0986406169595762,0.2719499633060477,0.041891792544158576,0.019040812652318637,2.200105284847563,0.02782105958282122
-2.052,0.05982472878311962,0.0576826928509756,10559,0.22675166198968644,0.03473308548617348,6.528405375328707,6.953271672257968e-11,0.15657592899964828,0.0426296806337245,3.6729322545236354,0.00024097070798950008,-0.027274131845546893,0.09253047288944075,-0.29475837520181225,0.7681842746462201,0.055963420356509,0.08529287436414713,0.6561324234141795,0.5117532552354541,0.027309948620932646,0.03468058804575463,0.7874707483305132,0.4310240630127984,0.2755029197015233,0.03898654520291229,7.066615373781396,1.6880132863394485e-12,0.03386680298044821,0.03451334670451815,0.9812668493262838,0.3264837016562887,0.1327772172467663,0.030135639204173226,4.405986425148703,1.0634450615643846e-05,-0.20524718166732497,0.019298994929937866,-10.635122834761312,2.7800215707161064e-26,-0.0915600615095717,0.017819233016984185,-5.138271743924239,2.8224201115306415e-07,0.039264506413007605,0.04607094909495696,0.8522617220687038,0.3940882217116978,-0.031594402118805966,0.028078425367111613,-1.1252198691958215,0.2605215121719378,0.00232710599114669,0.023140925076082612,0.10056235796519125,0.919899792944157,-0.29274339987449605,0.037956422586556064,-7.71261831135224,1.3439326670553618e-14,-0.013055754443975444,0.017914276215224494,-0.7287905069187209,0.4661460210662506,0.010345733093803773,0.0182624551844689,0.5665028600646307,0.5710640582750901,-0.06847701204479223,0.06720164189665967,-1.0189782587469185,0.30823668983690516,0.02143990943227389,0.03427347447140462,0.6255540111686617,0.5316210631804886,0.0064394346325895415,0.021105944215881908,0.3051005236592999,0.7602956202703869,-0.0195331539840894,0.03590223458217061,-0.5440651316391808,0.5864081687213648,-0.00038870953908049454,0.01911430128313024,-0.02033605797683847,0.9837756767799315,-0.003979554417032211,0.03417151009467857,-0.11645825443494037,0.9072915890748436,-0.022131893209900583,0.01634399518933504,-1.354129939070364,0.17572397360192124,-0.05015836885165108,0.029484868872733255,-1.7011562462140055,0.08894316405952235,0.040126281316874304,0.017466147233243842,2.297374502861212,0.021616927207475843
-1.998,0.05811189801711192,0.05596595967957729,10559,0.15431847221704095,0.03146941694183402,4.903760133283466,9.54235060499789e-07,0.16940324048872765,0.03862401439958276,4.38595633110984,1.1659903756451359e-05,0.015183335613734299,0.08383591582561932,0.18110776824238425,0.8562864715276522,0.049426233193690994,0.0772783928626584,0.639586711922605,0.522455232222407,0.021585947278802184,0.03142185238435819,0.6869724615455095,0.49211520495017536,0.26172861841303724,0.035323203479878086,7.409537998503769,1.3645619410252142e-13,0.020719911423268313,0.031270325751362196,0.6626061905468226,0.5075973011664785,0.09861768385516241,0.027303966280286997,3.6118446251657845,0.00030544066160196373,-0.18679575539024917,0.0174855792253274,-10.682846303408724,1.673385551474839e-26,-0.09413534679538707,0.016144862039924372,-5.830669011763697,5.682787181075928e-09,0.07356268591090569,0.041741926629362,1.7623212882359007,0.07804402640088548,-0.04048282837903687,0.02544005701133439,-1.5913025808472216,0.11157150273523952,0.014036171791574969,0.020966505262795605,0.6694569083232821,0.5032187325945917,-0.2763093520429144,0.03438987556899519,-8.034613311948883,1.0390660543471404e-15,-0.013712314583047471,0.01623097457473215,-0.8448238594615479,0.3982283777916883,0.020078975060756205,0.016546437166095992,1.2134923584575934,0.22496884222147007,-0.08888129492623267,0.060887089598292705,-1.4597724330828408,0.1443824474187103,0.0275209910262827,0.031052992934223804,0.8862588892664046,0.3754982681925624,-0.0031457057023735815,0.019122739865569355,-0.16450078411815086,0.8693400857551767,-0.0188332716664851,0.03252870781260185,-0.5789738644087472,0.5626191876893737,-0.007179164032223463,0.01731824017967277,-0.4145435077549037,0.6784845520159195,-0.008309358316839249,0.030960609564318942,-0.26838484234546545,0.7884083611198568,-0.02357075535514544,0.01480824383751511,-1.59173198481723,0.11147494400250876,-0.04473986790000452,0.026714345099018426,-1.67475069046886,0.09401284055673101,0.03517417405326065,0.015824953699239166,2.2227031258203147,0.026256971349375262
-1.944,0.05636912391394622,0.054219214950013694,10559,0.0947568279255876,0.02864638026280409,3.307811564891661,0.0009434310831989567,0.1740192635056416,0.03515915804260166,4.949471864337191,7.556727081271764e-07,0.009628401169613991,0.07631522150092822,0.12616619568478724,0.8996027772685261,0.057950854960499065,0.07034595627029949,0.8237979556042553,0.4100730199678122,0.022434975395971297,0.028603082593736912,0.7843551590094622,0.4328493792165985,0.2655709169241447,0.032154453984809685,8.259226452721137,1.6418717451395097e-16,0.02196424521173098,0.028465149007081372,0.7716188384001383,0.44035752195806055,0.07872834013348322,0.02485460096682357,3.167555988469556,0.0015416498735420611,-0.16694424091121857,0.015916994983731145,-10.488427060626284,1.3054016313597532e-25,-0.08312867979900217,0.014696549927856106,-5.6563397672972595,1.586674563589195e-08,0.06803346846032009,0.037997370759583066,1.7904783173230958,0.07340575610414381,-0.04143660736172864,0.0231578979807952,-1.78930779451969,0.07359397840748431,0.01670097020145852,0.019085656516937128,0.8750534825269242,0.38156475678645974,-0.26232491724142015,0.031304852408318526,-8.379688676369977,5.98220647760761e-17,-0.003022878001100416,0.0147749375389789,-0.2045949766708339,0.8378925331391798,0.02834446147790959,0.015062100830488282,1.881839844049877,0.05988531105827733,-0.08413439610327328,0.05542507269683357,-1.5179844068671808,0.12904833891134013,0.015438799976129965,0.028267312531914387,0.5461714819440029,0.5849596339713904,0.00042669015932856203,0.0174072903501293,0.02451215270993585,0.980444554461872,0.006581746220932002,0.029610645001137803,0.22227635435429033,0.8241030673277623,-0.010553940200909736,0.015764667473389993,-0.6694679871125911,0.5032116678926175,-0.01527151540986547,0.02818321662543015,-0.5418655937266489,0.5879225613419463,-0.017564882122784904,0.013479836146244813,-1.303048637403363,0.19258663891836328,-0.042578085987490924,0.024317873114482278,-1.7508967904818102,0.07999279571908025,0.025014699090050965,0.014405339703229141,1.7364879694189788,0.08250682473959167
-1.89,0.0548911954330733,0.05273791925027416,10559,0.03824672424237426,0.026126905992115538,1.463882644730922,0.14325585524356718,0.16223974337116373,0.032066879253632725,5.059417914912449,4.276292164471979e-07,0.02939767405922844,0.06960323083161685,0.42236076842965636,0.6727703290124942,0.07087070489563843,0.0641589677138384,1.104611053153718,0.2693533894415916,0.021642628857126235,0.026087416391020465,0.8296194813901093,0.4067727579943955,0.2453268375547627,0.029326441553237045,8.365380338061629,6.749353146846967e-17,0.018454775826958612,0.02596161418429685,0.7108485510936055,0.4771938289292439,0.0673673679258827,0.022668617011096622,2.971834051142396,0.002966956038401677,-0.15373600693624215,0.014517081313651843,-10.590007978509359,4.483087297772039e-26,-0.07361162582170927,0.013403975470928937,-5.49177562890659,4.071532312685279e-08,0.0822411748132943,0.034655468672676534,2.3731081403073286,0.017656939048879945,-0.04386398489806122,0.021121140540917082,-2.0767810721719973,0.03784595162355478,0.01510946081743895,0.01740705628568699,0.8680078107096577,0.3854098303124801,-0.23249263880755236,0.02855156318060859,-8.142904027246212,4.295005329111114e-16,-0.010081824825170527,0.013475468822897423,-0.7481613410020704,0.45437954856890206,0.032406246670986946,0.013737375851039265,2.3589837697084874,0.018343209114522738,-0.08894546326834499,0.05055038893820061,-1.759540631370483,0.07851474954788933,0.02406801830701589,0.025781177600648936,0.9335499983681923,0.3505574655181989,-0.00552835915432099,0.015876303895393785,-0.3482144956878119,0.7276860605144316,-0.00867332797769004,0.027006362800928097,-0.3211586855151029,0.7480965106147373,-0.006058794312642802,0.014378151141456092,-0.4213889708791322,0.6734796693846832,-0.00834274271221832,0.025704478002902955,-0.32456378656186385,0.745517683424045,-0.009479295463732891,0.012294272733625473,-0.7710334453380497,0.4407044011553015,-0.038920666417212015,0.022179094844148387,-1.7548356545073631,0.07931649211991,0.025862503962170637,0.013138377440986889,1.9684701614286988,0.049040146515167
-1.836,0.054428690071852914,0.05227436014606257,10559,-0.028699331456404575,0.0242804459752607,-1.181993587994482,0.23723492595818704,0.1673374090724617,0.02980062505479981,5.61523151829024,2.0127327703791874e-08,0.029572350480561078,0.06468417984206293,0.4571805741800675,0.6475506876693258,0.10214534667139492,0.05962467771248756,1.7131387638511628,0.08671643880424512,0.017609394541881228,0.02424374721245033,0.7263478862227187,0.46764166879008184,0.23798862685642863,0.02725386159367262,8.732290139452427,2.8733355702929566e-18,0.01902213687297382,0.024126835792290476,0.7884223624157206,0.43046743661625686,0.0601376744535343,0.021066563749948267,2.8546503913663654,0.004316834482413965,-0.14096681287136542,0.013491119410042676,-10.44885962290356,1.9741497624647563e-25,-0.06607215723910329,0.012456679806396666,-5.304154739947187,1.154906972337397e-07,0.0780201983722935,0.03220627176858184,2.422515680576368,0.015430216042426732,-0.036582873669567195,0.019628451680975375,-1.8637676707340436,0.062382138433127905,0.009051901539303207,0.016176851934189638,0.5595589040517884,0.5757922396283743,-0.21433351300763565,0.026533745998290566,-8.077770587743021,7.316868940129637e-16,-0.006065050303630369,0.012523120527337178,-0.4843082273616028,0.6281772067325526,0.029969648479287705,0.012766517868348705,2.3475194088428557,0.018917293527863907,-0.09434796299693504,0.04697785447740315,-2.0083497649369537,0.04463161462570682,0.014272480711576005,0.02395915115628551,0.5957005996780367,0.551388055621103,-0.014489940144935692,0.014754282008564634,-0.9820837189179727,0.32608116043895086,-0.00632282890903343,0.025097749162266182,-0.2519281258312853,0.8011015340471016,-0.004796581775508692,0.013362007813692517,-0.3589716337834698,0.7196235043538939,-0.005412473179366939,0.02388787212921826,-0.22657828835020913,0.8207560729961891,-0.01059265022785983,0.011425402801387855,-0.927113941801083,0.3538886189205964,-0.03554781627417576,0.02061163745550429,-1.7246478525015392,0.08462028832798797,0.015709140892844226,0.01220985231679305,1.2865954874194803,0.19826359131123714
-1.782,0.050676565265478146,0.048513686735610184,10559,-0.07822769784639419,0.022570391310649408,-3.4659433578133823,0.0005304807048984412,0.16094300995591942,0.027701788075643156,5.809841932096392,6.434368209965618e-09,0.04074576274024984,0.060128518731958965,0.6776445453759868,0.498011977759129,0.054076805399667305,0.05542535376464605,0.9756691067646565,0.3292508706700381,-0.006651033568607479,0.02253627721578926,-0.29512565473536434,0.7679037087016194,0.24167949532305444,0.02533439136670822,9.539581662918655,1.7510844655416955e-21,-0.0026887051080894155,0.022427599784395274,-0.11988376526854955,0.9045775113766856,0.033829552607476165,0.01958286054101067,1.727508222643464,0.08410574053822502,-0.13338491430242497,0.012540949396630321,-10.635950284454916,2.755712843958691e-26,-0.05768238229569541,0.011579364643808546,-4.981480769459836,6.41012462110678e-07,0.06268984224800174,0.029938006790100072,2.0939885105755294,0.036284844223588825,-0.024331064816688584,0.018246033689545176,-1.3334988431283057,0.18239698856324416,0.007841419375026257,0.015037527675608339,0.5214566878400797,0.6020596328153544,-0.20743021015318408,0.024664993004205545,-8.409903465929053,4.633666018762451e-17,0.0006280674729841748,0.011641125991689755,0.053952467607732535,0.9569740575107945,0.039566378156334736,0.011867381029846762,3.3340446436180233,0.0008588823571122942,-0.05871550747640979,0.0436692373595641,-1.344550787387414,0.1787992956718838,0.014445239810875352,0.022271725058895093,0.648590972305761,0.5166169304929114,-0.02300673290047077,0.01371514834530969,-1.6774687609076147,0.09348052044541362,-0.00268634944049396,0.02333013241132565,-0.11514505760755422,0.9083323412431239,-0.0021625405116335542,0.01242093103884007,-0.17410454215318655,0.8617866492308759,-0.013708955138972065,0.022205466163371122,-0.6173684910783624,0.5370050444698922,0.001043140548025325,0.010620719750035194,0.09821750056269662,0.9217614549366812,-0.019093674056901308,0.019159974384242127,-0.9965396442598928,0.3190109050861754,0.004758703374464495,0.011349921040002622,0.41927193657934,0.6750259531241366
-1.728,0.04554143426667234,0.043366856178804536,10559,-0.13281780155904016,0.021411270332849827,-6.203172417811522,5.741379959585093e-10,0.15442657172449986,0.026279140003702732,5.876393660627446,4.320078045367454e-09,0.048966390201077306,0.05704056928230348,0.858448483547461,0.39066439772238126,0.062085396395015376,0.05257893921355,1.1808035179799803,0.23770744642941125,-0.018168424642030022,0.021378908195341537,-0.8498293961517137,0.39543925758814824,0.23200416556925843,0.024033322896571396,9.653436878774523,5.860063967704366e-22,-0.011655878841599646,0.02127581198266939,-0.5478464864746013,0.5838089238934168,0.011435771066992947,0.018577166658880276,0.6155820893993222,0.5381836744040224,-0.12295978519145251,0.011896898643274598,-10.33544866425861,6.406866605787768e-25,-0.047187958472998406,0.01098469686496962,-4.295790685265206,1.7563342574968218e-05,0.06383838215558552,0.02840051586996977,2.2477895277630204,0.024610214725279803,-0.04042458975882829,0.017308993648010283,-2.335467363434801,0.019537690168609304,0.011041363183369832,0.01426526309485137,0.7740034733292013,0.4389461073936024,-0.1969564864020474,0.023398302036602998,-8.417554662468229,4.3428192099039384e-17,0.007868956509850943,0.011043286408119536,0.7125556848788528,0.4761365244082014,0.03510121653981521,0.011257921933019062,3.117912590676674,0.001826274471577165,-0.04519186473058205,0.04142656781913408,-1.090890872926935,0.2753458551225056,0.009134307878643848,0.0211279423316825,0.4323330561607249,0.6655082149590272,-0.02789087981634204,0.013010795640836164,-2.143672115547084,0.03208199469661925,-0.013771614786129,0.02213199430549449,-0.6222491564038609,0.5337915157257999,-0.004825903214462722,0.01178304392679304,-0.4095633729659001,0.6821345974666315,-0.003789563568193651,0.021065086216141855,-0.1798978427769152,0.8572362290770759,0.002177977289744512,0.01007528396683778,0.21617031310613172,0.8288591788344899,-0.006296539132575224,0.018175998167914903,-0.34642054177195947,0.7290336086730265,-0.004000237507310637,0.010767036525828137,-0.3715263246033209,0.7102530248326687
-1.674,0.03556155797734106,0.03336424236992275,10559,-0.16412604865121022,0.020516892563035252,-7.99955686013153,1.3797303369496877e-15,0.14010124549399078,0.025181424722741708,5.563674297088652,2.706080872731791e-08,0.060668851083432326,0.05465790742475875,1.1099739075621977,0.26703560737945214,0.04920989074267445,0.05038264568859819,0.9767230376671319,0.32872871591114194,-0.0073987187654615955,0.02048588223585494,-0.36116183234286875,0.7179857153467744,0.2073489811230314,0.023029418438810612,9.003656851950458,2.559415554912892e-19,-0.0021277449625015247,0.020387092491660964,-0.10436725900821056,0.9168798912253648,-0.004729880445136714,0.017801173239174028,-0.2657061072091549,0.790470759255121,-0.11453771439812711,0.011399949069014294,-10.047212816892937,1.2074478350725954e-23,-0.029118083269569193,0.010525851194841038,-2.7663400071474156,0.0056788197287604035,0.07548608590887751,0.02721418784503253,2.773776911467015,0.005550717208901926,-0.016749186363223995,0.016585973533090197,-1.009840413033831,0.3125949494786057,0.007019019490223204,0.013669383728786068,0.5134847063691684,0.6076230753883562,-0.1739688176209993,0.022420923260490024,-7.759217388142343,9.336500960498808e-15,0.006164781554411795,0.010581993373396407,0.582572804279988,0.5601933867932596,0.037882322332167505,0.010787663281632446,3.5116337378334403,0.00044722550589900524,-0.07901726036637804,0.03969612395657144,-1.990553547566128,0.0465557879056364,0.004212959537075853,0.020245399556329757,0.2080946599919617,0.8351590796043706,-0.021251674392846066,0.012467317079878895,-1.7045908319075576,0.08830025055790439,-0.009523096087097616,0.021207510918904954,-0.4490435545931261,0.6534094751934028,0.0015133747792022076,0.011290850218290661,0.13403550219367977,0.893377061578287,-0.0017223017935429335,0.020185169025892773,-0.08532511129005804,0.9320045499450764,0.003591351395045706,0.009654425705537711,0.3719901633284859,0.7099076557599792,-0.01735272412047621,0.01741676209957977,-0.9963231983799614,0.3191160210264652,-0.005936126847047331,0.01031728282295195,-0.5753575770785068,0.5650617781467757
