mouse,date,session_dir,xcorr_peak,sync_pass,n_trials,trials_pass,p_right,balance_pass,zscore_std,signal_range_pass,missing_frac,missing_pass,QC_PASS,error,manual_include
SM1N,080624,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/080624/SM1N,0.9987060291200484,True,612,True,0.4411764705882353,True,1.0281157633827418,True,0.0,True,True,,True
SM2B,072924,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/072924/SM2B,0.9981529278792269,True,536,True,0.6996268656716418,True,1.009486610519919,True,0.0,True,True,,True
SM2B,073124,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/073124/SM2B,0.9946696361401591,True,558,True,0.7240143369175627,True,0.9964157764008046,True,0.0,True,True,,True
SM2B,080224,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/080224/SM2B,0.9906545939889173,True,514,True,0.7587548638132295,True,1.0196236602756232,True,0.0,True,True,,True
SM2B,080624,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/080624/SM2B,0.9994077524787052,True,583,True,0.6329331046312179,True,1.0142002595400124,True,0.0,True,True,,True
SM2L,072924,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/072924/SM2L,0.998261956014775,True,528,True,0.6553030303030303,True,1.0160365254167092,True,0.0,True,True,,True
SM2L,073124,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/073124/SM2L,0.9983837274127759,True,572,True,0.7727272727272727,True,1.0227952607295574,True,0.0,True,True,,True
SM2L,080224,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/080224/SM2L,0.9983445239020426,True,455,True,0.8153846153846154,True,1.0235445679231274,True,0.0,True,True,,True
SM2L,080624,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/080624/SM2L,0.8553350403091073,True,592,True,0.7094594594594594,True,1.0154816937970315,True,0.0,True,True,,True
SM2N,072624,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/072624/SM2N,0.9944351453182216,True,427,True,0.4028103044496487,True,1.0272038541116082,True,0.0,True,True,,True
SM2N,073024,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/073024/SM2N,0.9990925368029253,True,629,True,0.6248012718600954,True,1.0175476593298562,True,0.0,True,True,,True
