group,age_bin,mouse,date,hemisphere,window_sec,r,p,n_pts
SM_P100,P100,SM1B,071924,green_l,240.0,-0.21729966089325065,0.00017785246168284773,293
SM_P110,P110,SM1B,072624,green_l,60.0,0.19606418297388375,0.0013662843142214507,264
SM_P110,P110,SM1B,072624,green_l,120.0,0.1981534713348287,0.0012101072469826112,264
SM_P110,P110,SM1B,072624,green_l,180.0,0.3654442199703445,9.202332024769961e-10,264
SM_P110,P110,SM1B,072624,green_l,240.0,0.43169014649481147,2.0757574051760715e-13,264
SM_P110,P110,SM1L,072624,green_l,60.0,-0.40537884148954667,8.109367613251178e-13,288
SM_P110,P110,SM1L,072624,green_l,120.0,-0.26166945389828145,6.794839628429784e-06,288
SM_P110,P110,SM1L,072624,green_l,180.0,-0.30676139119150636,1.0849392146164171e-07,288
SM_P110,P110,SM1L,072624,green_l,240.0,-0.3823681292095249,1.845150282619827e-11,288
SM_P110,P110,SM2N,072624,green_l,60.0,-0.31349493151563695,1.2559725116879472e-09,359
SM_P110,P110,SM2N,072624,green_l,120.0,-0.09704751017557897,0.0662523222775155,359
SM_P110,P110,SM2N,072624,green_l,180.0,0.006848987252234928,0.8971054510102854,359
SM_P110,P110,SM2N,072624,green_l,240.0,-0.01573830195786466,0.7663316092012343,359
SM_P120,P120,SM1B,080724,green_l,60.0,0.042388481519385665,0.4456142606031129,326
SM_P120,P120,SM1B,080724,green_l,120.0,0.3583316631785214,2.5983182544307386e-11,326
SM_P120,P120,SM1B,080724,green_l,180.0,0.5096583047434278,5.949608599385651e-23,326
SM_P120,P120,SM1B,080724,green_l,240.0,0.6598172984455245,4.095855988742441e-42,326
SM_P120,P120,SM1L,080724,green_l,60.0,-0.12284422061319283,0.026098528756669216,328
SM_P120,P120,SM1L,080724,green_l,120.0,0.150175685622872,0.006432414370123916,328
SM_P120,P120,SM1L,080724,green_l,180.0,0.30063525569655153,2.8091864432805627e-08,328
SM_P120,P120,SM1L,080724,green_l,240.0,0.36302249804058767,1.1829303755938149e-11,328
SM_P120,P120,SM2N,080724,green_l,60.0,0.25723178022854704,6.089016923255318e-08,431
SM_P120,P120,SM2N,080724,green_l,120.0,0.3517513677992907,5.3493285854135204e-14,431
SM_P120,P120,SM2N,080724,green_l,180.0,0.43467051832080583,2.7234330151957567e-21,431
SM_P120,P120,SM2N,080724,green_l,240.0,0.512220962222475,3.346158762002122e-30,431
SM_P130,P130,SM1N,081624,green_l,60.0,-0.06022205457444316,0.2797911315604801,324
SM_P130,P130,SM1N,081624,green_l,120.0,0.028321023258649047,0.6115164082334937,324
SM_P130,P130,SM1N,081624,green_l,180.0,-0.05547463051018187,0.3195170465949923,324
SM_P130,P130,SM1N,081624,green_l,240.0,-0.13839405346979236,0.012649949900927413,324
SM_P130,P130,SM2B,081624,green_l,60.0,-0.1995853209370672,0.000306832180988872,323
SM_P130,P130,SM2B,081624,green_l,120.0,0.16807006986261613,0.0024417828620499306,323
SM_P130,P130,SM2B,081624,green_l,180.0,0.45590649144882833,5.5337443478381984e-18,323
SM_P130,P130,SM2B,081624,green_l,240.0,0.5659768196926768,9.475729455929442e-29,323
SM_P130,P130,SM2L,081624,green_l,60.0,-0.36064790559487614,1.643090768924091e-11,328
SM_P130,P130,SM2L,081624,green_l,120.0,-0.30038251487898954,2.888982081339446e-08,328
SM_P130,P130,SM2L,081624,green_l,180.0,-0.3128148025305184,7.054249895781161e-09,328
SM_P130,P130,SM2L,081624,green_l,240.0,-0.3727801076308901,2.9791016563811296e-12,328
SM_P140,P140,SM3FR,071824,green_l,60.0,-0.6855613406052677,3.232160807034149e-35,244
SM_P140,P140,SM3FR,071824,green_l,120.0,-0.75470090519699,3.406108539750696e-46,244
SM_P140,P140,SM3FR,071824,green_l,180.0,-0.8071036322125476,2.6355257312451657e-57,244
SM_P140,P140,SM3FR,071824,green_l,240.0,-0.7919126596148688,9.309291296409641e-54,244
SM_P140,P140,SM3MR,071824,green_l,60.0,0.018355481761717397,0.7167881150975071,393
SM_P140,P140,SM3MR,071824,green_l,120.0,0.3168874710205265,1.2890659382190826e-10,393
SM_P140,P140,SM3MR,071824,green_l,180.0,0.45317292737715437,2.6781959710630775e-21,393
SM_P140,P140,SM3MR,071824,green_l,240.0,0.5162091405122597,3.7908441284327664e-28,393
SM_P140,P140,SM3MN,071924,green_l,60.0,-0.5319099592134562,5.910609961654258e-20,254
SM_P140,P140,SM3MN,071924,green_l,120.0,-0.40017306675427855,3.468805447297163e-11,254
SM_P140,P140,SM3MN,071924,green_l,180.0,-0.3939127215002205,7.407358830599682e-11,254
SM_P140,P140,SM3MN,071924,green_l,240.0,-0.3241576732568454,1.2631652373203178e-07,254
SM_P150,P150,SM3FR,072524,green_l,60.0,0.01474029047424641,0.799296784768295,300
SM_P150,P150,SM3FR,072524,green_l,120.0,0.3422858650341772,1.138217557091189e-09,300
SM_P150,P150,SM3FR,072524,green_l,180.0,0.4636569627647997,2.1406513485348545e-17,300
SM_P150,P150,SM3FR,072524,green_l,240.0,0.3670995121938169,5.297072680917814e-11,300
SM_P150,P150,SM3MN,072624,green_l,60.0,-0.320220052849866,1.1485442938161412e-09,345
SM_P150,P150,SM3MN,072624,green_l,120.0,-0.09986807714557497,0.0639010410034511,345
SM_P150,P150,SM3MN,072624,green_l,180.0,0.07826423986154943,0.14687905769454662,345
SM_P150,P150,SM3MN,072624,green_l,240.0,0.20374512960194807,0.0001385679972563872,345
SM_P150,P150,SM3MR,073024,green_l,60.0,-0.1801686371187899,0.000941448636523808,334
SM_P150,P150,SM3MR,073024,green_l,120.0,-0.1479417973916044,0.006758435910886431,334
SM_P150,P150,SM3MR,073024,green_l,180.0,-0.132288220789924,0.015553266550671841,334
SM_P150,P150,SM3MR,073024,green_l,240.0,-0.1332567418566395,0.014805413663556003,334
SM_P160,P160,SM3MR,080524,green_l,60.0,-0.17073981683291084,0.002041581191409638,324
SM_P160,P160,SM3MR,080524,green_l,120.0,0.0597553478344516,0.2835414197116073,324
SM_P160,P160,SM3MR,080524,green_l,180.0,0.2060398364404443,0.00018806544039959137,324
SM_P160,P160,SM3MR,080524,green_l,240.0,0.26912676888628967,8.807560815824511e-07,324
SM_P160,P160,SM3MN,080624,green_l,60.0,-0.1634806854612474,0.0034101800037225614,319
SM_P160,P160,SM3MN,080624,green_l,120.0,-0.06936117811327963,0.21666101254184125,319
SM_P160,P160,SM3MN,080624,green_l,180.0,-0.03485736176123809,0.5350491227397992,319
SM_P160,P160,SM3MN,080624,green_l,240.0,0.02260256691427938,0.6875652466216291,319
SM_P170,P170,SM3MN,081424,green_l,60.0,0.13787664825162904,0.01284916324575826,325
SM_P170,P170,SM3MN,081424,green_l,120.0,0.2963634816679006,5.1808106762993896e-08,325
SM_P170,P170,SM3MN,081424,green_l,180.0,0.331865741669938,8.544701108793139e-10,325
SM_P170,P170,SM3MN,081424,green_l,240.0,0.2844748107074478,1.819809492786527e-07,325
SM_P170,P170,SM3MR,081524,green_l,60.0,-0.17762075238359015,0.0012153658593770972,329
SM_P170,P170,SM3MR,081524,green_l,120.0,0.045556693343485666,0.41016332839791414,329
SM_P170,P170,SM3MR,081524,green_l,180.0,0.09804434258145622,0.0757534213762176,329
SM_P170,P170,SM3MR,081524,green_l,240.0,0.0482654254273693,0.3828635947140085,329
SM_P70,P70,SM1N,062324,green_l,60.0,-0.582417574516524,1.0166721348611136e-32,345
SM_P70,P70,SM1N,062324,green_l,120.0,-0.6289575289673279,2.1484636608682373e-39,345
SM_P70,P70,SM1N,062324,green_l,180.0,-0.7106411104556765,2.53670080844497e-54,345
SM_P70,P70,SM1N,062324,green_l,240.0,-0.7845795953401808,3.432892409177656e-73,345
