mouse,date,session_dir,error,green_r_valid,green_l_valid,green_r_cohens_d,green_r_p_value,green_r_error,green_l_cohens_d,green_l_p_value,green_l_error,age_bin
SM1L,073024,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/073024/SM1L,,True,True,-0.2960510529772089,0.0002673582752064,,-0.3220359969165862,7.199006824033575e-05,,P110
SM1L,080124,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/080124/SM1L,,True,True,-0.2415354928069212,0.0040514264276562,,-0.2535700770045841,0.0025810249689905,,P110
SM1L,080524,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/080524/SM1L,,True,True,-0.4645170888533142,2.6244499062692363e-08,,-0.467476161105522,2.11846462085006e-08,,P110
SM1N,072924,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/072924/SM1N,,False,True,0.1047473383936269,0.2905445119090648,,-0.4225967390301542,2.0019788011486138e-05,,P110
SM1N,073124,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/073124/SM1N,,True,True,0.2176735200280389,0.0095275979385964,,-0.4727243043440151,1.2975959264427884e-08,,P110
SM1N,080224,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/080224/SM1N,,False,True,0.1601589493124607,0.0580220765560524,,-0.350977441074448,3.4680799614711026e-05,,P110
SM1N,080624,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/080624/SM1N,,True,True,-0.2493680247970448,0.0032983476866512,,-0.2764607609980427,0.0010963662158077,,P110
SM2B,072924,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/072924/SM2B,,True,True,-0.2501327515509138,0.0074270222103444,,-0.8662682805440186,7.244694234908753e-19,,P110
SM2B,073124,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/073124/SM2B,,False,True,-0.0018118718905462,0.9838872011051818,,-0.7392987181464706,2.078684902110604e-15,,P110
SM2B,080224,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/080224/SM2B,,False,True,-0.1452677318403362,0.1178864337273992,,-0.8987379895910257,6.967169910780562e-20,,P110
SM2B,080624,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/080624/SM2B,,True,True,-0.1909108987124123,0.0324667795986049,,-0.7357368958396655,1.4700212488422627e-15,,P110
SM2L,072924,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/072924/SM2L,,True,True,0.3393552605300036,0.0001100493425794,,-0.5619342300946201,3.2520867317922187e-10,,P110
SM2L,073124,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/073124/SM2L,,False,True,0.1391316284712613,0.0967260554171282,,-0.548388781432302,1.3821814319896463e-10,,P110
SM2L,080224,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/080224/SM2L,,False,True,0.1685412207605331,0.0730880979141454,,-0.5832265807677339,1.1341175880006855e-09,,P110
SM2L,080624,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/080624/SM2L,,True,True,0.3598978550607192,1.5536430632483515e-05,,-0.8005558128596425,2.4528465027501972e-20,,P110
SM2N,072624,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/072624/SM2N,,True,True,0.418009463806535,2.180209628867938e-05,,-0.2509138288005972,0.0109247600034295,,P110
SM2N,073024,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/073024/SM2N,,True,True,0.1949903508801396,0.022754213279028,,-0.4974888886046138,4.703766364441183e-09,,P110
SM2N,080124,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/080124/SM2N,,True,True,-0.3947444552782648,1.664938775858816e-05,,-0.3984464026119022,1.3434679610610849e-05,,P110
SM2N,080524,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/080524/SM2N,,False,True,0.1204850959629051,0.1499743621974866,,-0.3316423581458024,0.0001055855272711,,P110
SM2R,072624,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/072624/SM2R,,False,True,0.0469215698339743,0.6268322523795524,,-0.3761527339198431,0.0001096326343098,,P110
SM2R,073024,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/073024/SM2R,,False,True,-0.0259180798604663,0.7584376042226588,,-0.6263126852898584,5.62474525998273e-14,,P110
SM2R,080524,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/080524/SM2R,,False,True,-0.1418778976523778,0.1462950969378394,,-0.5537597698331624,7.097719667843214e-09,,P110
SM1B,080724,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/080724/SM1B,,False,False,0.1288782057914253,0.1162890009875779,,-0.1559045785076687,0.0580118699826209,,P120
SM1B,080924,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/080924/SM1B,,True,True,0.175549172638688,0.0317066892757466,,-0.1712764538659376,0.0331760773711092,,P120
SM1B,081324,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/081324/SM1B,,False,True,0.0908818317761654,0.2750681016029439,,-0.1630380639501917,0.0482522653376113,,P120
