mouse,date,session_dir,jrgeco_only,error,green_r_carrier_valid,green_r_reward_significant,green_l_carrier_valid,green_l_reward_significant,red_r_carrier_valid,red_r_reward_significant,red_l_carrier_valid,red_l_reward_significant,green_r_detected_freq_hz,green_r_matched_known_freq_hz,green_r_amplitude,green_r_cohens_d,green_r_p_value,green_r_error,green_l_detected_freq_hz,green_l_matched_known_freq_hz,green_l_amplitude,green_l_cohens_d,green_l_p_value,green_l_error,red_r_detected_freq_hz,red_r_matched_known_freq_hz,red_r_amplitude,red_r_cohens_d,red_r_p_value,red_r_error,red_l_detected_freq_hz,red_l_matched_known_freq_hz,red_l_amplitude,red_l_cohens_d,red_l_p_value,red_l_error,age_bin
SM1L,062624,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/062624/SM1L,False,,True,False,True,False,False,,True,False,166.6259765625,167.0,0.07886200694725895,0.09678602086809095,0.2735052668524267,,166.6259765625,167.0,0.5840300098891908,0.07332037626357044,0.4064168505729656,,222.16796875,,0.006762666086156562,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.062093940385515044,0.006635882200336054,0.9406751303913705,,P70
SM2N,062624,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/062624/SM2N,False,,True,True,True,True,False,,True,True,166.6259765625,167.0,0.04491739881585767,-0.7575983010178359,0.00032083619796086007,,166.6259765625,167.0,0.5815018736896083,-0.7860579413402897,0.00021249336830440606,,218.505859375,,0.0065984760991034935,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.059027021038067895,-0.995390389560901,3.014385769527501e-06,,P70
SM2R,062624,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/062624/SM2R,False,,True,False,True,True,False,,True,False,166.6259765625,167.0,0.09907743867269247,0.19927249149863954,0.06028604485778065,,166.6259765625,167.0,0.5819082144561636,0.2202310026556099,0.03795283013927309,,222.16796875,,0.007943143140028782,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.11846574880889121,-0.09216867947885998,0.3865475385217949,,P70
SM1N,062724,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/062724/SM1N,False,,True,False,True,False,False,,True,True,166.6259765625,167.0,0.04284055836022527,-0.17302746122549478,0.1054191396012202,,166.6259765625,167.0,0.5842359074622892,-0.152051065339979,0.15437757142469302,,223.6328125,,0.006045254218867928,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.05383109101235268,-0.45774448716466676,2.8945822623081258e-05,,P70
SM2B,062724,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/062724/SM2B,True,,False,,True,True,False,,True,True,166.6259765625,,0.02619806690377446,,,no real carrier detected at this channel's own frequency (dead channel),166.6259765625,167.0,0.5839010824786385,-0.4345499146883984,2.951458635519104e-05,,222.16796875,,0.007070376968666944,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.10672811523534907,-0.6004741722892275,1.056812332538022e-08,,P70
SM2L,062724,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/062724/SM2L,False,,False,,True,True,False,,True,False,166.6259765625,,0.022108601017675186,,,no real carrier detected at this channel's own frequency (dead channel),166.6259765625,167.0,0.583525359198677,-0.3121977178667996,0.0008789334201415642,,222.16796875,,0.006690441335221374,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.06608525293167211,-0.030182622094258205,0.7516556496890945,,P70
SM1B,062824,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/062824/SM1B,True,,False,,True,True,False,,True,True,166.6259765625,,0.016609668805212807,,,no real carrier detected at this channel's own frequency (dead channel),166.6259765625,167.0,0.5837904118577694,-0.5571432197288577,1.2937969463690081e-05,,222.16796875,,0.007415350804163485,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.09738768206361484,-0.550041138512827,3.472571768434575e-05,,P80
SM1L,062824,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/062824/SM1L,False,,True,False,True,False,False,,True,False,166.6259765625,167.0,0.047859324875783704,-0.09082003750331016,0.3055321161069553,,166.6259765625,167.0,0.5809941977283664,-0.0829430966247467,0.34865839292275824,,222.16796875,,0.006770718672565755,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.06692541373150643,-0.10852191263823217,0.22033604359997325,,P80
SM2N,062824,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/062824/SM2N,False,,False,,True,False,False,,True,True,166.6259765625,,0.026855990624333664,,,no real carrier detected at this channel's own frequency (dead channel),166.6259765625,167.0,0.5812869865006681,-0.05566535638371082,0.5873070408493204,,221.435546875,,0.006165125644318179,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.06214015154882203,-0.3454091373130707,0.000824608789176779,,P80
SM2R,062824,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/062824/SM2R,False,,False,,True,False,False,,True,True,166.6259765625,,0.02723398373904884,,,no real carrier detected at this channel's own frequency (dead channel),166.6259765625,167.0,0.5821622486428412,-0.07299952335764986,0.4505150854529716,,222.16796875,,0.007179011087158681,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.09872415104680007,-0.3256464528276379,0.0008613555345160545,,P80
