peth_time,r_squared,r_squared_adj,n_trials,Intercept_beta,Intercept_se,Intercept_tstat,Intercept_pvalue,C(Q_diff_bin)[T.1]_beta,C(Q_diff_bin)[T.1]_se,C(Q_diff_bin)[T.1]_tstat,C(Q_diff_bin)[T.1]_pvalue,C(Q_diff_bin)[T.2]_beta,C(Q_diff_bin)[T.2]_se,C(Q_diff_bin)[T.2]_tstat,C(Q_diff_bin)[T.2]_pvalue,C(Q_diff_bin)[T.3]_beta,C(Q_diff_bin)[T.3]_se,C(Q_diff_bin)[T.3]_tstat,C(Q_diff_bin)[T.3]_pvalue,C(Q_diff_bin)[T.4]_beta,C(Q_diff_bin)[T.4]_se,C(Q_diff_bin)[T.4]_tstat,C(Q_diff_bin)[T.4]_pvalue,RPE_beta,RPE_se,RPE_tstat,RPE_pvalue,Port_beta,Port_se,Port_tstat,Port_pvalue
-2.16,0.016276641648147683,0.015967941849501788,19127,0.2920262315165788,0.0319691920612953,9.134614067089023,7.203339940104162e-20,0.13064300703656007,0.038518405777677345,3.391703379174428,0.000696002389490466,-0.39061206426129924,0.044272258262028776,-8.822953235171145,1.2089024289623349e-18,0.025249497758240695,0.04974926929669981,0.5075350475532644,0.6117853056999154,0.04669698740951272,0.05014376980081051,0.9312620011421223,0.3517298110484154,-0.06535378896815004,0.01315188182795043,-4.969158773101194,6.782484719258316e-07,-0.022134014000310048,0.01854338892291788,-1.193633703759214,0.23263609360926146
-2.106,0.017067498549406812,0.016759046927612764,19127,0.271280143823541,0.029708862195095585,9.131286888136854,7.427239405341854e-20,0.11594596695843225,0.03579502437940011,3.2391643522712243,0.0012008516247383168,-0.3800037547835933,0.041142060057397754,-9.236381315214787,2.809725346149959e-20,0.01804689117091125,0.04623182791133916,0.39035642729767417,0.6962773518462511,0.038331669067015184,0.04659843589724162,0.8225956156885561,0.4107482512183177,-0.061953920285080975,0.012221999357494238,-5.069049545244192,4.0353736552597887e-07,-0.016989604876419356,0.01723230868908947,-0.985915769207188,0.32418692372589564
-2.052,0.018701869741849175,0.018393930998044428,19127,0.2461195963204959,0.02725085083411419,9.031629794559999,1.848527066478067e-19,0.09535190371800853,0.032833464424212866,2.904107299980558,0.003687234483632574,-0.3723347585883331,0.037738104349798934,-9.866281441619812,6.61125250672388e-23,0.025379037308727814,0.04240676192601953,0.5984667575657548,0.5495356228038156,0.04012433304141909,0.042743037999900015,0.9387337662220675,0.34787931050709553,-0.057491768348202806,0.011210792227535979,-5.128252061169358,2.952988818739199e-07,-0.01993435645567704,0.015806565412367392,-1.2611440838425265,0.2072723275027629
-1.998,0.020374510748701558,0.020067096892242064,19127,0.2133466850581975,0.024757357715402495,8.617506258572433,7.367252306012999e-18,0.07900210979617,0.02982915391282323,2.648486444739817,0.008091949151118527,-0.34914806343591126,0.0342850120378463,-10.183693768300158,2.7048539797966116e-24,0.036420526489272395,0.038526480547171636,0.9453374918240788,0.3444985493788486,0.04041686019054429,0.03883198686339161,1.040813603813994,0.2979752257174404,-0.05757065360017913,0.010184988173019152,-5.652500780775416,1.603847294183915e-08,-0.023545318626903056,0.014360241320465488,-1.639618590068362,0.10110094652818179
-1.944,0.022666790043373464,0.022360095521420598,19127,0.18692902221722726,0.02272449655876913,8.225881780650205,2.0604623745601026e-16,0.05427881474020611,0.02737984049974882,1.982437214734836,0.0474446185736979,-0.3464188147155065,0.031469821902144375,-11.007968707058405,4.248328859231935e-28,0.03472312547301873,0.03536301751907107,0.9819050496551306,0.3261590520096831,0.030596086019980588,0.03564343828575506,0.8583932272383596,0.3906861265869067,-0.05644864134776853,0.009348684595080392,-6.0381373201395405,1.5878271684165527e-09,-0.026595157282629955,0.013181101885803846,-2.0176732956804737,0.043639240289281726
-1.89,0.021983325520035013,0.021676416521767328,19127,0.1492406961047836,0.02123265819816054,7.028827700796919,2.1529353211896257e-12,0.04025078298258895,0.025582383897828735,1.5733788978909495,0.11564765609396872,-0.3103120505781433,0.029403862491614655,-10.553445169546606,5.772108167004502e-26,0.04474697737299455,0.03304147407165569,1.3542669820345672,0.17566722048568423,0.022621610110211132,0.03330348552151418,0.679256532941499,0.49698355507042746,-0.05684328046557604,0.008734953669772408,-6.507565193194335,7.827375991368297e-11,-0.02979304785411984,0.012315776954293131,-2.4190960882686614,0.015568401249425086
-1.836,0.021562003402435415,0.021254962190114135,19127,0.12340346757186017,0.01998134755020604,6.175933192783471,6.710135334747652e-10,0.016567037279862157,0.02407472955362674,0.6881505041607586,0.49136635767475123,-0.29341020058612477,0.027670995797140437,-10.603528790114819,3.392901249584073e-26,0.0478244572302317,0.03109423091707238,1.5380492078346772,0.12405313130818213,0.008814811907357273,0.03134080116715107,0.2812567509153613,0.7785165231862108,-0.0521949697927129,0.00822017401126868,-6.349618599455568,2.207095420985244e-10,-0.03708169217962494,0.011589967557423798,-3.1994647091028967,0.0013790767060056753
-1.782,0.019734989434181505,0.01942737489111701,19127,0.10496061554507174,0.019079506290767986,5.501222827545549,3.8200324109881106e-08,-0.0019011992746552737,0.022988136951865534,-0.08270349522608823,0.9340881713495921,-0.275791368310094,0.026422088753363958,-10.437909390300618,1.9481603237082436e-25,0.03532308365712209,0.029690819045022687,1.18969717890095,0.23418020737555292,-0.021830074237015728,0.02992626055494448,-0.7294621456942745,0.46572795099664155,-0.04724078979094861,0.007849163394267222,-6.018576428852503,1.791661710919283e-09,-0.0382483374989709,0.011066864152482248,-3.4561134005057763,0.0005492148733071886
-1.728,0.017240198843206156,0.016931801416064984,19127,0.07636784007100347,0.018391290788112837,4.15239152873183,3.304453993074731e-05,-0.008413764598605352,0.022158933513038145,-0.3797007917215311,0.7041717495162496,-0.2441496464995295,0.025469019485455588,-9.586142357736005,1.023226907977421e-21,0.034127069668054,0.02861984364126181,1.1924268383790997,0.23310872034464672,-0.022660839694292008,0.028846792557369733,-0.7855583822438745,0.4321359885786096,-0.04471317669440975,0.007566036784569683,-5.909722351019842,3.485013654180556e-09,-0.03707807119856465,0.010667672089572203,-3.4757415570365136,0.0005105729466946619
-1.674,0.013712303604536014,0.013402799097299023,19127,0.04881719448311861,0.017934438298996404,2.7219806759072225,0.006495071797087168,-0.01943837497240847,0.021608490151110542,-0.8995711794981409,0.3683598294165872,-0.21175138828961607,0.024836351279545543,-8.525865410190425,1.6279906214243177e-17,0.03314124470203647,0.02790890676596187,1.1874791434846184,0.23505343043813698,-0.02974303917472838,0.028130218112721303,-1.0573341115075716,0.29037248886914346,-0.03793452866034315,0.0073780911543471816,-5.141509892838892,2.7522596751242004e-07,-0.03775103184835589,0.010402679675317683,-3.628971863656181,0.00028529388961424245
