peth_time,r_squared,r_squared_adj,n_trials,Intercept_beta,Intercept_se,Intercept_tstat,Intercept_pvalue,C(Q_diff_bin)[T.1]_beta,C(Q_diff_bin)[T.1]_se,C(Q_diff_bin)[T.1]_tstat,C(Q_diff_bin)[T.1]_pvalue,C(Q_diff_bin)[T.2]_beta,C(Q_diff_bin)[T.2]_se,C(Q_diff_bin)[T.2]_tstat,C(Q_diff_bin)[T.2]_pvalue,C(Q_diff_bin)[T.3]_beta,C(Q_diff_bin)[T.3]_se,C(Q_diff_bin)[T.3]_tstat,C(Q_diff_bin)[T.3]_pvalue,C(Q_diff_bin)[T.4]_beta,C(Q_diff_bin)[T.4]_se,C(Q_diff_bin)[T.4]_tstat,C(Q_diff_bin)[T.4]_pvalue,Reward_beta,Reward_se,Reward_tstat,Reward_pvalue,Port_beta,Port_se,Port_tstat,Port_pvalue
-2.16,0.01669118534478342,0.01638261563307164,19127,0.3041968396398963,0.03175332766373154,9.579998759857478,1.0856502764149723e-21,0.12338654078657259,0.038450053731557556,3.2090082798845123,0.0013341336012879783,-0.4201208066787923,0.04264223635380133,-9.852222645948089,7.599420703463027e-23,0.008429413654049592,0.04963736745704171,0.16981991765265886,0.8651535590712827,0.039432269525461104,0.0501452058708829,0.7863617037886702,0.43166535827591157,0.07138634960715133,0.012471525971496537,5.723946674232458,1.0563612521714312e-08,-0.016667416370498664,0.018549562733032526,-0.8985341924431356,0.36891213960712577
-2.106,0.017548222682105097,0.017239921915164436,19127,0.28272483135774734,0.02950726130988008,9.581534131162522,1.0697053260049607e-21,0.1091202972170632,0.03573029557251353,3.053999287400434,0.0022612313118279153,-0.40746824477423177,0.03962594485385089,-10.282865084405264,9.76546184852484e-25,0.0020882583063624605,0.04612627652132335,0.045272639888829874,0.9638904680675544,0.031359911053323475,0.04659819306938085,0.672985559904247,0.5009646112582296,0.06862567263620105,0.011589354655078637,5.921440380300054,3.2459307295097593e-09,-0.011754997431049864,0.017237462496656066,-0.6819447719367188,0.4952821340279129
-2.052,0.01944403669877537,0.019136330852551175,19127,0.256330923566153,0.02706231116671737,9.47187850982225,3.0597096560178356e-21,0.08925284533396538,0.03276970935077522,2.723638601080664,0.006462573198047414,-0.39557623818490795,0.03634256797498954,-10.884652907773004,1.6427992269928997e-27,0.010509962192283256,0.0423042869032421,0.24843728524065484,0.8037987563596902,0.03328005396580577,0.04273710079044549,0.7787157610196624,0.4361568066784469,0.06788513922035473,0.010629069184138973,6.386743565622383,1.7335981838477027e-10,-0.014845735898389223,0.015809178930913912,-0.9390579968298839,0.347712830544581
-1.998,0.02082593424160739,0.020518662045239777,19127,0.22418564202707522,0.024589704767324187,9.117053016634113,8.465349743015479e-20,0.07254217427549553,0.029775634212557456,2.436293170370218,0.014847717632265188,-0.3757888704768687,0.03302205090637137,-11.379937349813815,6.569964012041234e-30,0.021620814602588297,0.03843906453275342,0.5624698432545227,0.5738025389025639,0.034125180215851814,0.038832333446112824,0.8787826326019509,0.3795301880734283,0.06167495095892239,0.009657921364487218,6.3859446180318935,1.7426552568007166e-10,-0.018796266034044218,0.014364739217213316,-1.3085003319461996,0.19071939042705827
-1.944,0.022801433387498626,0.02249478111764125,19127,0.19804667101601375,0.022574256889622817,8.77312028406366,1.8811452705820445e-18,0.04766332315644842,0.027335131597794198,1.74366539944862,0.08123352408517924,-0.37522909643086433,0.03031546198851528,-12.37748237427542,4.714233827317057e-35,0.020283521645847794,0.03528848050718546,0.5747915850816431,0.5654390214314593,0.024875740151590265,0.03564951589011837,0.6977861979462541,0.48531939712574934,0.05544013542412169,0.008866328407139945,6.252885397237986,4.114772959683242e-10,-0.02221535877740856,0.01318736098339499,-1.6845947271316277,0.09208311019855457
-1.89,0.021629740518282148,0.02132272056237794,19127,0.16106977882868934,0.02109754734223553,7.634526242121096,2.372840053064625e-14,0.03322499168690934,0.025546986366395397,1.3005444638516588,0.1934301021401993,-0.3428014392583632,0.028332356525917486,-12.099291456564158,1.4131473326759137e-33,0.030299128872813455,0.032980061836637514,0.9187104931123624,0.35825860911947216,0.0174416630022759,0.033317479857566945,0.5234988683669787,0.6006332054302415,0.04931801185232201,0.008286331826383685,5.951730257204212,2.6995280743574146e-09,-0.025740526202154355,0.01232470127484999,-2.0885314481967154,0.03676311590259171
-1.836,0.020993168630347836,0.020685948913390928,19127,0.1345722080272446,0.01985638066417608,6.777277808237896,1.2603055219943068e-11,0.009939426988310386,0.024044059619107945,0.4133838938084927,0.6793300091220875,-0.3249274025836599,0.026665566720428045,-12.185280215129964,4.9796485698112956e-34,0.034602975471583926,0.03103984797537845,1.1147920408318956,0.2649535599942783,0.0043395936200764625,0.03135741572663621,0.13839130296666133,0.8899326275059799,0.04213174687705201,0.007798847723164645,5.40230408037197,6.657641923318875e-08,-0.03353392832540506,0.011599640285947394,-2.8909455378569264,0.0038451708495360263
-1.782,0.019154519602830322,0.018846722903961055,19127,0.11516493695975011,0.018960281869817592,6.074009751040587,1.2711352247357666e-09,-0.007954704953540158,0.022958975020833786,-0.34647474228800623,0.7289897755010544,-0.30484214596754006,0.025462176102913767,-11.972352431128439,6.504361684876928e-33,0.02337053995571618,0.029639050376952598,0.7885050181597306,0.43041114053378604,-0.025792887380647857,0.0299422866101033,-0.8614200951488011,0.3890175149188675,0.03714985061099089,0.007446893449104938,4.9886373243941105,6.133994057627185e-07,-0.035091353981141805,0.011076160007691915,-3.168187707361791,0.001536338097812036
-1.728,0.016370753819030637,0.016062083553492812,19127,0.08648453129017387,0.018279038421976267,4.731350156045214,2.246256657460007e-06,-0.014406689238849395,0.02213405841835471,-0.6508833114356751,0.5151296367727356,-0.27416141932139665,0.024547319416869218,-11.168690750526087,7.129089756901131e-29,0.022881096881163947,0.0285741184836309,0.8007630014648296,0.42327881185312966,-0.025991836641265257,0.02886645943060388,-0.9004165094701229,0.3679099788048109,0.03045378978289035,0.007179326363140302,4.241872878107966,2.2270472955385256e-05,-0.03434886211032706,0.010678193274692348,-3.216729761928447,0.0012987644678891174
-1.674,0.013131854076217864,0.012822167419547337,19127,0.057260927863126004,0.017822336816328433,3.2128742966334696,0.0013163152440985044,-0.024442766045283275,0.02158103917380778,-1.1326037568639735,0.2573948931293538,-0.23644917403447271,0.023934004868629302,-9.879214754585037,5.815086434125423e-23,0.023579825302311213,0.02786019439800962,0.8463625545985349,0.39736111343195546,-0.03269657005870127,0.02814523120913054,-1.1617090588367325,0.24536816639047818,0.027267213833897134,0.006999950960461899,3.895343551392234,9.839332319457676e-05,-0.03535694215017778,0.010411398714640066,-3.395983874910136,0.0006852150488210031
