cohort,mouse,lose_switch_prob
FP1_none,WCL23,0.3924380704041721
FP1_none,WCL24,0.44299287410926363
FP1_none,WCL25,0.4479166666666667
FP1_none,WCL26,0.34579439252336447
FP1_none,WCL27,0.35354691075514877
FP1_none,WCL28,0.36639676113360325
FP1_none,WCL29,0.3086680761099366
FP2_none,WCL30,0.3341902313624679
FP2_none,WCL31,0.39928057553956836
FP2_none,WCL32,0.4481132075471698
FP2_none,WCL33,0.2543478260869565
