mouse,cohort,kappa
WCL23,FP1_none,1.0829100235176008
WCL24,FP1_none,0.8748501002892197
WCL25,FP1_none,0.8378418193219824
WCL26,FP1_none,1.1201510608650112
WCL27,FP1_none,1.2395074471932037
WCL28,FP1_none,1.2392646111981505
WCL29,FP1_none,1.4832064171974644
WCL30,FP2_none,1.2054801210266026
WCL31,FP2_none,0.9638583826557233
WCL32,FP2_none,0.8546638925061473
WCL33,FP2_none,1.4652404311717473
