term,max_cluster_mass,p_value,n_permutations
LR,74.87782492053543,0.00909090909090909,330
RL,64.01383923281738,0.015151515151515152,330
RR,0.0,1.0,330
lL,31.134667641795332,0.06363636363636363,330
lR,20.294823925493304,0.12121212121212122,330
rL,28.35330628750494,0.06060606060606061,330
rR,42.08394154934245,0.03939393939393939,330
