term,VIF
belief_p_right,46.5679400033962
Reward,26.158548450396054
Choice:Reward,23.531898713880977
Choice_lag1,19.333627648700226
Reward_lag1,13.819179350187557
Choice,11.205720621713262
RPE,9.015532029573597
trials_since_switch_expdecay,8.01816301396859
Choice_lag2,7.1716520895796325
trials_since_switch,6.403106263003173
Choice:RPE,6.053893043907185
Reward_lag2,5.320044666871154
Choice_lag3,4.821749972024986
true_switch,4.7744760994001885
C(Behavioral_State)[T.Right Bias],4.719922444664734
first_loss_after_switch,4.682339437330322
Reward_lag3,4.4612369580004
C(Behavioral_State)[T.Left Bias],3.1928232137296213
C(Behavioral_State)[T.Exploration],2.1794880245177954
RPE_abs,1.985318114536744
first_win_after_switch,1.7980088957694897
Q_unchosen,1.7697810382112071
detected_switch,1.3464756111663234
