peth_time,r_squared,r_squared_adj,n_trials,Intercept_beta,Intercept_se,Intercept_tstat,Intercept_pvalue,C(Behavioral_State)[T.Exploration]_beta,C(Behavioral_State)[T.Exploration]_se,C(Behavioral_State)[T.Exploration]_tstat,C(Behavioral_State)[T.Exploration]_pvalue,C(Behavioral_State)[T.Left Bias]_beta,C(Behavioral_State)[T.Left Bias]_se,C(Behavioral_State)[T.Left Bias]_tstat,C(Behavioral_State)[T.Left Bias]_pvalue,C(Behavioral_State)[T.Right Bias]_beta,C(Behavioral_State)[T.Right Bias]_se,C(Behavioral_State)[T.Right Bias]_tstat,C(Behavioral_State)[T.Right Bias]_pvalue,Choice_beta,Choice_se,Choice_tstat,Choice_pvalue,Reward_beta,Reward_se,Reward_tstat,Reward_pvalue,Choice:Reward_beta,Choice:Reward_se,Choice:Reward_tstat,Choice:Reward_pvalue,Reward_lag1_beta,Reward_lag1_se,Reward_lag1_tstat,Reward_lag1_pvalue,Reward_lag2_beta,Reward_lag2_se,Reward_lag2_tstat,Reward_lag2_pvalue,Reward_lag3_beta,Reward_lag3_se,Reward_lag3_tstat,Reward_lag3_pvalue,Q_diff_abs_beta,Q_diff_abs_se,Q_diff_abs_tstat,Q_diff_abs_pvalue
-2.16,0.036680585614029315,0.03617665204299669,19127,0.2607694721595598,0.02189572591582489,11.90960615610792,1.3754672581769148e-32,0.0521193878213993,0.03167937792326149,1.6452150022532213,0.09994192207427484,-0.08697111883814868,0.053138822894203366,-1.6366775570340286,0.10171432207653347,-0.09737846758320583,0.05232148040835477,-1.8611565808764137,0.06273740729240523,-0.02154552763282984,0.012174815232262347,-1.7696800503169696,0.0767963940415604,0.02713991378922911,0.0139448005230104,1.946238940058366,0.05164067649755069,-0.002334077376510581,0.014026757919903706,-0.16640177222981578,0.867842539258425,0.25179131239470215,0.01860292801982899,13.535036641883258,1.509545811993578e-41,-0.136917537328512,0.01434997451254534,-9.541308746493804,1.5750507875646727e-21,-0.09470272850410458,0.013542626242392405,-6.992936732437994,2.7807968454032146e-12,0.0663201807090045,0.017947604405248008,3.6952107485504864,0.00022031745219290046
-2.106,0.037784310980584324,0.0372809547925641,19127,0.23539275600319448,0.020344143528079145,11.570541452300686,7.36414582051739e-31,0.04787467452578506,0.029434503054557137,1.626481494763098,0.10386374958743606,-0.08951968538575941,0.049373281526671135,-1.8131200239830412,0.06982898814015867,-0.07955384344900138,0.048613857842449586,-1.6364437421696456,0.10176321259952507,-0.01794087538114526,0.011312079328412538,-1.5859927127706028,0.11275750304127863,0.026193426853337577,0.01295663931861329,2.0216219815356395,0.043229324744183235,-0.0011436380584901483,0.013032789022532448,-0.08775083034896884,0.9300756377908888,0.2412863599049529,0.017284680998148498,13.959549495347877,4.529196834191229e-44,-0.1240480868719242,0.013333101730895575,-9.303768123547647,1.4980214731168354e-20,-0.08522994225030797,0.012582964048852943,-6.773439224606025,1.294142722119046e-11,0.06131984743686519,0.016675795148753593,3.6771768236460045,0.0002364755578588894
-2.052,0.04004554071754529,0.0395433674285296,19127,0.21079200090680747,0.018654513129561984,11.299785710985049,1.6318585366554563e-29,0.04038182850400683,0.026989896278283493,1.4961831674951156,0.13462243861792403,-0.08396587998815144,0.04527271090167192,-1.8546687025329112,0.0636589384160698,-0.07680888668255431,0.04457635919393557,-1.7230856909687644,0.08488920181779235,-0.01651492203628239,0.010372583739554585,-1.5921705190293858,0.11136292989721519,0.027376867061424753,0.011880559039041123,2.3043416535754475,0.021214139476210203,-0.0020281287611759145,0.011950384325596518,-0.1697124298196726,0.8652380941563291,0.22692643775405097,0.015849146373511435,14.317896523014735,2.935130169448868e-46,-0.11443548188326286,0.012225755336098982,-9.36019728330153,8.816584486785e-21,-0.07282650258490922,0.011537918405567615,-6.311927336023354,2.816438780483117e-10,0.061216998274860566,0.015290829968779788,4.003510496150374,6.264505257167307e-05
-1.998,0.041975414607268835,0.041474250877726715,19127,0.17716644501231255,0.016945001176162156,10.455381098559396,1.6222272153708505e-25,0.0396116100913355,0.02451652428576392,1.6157106786273487,0.10617338347550113,-0.06335759642843372,0.04112388965333949,-1.5406518440380246,0.12341809506777579,-0.058076099954012306,0.040491352077865826,-1.4342840377948012,0.15150758130160802,-0.016313235955052224,0.009422033287379604,-1.7313923075291062,0.08339795177261426,0.025150149143080433,0.010791816730450512,2.3304833441172166,0.019790968220940106,0.000234638799096909,0.01085524318144333,0.021615250361043597,0.9827550939466061,0.21553710627658282,0.014396720089934796,14.971264630425901,2.184261577854056e-50,-0.10272909007584877,0.011105379009938937,-9.25039028239466,2.4662964980756707e-20,-0.06143984587187381,0.01048057591184085,-5.862258561808582,4.641237929176956e-09,0.056706928964740264,0.013889568170764309,4.082699207603934,4.4696658606721955e-05
-1.944,0.045712501268213246,0.04521329249088968,19127,0.14502338858384753,0.015541451675649678,9.331392691653763,1.1560720208222848e-20,0.033036881951824,0.02248582773650706,1.4692313015538532,0.14178651899537004,-0.05413947061170399,0.037717609879026275,-1.4353897499165094,0.15119242660815888,-0.05726026675630504,0.037137465206266616,-1.5418463925384676,0.12312747800666028,-0.01771132377903447,0.008641609020846227,-2.049540049348367,0.04042295201781943,0.02030346424655048,0.009897933701220968,2.051283112155614,0.04025298194172627,0.0024679361410362057,0.009956106557794714,0.24788165200020273,0.8042286389695074,0.20968521507302806,0.013204243967851548,15.880137899871428,1.9968534452606595e-56,-0.09538882647337657,0.01018552370864047,-9.365137149742962,8.415552996543597e-21,-0.05869941343465845,0.00961247286875337,-6.106588204318241,1.0374884955479994e-09,0.053416557560613885,0.012739099294088459,4.1931188640158945,2.763836832703528e-05
-1.89,0.04530959359146791,0.044810174044277895,19127,0.11273028468537759,0.014519161661283938,7.764241993804537,8.625892482382284e-15,0.026008283432800053,0.021006748584860284,1.238091812625606,0.21569722427202345,-0.03889084257190311,0.03523661024335619,-1.1037055580349395,0.2697347770603618,-0.0585960801136115,0.03469462649135395,-1.6889093799068249,0.09125310645320754,-0.018572938045489852,0.008073178812752768,-2.3005731046302573,0.021426485528767317,0.01641202760931259,0.009246864612130272,1.7748748681561612,0.07593446066410661,0.00014039697901258464,0.009301210958052144,0.01509448389524395,0.9879569592001698,0.19919661252025922,0.012335691464694253,16.147989197879667,2.851269694284436e-58,-0.09036468700811448,0.009515537442509164,-9.496540532164214,2.4181547840543235e-21,-0.05533970202335169,0.008980180903229667,-6.1624261938252385,7.307254425496149e-10,0.045687393511716974,0.011901143209151763,3.8389079694952497,0.0001239808035046066
-1.836,0.04520335176750323,0.04470387664287856,19127,0.08021670116547228,0.013661317493977526,5.871812963927902,4.3819047614389485e-09,0.03512829501582377,0.019765594503929618,1.7772445452546282,0.07554390963907313,-0.04021285335115714,0.033154704877324234,-1.2128852752557675,0.22518867401497225,-0.0537964436396674,0.032644743470087924,-1.647935867192848,0.09938226676177302,-0.024251324439941515,0.007596186441036918,-3.1925657207317157,0.0014124313927330557,0.011626442705805299,0.00870052667207275,1.3362918296801796,0.18146981174041255,0.004784431024199877,0.008751662040876856,0.5466882749645701,0.5845992918175582,0.1860867890930757,0.0116068545511349,16.032490824560252,1.7963749359079236e-57,-0.08719963825807049,0.008953325347605028,-9.739357710417167,2.3090307364019943e-22,-0.05528006208279869,0.008449599593584633,-6.542329192115817,6.210319345262294e-11,0.042416443549958216,0.01119798096573706,3.787865301766597,0.00015241252118892984
-1.782,0.04265510047283105,0.04215429230191292,19127,0.04192110014899619,0.013049943113291895,3.212358842108504,0.0013186786594016385,0.05075406097559406,0.018881040133236562,2.6880966629720238,0.00719228378155527,-0.02478233253177481,0.03167095800077848,-0.7824939343851125,0.43393404140411995,-0.020066320740776515,0.03118381850216556,-0.6434850414288746,0.5199171371618165,-0.03054937407145513,0.007256240181607045,-4.21008308805585,2.564436741027713e-05,0.012181055560945668,0.008311158728013015,1.4656266303625085,0.14276647968899425,0.0053338617275010885,0.008360005675188131,0.6380213046184393,0.5234674543233924,0.17596602952229246,0.011087421962291505,15.870779530242077,2.3135543659504506e-56,-0.08348373438399945,0.008552644099849672,-9.761160807038237,1.86472510767138e-22,-0.04931147307893781,0.008071461195084877,-6.109361351940349,1.0196567187834165e-09,0.03507119554972028,0.01069684638037404,3.27864814568777,0.0010449189260005917
-1.728,0.039504602171604786,0.03900214590573936,19127,0.006977625615457706,0.012583897905020692,0.5544884159203001,0.5792511182294506,0.07120036682763611,0.018206752268157014,3.9106571989867254,9.236329584728583e-05,-0.008937815881264539,0.03053991106137937,-0.2926601804209987,0.7697850856506989,0.001165798972347627,0.03007016849906857,0.03876928632387736,0.9690747372290394,-0.02887512074827875,0.006997102196303609,-4.126725598424551,3.6952370793320765e-05,0.010256076942322376,0.008014347035674935,1.2797146039058005,0.20066105742876825,0.005503175612942185,0.00806144953956229,0.6826533597878215,0.49483418009575664,0.16494555636375524,0.010691463157509913,15.427781392848363,2.233674397432891e-53,-0.08438180131264612,0.008247208377549543,-10.231559268266983,1.6562491488884527e-24,-0.04011809085853503,0.0077832096846330925,-5.154440453755581,2.5692221884589596e-07,0.030771790292186282,0.010314835979569394,2.983255415125941,0.0028555994210299925
-1.674,0.03575082859023726,0.03524640864285822,19127,-0.03039129440318112,0.012273251433764634,-2.476221934113758,0.013286692039490641,0.09154237849862554,0.01775729984985031,5.155196976605496,2.5588852643828936e-07,0.021889063128776233,0.02978600192485449,0.7348775167610269,0.4624231070775223,0.020609610991264203,0.029327855441157964,0.7027316072467134,0.4822315835471307,-0.028730991320857484,0.006824371527101938,-4.210056736617693,2.5647355911791816e-05,0.013110367374455256,0.00781650463065506,1.6772672689322703,0.09350657902951148,0.003181819441123332,0.007862444360755599,0.4046857815624087,0.6857130228432935,0.15130278925455892,0.010427533385708482,14.509930935529573,1.8740019188350364e-47,-0.08499272795393241,0.008043617550642325,-10.566480494481652,5.027945265628778e-26,-0.03505068138804817,0.007591073143012503,-4.61735524447053,3.911914381806161e-06,0.0266689367472044,0.010060203637283795,2.6509340872949645,0.008033565696171984
