term,VIF
belief_p_right,45.379831586203956
Reward,42.21658923408538
Choice:Reward,31.98950819020174
Reward_lag1,20.969733712452086
Choice_lag1,16.74169867367499
Choice,13.249343944891306
RPE,12.377278681177101
trials_since_switch_expdecay,10.216585935914487
Choice_lag2,8.996738690289682
trials_since_switch,7.6057700759448865
Choice:RPE,7.259857468197212
Reward_lag2,6.746034459079751
first_loss_after_switch,6.161703940407163
true_switch,5.896174650896508
Choice_lag3,5.619457089924663
C(Behavioral_State)[T.Right Bias],5.383278377676162
Reward_lag3,5.175560512411906
C(Behavioral_State)[T.Left Bias],3.3115521313734697
RPE_abs,2.251270438984782
Q_unchosen,1.9726152670023995
C(Behavioral_State)[T.Exploration],1.942368758445009
first_win_after_switch,1.9079741231559284
detected_switch,1.389552984115567
