peth_time,r_squared,r_squared_adj,n_trials,Intercept_beta,Intercept_se,Intercept_tstat,Intercept_pvalue,C(Behavioral_State)[T.Exploration]_beta,C(Behavioral_State)[T.Exploration]_se,C(Behavioral_State)[T.Exploration]_tstat,C(Behavioral_State)[T.Exploration]_pvalue,C(Behavioral_State)[T.Left Bias]_beta,C(Behavioral_State)[T.Left Bias]_se,C(Behavioral_State)[T.Left Bias]_tstat,C(Behavioral_State)[T.Left Bias]_pvalue,C(Behavioral_State)[T.Right Bias]_beta,C(Behavioral_State)[T.Right Bias]_se,C(Behavioral_State)[T.Right Bias]_tstat,C(Behavioral_State)[T.Right Bias]_pvalue,Choice_beta,Choice_se,Choice_tstat,Choice_pvalue,Reward_beta,Reward_se,Reward_tstat,Reward_pvalue,Choice:Reward_beta,Choice:Reward_se,Choice:Reward_tstat,Choice:Reward_pvalue,Reward_lag1_beta,Reward_lag1_se,Reward_lag1_tstat,Reward_lag1_pvalue,Reward_lag2_beta,Reward_lag2_se,Reward_lag2_tstat,Reward_lag2_pvalue,Reward_lag3_beta,Reward_lag3_se,Reward_lag3_tstat,Reward_lag3_pvalue,Choice_lag1_beta,Choice_lag1_se,Choice_lag1_tstat,Choice_lag1_pvalue,Choice_lag2_beta,Choice_lag2_se,Choice_lag2_tstat,Choice_lag2_pvalue,Choice_lag3_beta,Choice_lag3_se,Choice_lag3_tstat,Choice_lag3_pvalue,RPE_beta,RPE_se,RPE_tstat,RPE_pvalue,RPE_abs_beta,RPE_abs_se,RPE_abs_tstat,RPE_abs_pvalue,Q_unchosen_beta,Q_unchosen_se,Q_unchosen_tstat,Q_unchosen_pvalue,belief_p_right_beta,belief_p_right_se,belief_p_right_tstat,belief_p_right_pvalue,true_switch_beta,true_switch_se,true_switch_tstat,true_switch_pvalue,trials_since_switch_beta,trials_since_switch_se,trials_since_switch_tstat,trials_since_switch_pvalue,trials_since_switch_expdecay_beta,trials_since_switch_expdecay_se,trials_since_switch_expdecay_tstat,trials_since_switch_expdecay_pvalue,first_win_after_switch_beta,first_win_after_switch_se,first_win_after_switch_tstat,first_win_after_switch_pvalue,first_loss_after_switch_beta,first_loss_after_switch_se,first_loss_after_switch_tstat,first_loss_after_switch_pvalue,detected_switch_beta,detected_switch_se,detected_switch_tstat,detected_switch_pvalue,Choice:RPE_beta,Choice:RPE_se,Choice:RPE_tstat,Choice:RPE_pvalue
-2.16,0.06716750832289686,0.06513094948961984,10559,0.38766853521046307,0.04014090612823599,9.657692678187166,5.623651403859812e-22,0.11952843126495509,0.049131008421129455,2.432851168866916,0.014996985509064737,-0.07740421534908025,0.10790108277278694,-0.7173627303821819,0.4731662147426159,-0.02531684868806708,0.0990006852898512,-0.2557239741719482,0.7981689743725005,0.029953065344444956,0.04087194383792174,0.732851499875422,0.4636653118772318,0.3117703432543373,0.045948005900861316,6.785285610152953,1.2207951399957456e-11,0.0399636795167686,0.04068012908738152,0.9823882178674022,0.32593118832346146,0.20386149178431823,0.035337645254542645,5.768960843765103,8.20092543978601e-09,-0.2479582729512736,0.022681430888253435,-10.932214734286873,1.1382155931886276e-27,-0.10528101631537531,0.020886579577816908,-5.040605903093465,4.71771816830397e-07,0.0511753375900028,0.05427832778998418,0.9428318755141537,0.34578852478277755,-0.049340243581360424,0.03309544760757828,-1.490846842937467,0.13603164955882316,0.010953984307257598,0.027276062784430097,0.40159697511440046,0.6879888024056047,-0.3316923366371075,0.04469000214471727,-7.422070277889129,1.2420304523688674e-13,-0.021775490708988095,0.02110963708562132,-1.0315426371692726,0.30231010479041154,-0.01685624766207217,0.021281907273142626,-0.7920459123202949,0.4283517396138312,-0.07112491661972835,0.07917474087833701,-0.8983283788578692,0.369031037358898,-0.022076196291504473,0.04037336390278528,-0.5468010132784967,0.5845270279616674,0.014479136025529043,0.024567823224824935,0.5893536392307795,0.5556367071241052,-0.022359789514435662,0.04224973700395515,-0.5292290816471232,0.5966576956515154,0.017894363103309264,0.02252995444237999,0.794247638142093,0.42706917075113626,0.033359143419206636,0.04027773565249008,0.8282278752466137,0.407560222143474,-0.015091118798963216,0.019246935461710118,-0.7840790461933802,0.43301135805054636,-0.05407456007357385,0.03474945971426669,-1.556126642492029,0.11970801908213653
-2.106,0.06277482016448988,0.06072867121942893,10559,0.3163970322960361,0.03713235167718527,8.520791654853245,1.800931277241783e-17,0.12205998970930058,0.04544864725076155,2.685668267216805,0.007249833883001087,-0.06937521952262764,0.09981391399258567,-0.6950455777916988,0.4870420679859432,0.013617320461563581,0.09158059986790454,0.14869219552181515,0.8817993657819787,0.02182529694430072,0.03780859822823761,0.5772575013902618,0.5637778536000351,0.29725790372021754,0.04250421025687853,6.993610795817851,2.841504008623106e-12,0.030714918432630887,0.03763115996236546,0.8162097172489119,0.4143986545624828,0.17391369080316987,0.03268909443258147,5.320235810198179,1.057582098725739e-07,-0.21811830826004563,0.020981461295213936,-10.395763440452091,3.4308254270308053e-25,-0.095868386458371,0.01932113380149787,-4.961840616772646,7.091982203246083e-07,0.034729831557888974,0.050210175861712725,0.6916891040879996,0.4891478336488734,-0.0498811786973549,0.03061494913823117,-1.6293079068050633,0.10327775106772953,0.006445430798766905,0.02523172627057367,0.25544945794231466,0.7983809624455206,-0.30298885545669724,0.04134049367970087,-7.329105883548548,2.4868232704128e-13,-0.01789118703290249,0.019527473185007794,-0.9162059455105762,0.3595798593401587,-0.007104482389123323,0.019686831749712343,-0.3608748466714118,0.7182002435246695,-0.044130961206403536,0.07324060679777245,-0.6025477277687675,0.5468225723251692,0.002731103323116612,0.03734738677896112,0.07312702597588762,0.9417064238771775,0.0075290399487478,0.022726468829895572,0.33128947594549807,0.7404324292220771,-0.014211804198417772,0.03908312601832124,-0.3636301812643035,0.7161414826899359,0.005398903329789978,0.020841337984568827,0.2590478276292717,0.7956033997296152,0.008433438540135013,0.037258925850628025,0.22634679738071037,0.8209360948849228,-0.024074042845772425,0.017804380747887108,-1.3521415423914338,0.17635906511546773,-0.036422294722181184,0.032144993303842906,-1.1330627565514824,0.25721368535983186
-2.052,0.05935366566377698,0.05730004765810692,10559,0.24243829043944637,0.03406223221820982,7.117510352414243,1.170498137732715e-12,0.1360454058117608,0.041690932750971195,3.263189303640409,0.0011051689285432947,-0.05825275041829786,0.09156125490195713,-0.636216164584838,0.5246493601650424,0.0218660475946503,0.08400867487474961,0.2602832103619165,0.7946504093768686,0.028671088900355454,0.034682566401699234,0.826671491615763,0.40844200625034177,0.2768661414192133,0.03898994312582032,7.100962946413332,1.3188228207042373e-12,0.03431624412171824,0.03451979881107967,0.9941032480961014,0.32019543610037365,0.1397986252384307,0.029986345471614998,4.662076122972829,3.1688040649686647e-06,-0.20186611658343093,0.019246704682969674,-10.488346961651617,1.3064613652056322e-25,-0.08724694871477753,0.017723653809680034,-4.9226276732581145,8.668415563245372e-07,0.04249931071854628,0.04605877604486955,0.9227190639443892,0.3561747597200101,-0.031235689313238685,0.028083691438693194,-1.112235881861411,0.2660621235009697,0.0021990455101826125,0.023145555847534572,0.09500940589494856,0.9243091628598481,-0.2886581698138077,0.0379224431561817,-7.611803085180545,2.934241234647991e-14,-0.012085488028503732,0.017912932960593486,-0.6746794651155396,0.4998942389252973,0.0040465735472051696,0.018059115687831365,0.22407373744949433,0.8227042725442753,-0.07310789838193613,0.06718504064155814,-1.0881573886659872,0.2765505252490665,0.018687907927275295,0.034259488121510334,0.5454812360591521,0.5854341309439071,-0.0011876341676488374,0.02084743421353081,-0.0569678817778936,0.9545718605739367,-0.014854931026184834,0.0358517156635561,-0.4143436583506416,0.6786308805534167,-0.00044356136411018415,0.019118166830374938,-0.023201040562396077,0.981490347987819,-0.00417524949964275,0.03417834118233137,-0.12216068291228718,0.9027740937202662,-0.020523381530655267,0.016332306577516664,-1.2566125570351532,0.20892182724350053,-0.051220242995821307,0.029487230867767535,-1.7370313009557676,0.08241087358321816
-1.998,0.057670155789014466,0.05561286234650353,10559,0.1680691658096879,0.03086110572684407,5.445986520939703,5.267672024386911e-08,0.15140645204196035,0.03777287041072519,4.008338534922942,6.156869988370839e-05,-0.011972116769272671,0.08295644131335576,-0.14431810935632786,0.885252039324228,0.019536921627205106,0.07611364342398266,0.25668094113399403,0.7974300978002793,0.022779105067864243,0.031423141670348896,0.7249149466604344,0.46852031075823564,0.2629236007636957,0.035325716452790284,7.4428384521250965,1.0623755999813296e-13,0.02111388565688566,0.03127567077675525,0.6750897784925513,0.4996335429728893,0.10477255838359016,0.027168265779905432,3.8564315894275256,0.00011573902187483767,-0.18383195790283346,0.01743792316103495,-10.542078675607774,7.432088873263032e-26,-0.09035452845945921,0.016058006726702566,-5.626758662967198,1.883174890406712e-08,0.07639827311054503,0.04173022918943791,1.8307657205458565,0.06716375016649867,-0.040168385419358826,0.025444420821787418,-1.5786716349606844,0.1144414172968229,0.01392391564675058,0.020970365111170598,0.6639806018128659,0.5067172572310312,-0.272728292734988,0.03435853881113214,-7.937715111639854,2.268701300178297e-15,-0.012861791717339414,0.01622949765691543,-0.7924947517928241,0.42809009591886293,0.014557214084910619,0.016361942312093217,0.8896996338968441,0.373647506078555,-0.09294066939847069,0.06087107354617206,-1.5268445911007817,0.1268296807402757,0.02510862245499046,0.031039823764111952,0.808916398682034,0.4185815030721245,-0.00983149458415961,0.01888821810842008,-0.5205093740301993,0.6027195345459471,-0.014732402530822267,0.03248241572935602,-0.45355008856400547,0.6501620262168735,-0.00722724642554316,0.017321465136986045,-0.417242211809844,0.6765097546071045,-0.008480902069990782,0.030966302913999464,-0.27387518921920373,0.7841859082655344,-0.022160755028285274,0.014797416588056559,-1.4976097277799076,0.134264637430119,-0.04567069290406472,0.026716057349745248,-1.7094847606508905,0.08739064163483619
-1.944,0.05609900662241385,0.05403828304883196,10559,0.10453586245184879,0.028090073223632855,3.7214521165398833,0.0001991110583315634,0.1612205479792579,0.034381227461371656,4.689202797090186,2.777166354654227e-06,-0.009683650592754594,0.07550774529887404,-0.12824711629813418,0.8979558624213035,0.03669457375508093,0.06927936529628018,0.5296609401392881,0.5963581953475028,0.023283509408884934,0.028601643708083505,0.8140619345700213,0.4156278705836891,0.2664207485043938,0.03215380455318657,8.285823472730865,1.3153662120697467e-16,0.022244426542733862,0.028467414292064976,0.7813996141171938,0.4345850573065265,0.08310548155640642,0.024728815029230803,3.3606738316482705,0.0007802886711701654,-0.16483648701771433,0.015872164231480586,-10.38525588657786,3.826135534270127e-25,-0.0804398879358535,0.014616151111731136,-5.503493178261634,3.810572811826454e-08,0.07005004347456704,0.03798325322318788,1.8442349596269745,0.06517696492686237,-0.04121298601939326,0.023159754881862026,-1.7795087309697712,0.07518521554455836,0.016621137376399524,0.019087426637040866,0.8707898499080391,0.383888750056401,-0.2597781873345355,0.03127347022508743,-8.306663298470237,1.1050798451052874e-16,-0.0024180145145354707,0.014772243794524352,-0.1636863396088656,0.8699812118225972,0.024417569291363458,0.014892796184803317,1.639555728042479,0.1011274320431478,-0.08702128779725037,0.055405432593615946,-1.5706273504897665,0.11629926456560051,0.01372320393075312,0.02825274408830223,0.48572994849144857,0.6271687487725949,-0.0043280198390994885,0.017192236546079376,-0.2517426878986537,0.8012448696051794,0.009498147535173375,0.029565805074975905,0.3212544867656074,0.7480239169608329,-0.010588134794892233,0.015766163025562423,-0.6715733420823564,0.5018700793168964,-0.01539351160398696,0.028185824708244923,-0.5461437358433598,0.5849787030202767,-0.016562136931387545,0.01346874992614254,-1.2296714262428179,0.21884763176099556,-0.0432400576757757,0.024317210596519416,-1.7781668462403644,0.07540529110813142
-1.89,0.05454354228443037,0.05247942282287754,10559,0.048357192422350107,0.025620571491721943,1.8874361345910808,0.059129152153590124,0.14900725035494972,0.03135864720374356,4.7517116853548895,2.0436837757772206e-06,0.009431093073229514,0.0688695814783761,0.13694134436101837,0.8910797753888449,0.048894000122292176,0.06318876128742647,0.7737768414210279,0.4390801324627357,0.02251992161175886,0.026087167931879873,0.863256665904249,0.3880160160188797,0.2462054718542298,0.02932704524218503,8.395168003494584,5.248925592888846e-17,0.01874445313857061,0.025964739117899375,0.7219195638152475,0.4703599549695412,0.0718928605966444,0.022554813877414218,3.1874730151790778,0.0014394113289013329,-0.1515568164840287,0.014476783851131882,-10.46895622967936,1.6003369430371426e-25,-0.0708317047055767,0.013331191467912038,-5.313231369909244,1.0989556015475894e-07,0.08432609612728754,0.03464400562238927,2.434074657717709,0.014946417103239103,-0.04363278452138053,0.021123695583046366,-2.065584800246776,0.03889209915655367,0.015026922276920556,0.01740938070378079,0.8631508801262049,0.3880741655862544,-0.22985959444950207,0.02852410434523125,-8.058433375066892,8.563788897301894e-16,-0.009456461143539048,0.013473561468410066,-0.7018531192150302,0.4827862724596381,0.028346263204147647,0.013583515654326594,2.0868134528279394,0.03692898174171829,-0.0919301982677573,0.05053453707625949,-1.819155840470635,0.06891603168785328,0.022294276821607013,0.02576894136191422,0.8651607572268116,0.38697026090677933,-0.010444217055734853,0.01568080374959077,-0.6660511299369728,0.5053930034380197,-0.005658083210070776,0.026966566324093402,-0.20981845230386398,0.8338134280398553,-0.006094147838950411,0.014380101601398545,-0.42379031858562954,0.6717273915055902,-0.008468873633980613,0.0257079051108767,-0.32942682795252487,0.7418396416755886,-0.008442564964109374,0.012284662543938759,-0.6872443531853406,0.4919438870666074,-0.0396050738270105,0.02217939510542898,-1.7856697010332863,0.07418150947238582
-1.836,0.05428010163285679,0.05221540702797356,10559,-0.02255813301080247,0.023807387901527265,-0.9475265872975231,0.34339224799978774,0.15929986183962846,0.029139376468939562,5.466824659389347,4.6861951431854104e-08,0.017444451561096926,0.0639956388717284,0.2725881305140533,0.7851751794479562,0.08879647866735624,0.05871685381697409,1.5122826393958904,0.13049197098350346,0.018142270844460226,0.024240963024857388,0.7484137831428815,0.4542273187819904,0.23852231802661866,0.027251552226769355,8.752614017792235,2.4032180635713573e-18,0.019198089739263513,0.0241271985732838,0.7957032260065898,0.426222479143917,0.06288650349493392,0.02095859583771763,3.0005112929255375,0.0027015750270580805,-0.1396431510211347,0.013452252960938868,-10.38065158502555,4.0132780746843115e-25,-0.0643836056375957,0.012387734854730267,-5.197367104851358,2.0591511124310145e-07,0.07928660021489622,0.03219222805320335,2.462911236956358,0.013797279444837052,-0.036442440272357726,0.01962875866456964,-1.8565840507345566,0.06339825065441052,0.009001766812828708,0.016177308132029358,0.5564440473879683,0.5779191532897299,-0.21273417580276854,0.026505435950559236,-8.026058360239123,1.113626692089602e-15,-0.005685198213577934,0.012520029242796214,-0.4540882535756926,0.6497746619743127,0.027503574335945385,0.012622201903400495,2.1789838687761574,0.0293549489799285,-0.0961609205783879,0.046958176830182864,-2.0477992773471447,0.04060441196046361,0.013195092576903242,0.023945257544821835,0.5510524391814982,0.5816094132512384,-0.017475880891255815,0.01457106363122504,-1.1993551969539067,0.2304168345566946,-0.004491339392386989,0.025058125852398975,-0.17923684392210856,0.8577551817306037,-0.004818055857315971,0.013362412973437512,-0.3605678006579761,0.7184297925949069,-0.005489086349685167,0.023888540866781507,-0.22977905516690977,0.8182679218292905,-0.009962929860863817,0.011415269425875571,-0.872772204419489,0.38280714433019125,-0.03596353210912954,0.02060974568294823,-1.744976995950245,0.081018030623755
-1.782,0.05066072317545878,0.04858812674765001,10559,-0.0763673706670984,0.022129096407063713,-3.4509936267764445,0.0005607172616076602,0.15850822988741017,0.027085208750747537,5.852206322132756,4.995568051824565e-09,0.03707190979648322,0.05948429403854354,0.6232218167111817,0.5331522583095613,0.05003308947341676,0.054577634648945765,0.9167324636774674,0.3593038348130754,-0.006489611612018388,0.022532106839941203,-0.2880161920994745,0.7733400098063543,0.24184116412403012,0.02533046586054174,9.547442414028223,1.6242413190722015e-21,-0.002635404453122422,0.02242636216408757,-0.11751368473584288,0.9064552405262195,0.03466224372179993,0.019481128705421097,1.7792728668824163,0.07522386035337243,-0.13298394303631236,0.012503942217269776,-10.635361290509008,2.772914336679288e-26,-0.05717087652597429,0.011514466853706527,-4.9651344914481115,6.972941658844369e-07,0.06307346798303891,0.029922850885368134,2.1078696085699833,0.03506582877252358,-0.024288523923730668,0.01824503782758056,-1.3312399871823957,0.18313886413638852,0.007826232275128523,0.01503689580483074,0.5204686111221356,0.602747937465959,-0.20694572972197386,0.02463694672793358,-8.399812363410156,5.046763013149508e-17,0.0007431344543718491,0.011637435206208442,0.06385723668522726,0.949085114451774,0.0388193407831485,0.011732405249374465,3.308728258020087,0.0009403507069964044,-0.05926469902160417,0.0436478805013464,-1.3577909933055292,0.17455909431519476,0.014118871196127595,0.02225724698959265,0.6343493965237251,0.5258666002392796,-0.023911251257164368,0.01354388281413072,-1.765465013638266,0.07751460892534741,-0.0021315440948284884,0.023291664128028928,-0.09151531994931233,0.927084873710829,-0.0021690455640903626,0.012420435460759988,-0.17463522683589083,0.86136962269931,-0.013732163241478128,0.02220452852919564,-0.6184397576117134,0.536298867289421,0.0012338990660011612,0.010610554953893207,0.11628977667642361,0.9074251042292393,-0.019219605090310836,0.01915687059115666,-1.0032747780414164,0.31575134477738986
-1.728,0.045528927560456456,0.04344512740230644,10559,-0.1343816205183012,0.020992600869881875,-6.401380245889339,1.6052970061885636e-10,0.15647328440769986,0.025694179568957844,6.089833846912996,1.169719785604009e-09,0.05205468614758613,0.056429328148221984,0.9224757383404414,0.3563016051439033,0.06548460471799941,0.0517746626220957,1.264800220833361,0.20597092967887137,-0.018304118362448676,0.021374913685921433,-0.8563364807645828,0.3918311650572469,0.23186826434774177,0.024029555923882357,9.64929460545269,6.099371011638976e-22,-0.011700684172461145,0.02127459979449649,-0.5499837498935226,0.5823421788046894,0.010735798413644016,0.01848062622553182,0.5809217870989689,0.5613055945910757,-0.12329684765822918,0.01186177074014744,-10.394472322831001,3.477128048866947e-25,-0.04761793790315656,0.010923112378514828,-4.359374531092299,1.3167246492098426e-05,0.06351590060266893,0.02838608743757895,2.237571512535516,0.025269832553427973,-0.04046035027219039,0.01730801791111708,-2.337665149179351,0.01942324634812643,0.011054129687575121,0.01426463811021455,0.7749323608609134,0.4383970212350847,-0.19736374792687464,0.023371654214808395,-8.444577611533546,3.452531077223223e-17,0.007772229477595145,0.01103976538124998,0.7040212549077862,0.4814350975913234,0.035729187372294025,0.01112985799841366,3.2102105325500565,0.0013303556686202471,-0.0447302060717182,0.04140623355450622,-1.0802771039977925,0.28004353194574744,0.00940865823654357,0.02111416995615573,0.44560871945622105,0.6558890676543352,-0.027130528104589366,0.01284830256579035,-2.1116040788786066,0.034743905829087686,-0.01423799248995829,0.02209546199450695,-0.6443853716884459,0.5193395975717087,-0.0048204349696957405,0.011782552683652877,-0.40911635187370016,0.6824625934727944,-0.0037700544887634725,0.02106415898520457,-0.17897958762139768,0.8579571713701377,0.0020176228153427106,0.010065623153231295,0.20044688586369416,0.8411349630625826,-0.006190679615068155,0.01817302120423502,-0.3406521978649035,0.7333722215127982
-1.674,0.03553125000568258,0.03342562292928297,10559,-0.1664466677872056,0.02011589576808076,-8.27438507865594,1.4470813959416178e-16,0.1431384516810564,0.024621124426609204,5.813643975023333,6.290288582763925e-09,0.06525170808784653,0.0540726940091081,1.2067404682454959,0.22755920470186608,0.054254124178288315,0.04961241930855062,1.0935593332159415,0.2741732968197828,-0.007600080593423373,0.02048224221585641,-0.3710570607128032,0.7106024932889267,0.20714731137514328,0.023026019754016552,8.996227467363719,2.737151428709047e-19,-0.0021942335464746844,0.020386117691005855,-0.10763371328140411,0.914288302630526,-0.0057686003841776615,0.017708827657225385,-0.32574716383464336,0.7446221267753657,-0.11503789608846648,0.01136639263103461,-10.120880020840467,5.744316247914067e-24,-0.02975614849304041,0.010466935061128202,-2.8428712244091328,0.004479511513825964,0.07500754147234179,0.027200611286674642,2.7575682282216714,0.00583333888047724,-0.01680225294815649,0.016585190487359805,-1.0130877279318629,0.31104152580915184,0.0070379642624315425,0.013668910068506583,0.5148884751716335,0.606641756977822,-0.1745731707542516,0.02239559371546116,-7.7949784663994945,7.049538584621417e-15,0.006021244093958485,0.010578716333901344,0.5691847577633173,0.5692428979273692,0.038814195629947326,0.010665046451239892,3.6393836452006156,0.0002745990134228546,-0.07833218495421941,0.039677002554088105,-1.974246538594647,0.04837979539257287,0.004620079994811071,0.020232387816077262,0.22835070367422558,0.8193780417308218,-0.020123355336518847,0.012311724345743614,-1.6344871580458877,0.1021864786321435,-0.010215174295830434,0.0211726985705127,-0.4824691695208445,0.6294827188138019,0.0015214893460268651,0.011290482924692277,0.13475857110587974,0.8928053367985589,-0.0016933514199825132,0.02018446543213115,-0.0838937957349571,0.9331424664562816,0.0033533943990421127,0.009645256795296774,0.3476728997694801,0.7280927970573685,-0.01719563456698329,0.01741406901419215,-0.987456438410182,0.3234416059903782
