peth_time,r_squared,r_squared_adj,n_trials,Intercept_beta,Intercept_se,Intercept_tstat,Intercept_pvalue,C(Q_diff_bin)[T.1]_beta,C(Q_diff_bin)[T.1]_se,C(Q_diff_bin)[T.1]_tstat,C(Q_diff_bin)[T.1]_pvalue,C(Q_diff_bin)[T.2]_beta,C(Q_diff_bin)[T.2]_se,C(Q_diff_bin)[T.2]_tstat,C(Q_diff_bin)[T.2]_pvalue,C(Q_diff_bin)[T.3]_beta,C(Q_diff_bin)[T.3]_se,C(Q_diff_bin)[T.3]_tstat,C(Q_diff_bin)[T.3]_pvalue,C(Q_diff_bin)[T.4]_beta,C(Q_diff_bin)[T.4]_se,C(Q_diff_bin)[T.4]_tstat,C(Q_diff_bin)[T.4]_pvalue,Reward_beta,Reward_se,Reward_tstat,Reward_pvalue,Q_chosen_beta,Q_chosen_se,Q_chosen_tstat,Q_chosen_pvalue,Port_beta,Port_se,Port_tstat,Port_pvalue
-2.16,0.06989018271552516,0.06943507515778768,14314,0.16085931259306321,0.023243723784948347,6.920548277089272,4.69033931971788e-12,-0.011564559258016706,0.03145158232430004,-0.36769403646447785,0.7131068272270202,-0.006656841479506311,0.03521651245297724,-0.18902614188144956,0.8500750093066324,-0.09417416408336934,0.03593848954412584,-2.6204263250335225,0.008791270386988459,0.00027766374659726403,0.03797830713808316,0.007311114357670611,0.9941667286417779,0.007718320698109514,0.009792459323806716,0.7881902229959019,0.430598506824871,0.2965300867490779,0.012354373704249091,24.00203311375396,7.668093544196753e-125,-0.0005394402834408467,0.01133680792745038,-0.04758308395916923,0.9620491780060392
-2.106,0.05894208989006067,0.058445414524700534,13271,0.15840717603103263,0.02434243614394661,6.507449586980831,7.918446902785212e-11,-0.04114825989679314,0.03296220748713319,-1.2483466076371061,0.2119261888098979,-0.012866043150014552,0.0367611324590582,-0.3499903917362662,0.7263514659147416,-0.07474357082757946,0.03734158538616625,-2.001617501094888,0.045346216928378875,-0.0010962811925486233,0.0398120127582944,-0.027536442309619852,0.978032288391424,-0.011291238125631877,0.010145881772083448,-1.1128887936285532,0.26577636333927407,0.2714754678597228,0.01285881373371866,21.112014955769517,2.4440884871621147e-97,-0.010299054437258493,0.01161990231665429,-0.8863288310519889,0.375456427417573
-2.052,0.058566290361841244,0.05803042794783342,12306,0.13927733028846204,0.02484435565112486,5.6059948683819485,2.1152058876636006e-08,-0.03406031953395435,0.03368142264129456,-1.0112494325639099,0.31191695713764406,-0.009246878710910384,0.037519868334353765,-0.2464528560843536,0.8053358077747785,-0.07156309764771951,0.03798022375635871,-1.884220011624821,0.05955878794988731,-0.0030664644984403776,0.040805751020318526,-0.0751478510201536,0.9400982981175476,0.013145378955864423,0.01030191354087111,1.2760133254576778,0.20197490713005462,0.2552490792253738,0.013084854828982986,19.50721521648039,1.7318248205589357e-83,-0.030108346870736234,0.011695951919282981,-2.5742536459214533,0.010057251641189376
-1.998,0.05651933101449058,0.05593445989485735,11300,0.18433167528841748,0.02390069163285741,7.7123992108666855,1.338467216457781e-14,-0.08868754179933586,0.03245298122810687,-2.7328010692134925,0.006289596410496182,-0.058371362979195776,0.036043686563857195,-1.6194615075175927,0.10537592753669534,-0.13187655478986154,0.03632120713063744,-3.630841737047386,0.00028374824177459785,-0.08731851728870615,0.03962792124329529,-2.2034594434720622,0.02758249650117132,0.0045418432746916,0.009851592912652555,0.4610262842731188,0.6447886267543581,0.21947511840889808,0.012577983766899541,17.449149440506748,2.6591089737787014e-67,-0.02884216961235308,0.011061412248594953,-2.6074581585201004,0.009133720298113391
-1.944,0.05072864771103225,0.05008594537366662,10347,0.21361374320350152,0.024316549457143698,8.784706217466486,1.8159698283222298e-18,-0.10750687793686427,0.0330132201706131,-3.2564795976056313,0.001131664680720381,-0.1023336160774058,0.036463337351511554,-2.8064797001683024,0.005017975292274207,-0.14670800059183767,0.03669182651603583,-3.998383687105908,6.422004079198924e-05,-0.10606516214311214,0.04055477573065935,-2.6153556574331405,0.008926403052998789,-0.007042766686079767,0.009926355337313146,-0.7095017704641323,0.47802915280225633,0.18890120378599914,0.012748998623723242,14.816944401773892,3.630538534854547e-49,-0.03947195336281701,0.011040388122020508,-3.5752324036587604,0.000351512912459115
-1.89,0.04705546394759286,0.04634157142272488,9352,0.19185655026961118,0.026025571196440257,7.371847819265271,1.825840064404126e-13,-0.10260987755225671,0.03536632059874391,-2.901344437733256,0.0037243267718941224,-0.10847263320712025,0.038767928596752356,-2.7979992001999086,0.005152551044944771,-0.12885466086833494,0.0389598772145312,-3.3073682485907554,0.0009453260969376621,-0.07599843205353973,0.043459254082865356,-1.7487284045103657,0.08037081296588267,-0.01494710897810743,0.010483250650006702,-1.425808604328074,0.1539570018320421,0.1827568137512282,0.013577069092631296,13.460697040307183,6.401616328889478e-41,-0.043879773163182874,0.01155902077049549,-3.7961496942012953,0.00014789016292457053
-1.836,0.05318354074842446,0.05247423903451598,9352,0.1659080030081936,0.025344300546109512,6.546166176744673,6.213698053503211e-11,-0.09026123195336697,0.034440537412190546,-2.6207846548125633,0.008786967479294564,-0.05368957504283553,0.03775310161263998,-1.4221235540780024,0.1550237644120066,-0.09940746558792873,0.03794002559681224,-2.6201212050916762,0.008804068564792843,-0.03296769979053243,0.04232162240252889,-0.778980056033071,0.4360111902323166,-0.005936237052601158,0.010208830890532332,-0.5814805942281229,0.5609306198438242,0.204508087668068,0.013221662534192819,15.467652962642584,2.6185204899246666e-53,-0.03153362880526512,0.011256440606622693,-2.8013854385472796,0.005098833203336194
-1.782,0.047103934675369885,0.04620230282118343,7406,0.169716049343542,0.029073670109163025,5.837448409722903,5.524623117721893e-09,-0.10493379332027968,0.03927387313993373,-2.671847335922233,0.007560022390916255,-0.07311114012688735,0.042718773826945375,-1.711452215905402,0.08703958102038227,-0.11733915115249235,0.04297200982926318,-2.730594906282146,0.006336987115951172,-0.16972807858908007,0.048788290512795755,-3.4788691467794983,0.0005064338532643026,-0.02511605072401714,0.01135188447592301,-2.2125005568271496,0.026962523389504972,0.20207843372629555,0.015051515159836423,13.42578681151803,1.2731971101779652e-40,-0.015955628814770022,0.012357593558965797,-1.2911598636608133,0.19668859202278188
-1.728,,,6386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.674,,,5384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
