mouse,n_samples,n_trials,r2_mean,r2_std,n_splits
SM1L,379291,10324,0.12320380983878876,0.010320202558798971,10
SM1N,200722,5438,0.023366860139392365,0.007594992241957802,10
SM2L,152791,4172,0.023663584004491766,0.004192947125039887,10
SM2N,303710,8560,0.014118993999690532,0.0027550375971688236,10
SM2R,282026,7618,0.04625540641837862,0.00962671437048677,10
SM3FR,28338,752,0.09779380034940441,0.04103064170281988,10
SM3MN,219677,5959,0.13275574927632325,0.008121446320642085,10
SM3MR,120933,3226,0.05455840779330723,0.008185499751939256,10
