mouse,n_trials,n_hemispheres,hemispheres,interaction_coef,interaction_p,note
SM1L,20648,2,"green_l,green_r",0.3871804763108789,2.0242394936194202e-14,
SM1N,13227,2,"green_l,green_r",1.0473265101159424,3.133291617827221e-64,
SM2L,12442,2,"green_l,green_r",1.6215252398679751,2.719391012647928e-167,
SM2N,18807,2,"green_l,green_r",0.9412760891033928,8.623022394367396e-72,
SM2R,17286,2,"green_l,green_r",1.2753852401138084,3.3763763501661156e-119,
SM3FR,1504,2,"green_l,green_r",0.2096202167267767,0.22649128320536657,
SM3MN,11918,2,"green_l,green_r",0.2307024532285693,7.602236824340391e-05,
SM3MR,6452,2,"green_l,green_r",0.2178151973951508,0.006245093322507711,
