mouse,n_trials,peak_r2,peak_time_s
SM1L,10324,0.25056348108297766,1.998
SM1N,7789,0.28499803878005925,1.782
SM2L,8151,0.21753728034535313,1.134
SM2N,10247,0.182085323231031,1.782
SM2R,9668,0.37126559135543435,1.674
SM3FR,752,0.22480821700877462,1.404
SM3MN,5959,0.19284907260021866,1.836
SM3MR,3226,0.12739951142069017,2.268
