mouse,n_samples,n_trials,r2_mean,r2_std,n_splits
SM1L,379291,10324,0.21610434441720203,0.011364235455139595,10
SM1N,287556,7789,0.20453338520046813,0.012951504527512701,10
SM2L,294483,8032,0.15216076981989393,0.016090676563650853,10
SM2N,365296,10247,0.12645673810531788,0.013821647453669417,10
SM2R,357971,9668,0.26453910769829575,0.008931336647088539,10
SM3FR,28338,752,0.10987920593018274,0.0441940176435257,10
SM3MN,219677,5959,0.15154951488052007,0.009680399642326273,10
SM3MR,120933,3226,0.07283068491915626,0.01061644934273245,10
