mouse,n_trials,peak_r2,peak_time_s
SM1L,10835,0.12006244318060144,1.188
SM1N,7789,0.2232054898551311,0.972
SM2L,8230,0.01780816859156431,0.864
SM2N,10247,0.17957120209628596,0.8099999999999999
SM2R,9668,0.2722337249033766,1.566
SM3FR,752,0.19312951793942423,1.458
SM3MN,5959,0.03562899313376511,1.35
SM3MR,3226,0.02267246147502644,1.674
