mouse,n_trials,peak_r2,peak_time_s
WCL23,2605,0.25052508298001586,1.188
WCL24,2829,0.2084359510589997,1.512
WCL25,885,0.15579059480858093,1.836
WCL26,735,0.17648346013044058,2.862
WCL27,2998,0.3248422450798206,1.404
WCL28,1817,0.21632810682698678,1.35
WCL29,3592,0.1519110456791436,1.026
