peth_time,r_squared,r_squared_adj,n_trials,Intercept_beta,Intercept_se,Intercept_tstat,Intercept_pvalue,Reward_beta,Reward_se,Reward_tstat,Reward_pvalue,Port_beta,Port_se,Port_tstat,Port_pvalue,Port:Reward_beta,Port:Reward_se,Port:Reward_tstat,Port:Reward_pvalue
-2.16,0.002938366708389095,0.002862229948140893,39291,0.11045104492166939,0.006079847510641569,18.16674591399648,1.893481025079868e-73,0.06097339668708538,0.006079952006178822,10.02859835490814,1.2185399619260377e-23,-0.02071114141347941,0.006079925128411854,-3.4064796812538045,0.0006587233318961672,-0.010979242519637451,0.006080416489004564,-1.8056727757862656,0.07097711872230346
-2.106,0.002306770077391218,0.0022305850877059052,39291,0.1012610940118701,0.006009302190747922,16.850724226811945,1.7331207163808416e-63,0.05088352483644786,0.00600940547380886,8.4673142889453,2.596903686679705e-17,-0.020403330212517813,0.006009378907908377,-3.3952477494249718,0.0006863433481309988,-0.016314177311885263,0.006009864567175497,-2.714566547970076,0.006639153314286622
-2.052,0.0024970920416138576,0.002420921585130187,39291,0.09037347055008385,0.005873766306570807,15.385949292702666,2.909678995292883e-53,0.048415803634748324,0.0058738672601497946,8.242577077493173,1.7370752316130073e-16,-0.030006153734532866,0.005873841293425837,-5.10843794300615,3.263499137449769e-07,-0.01153351390725735,0.0058743159989655385,-1.9633798912568527,0.04960909138436631
-1.998,0.003213165011111019,0.003137049234773648,39291,0.08368749429638987,0.005363916545862487,15.601938169776913,1.0311678345823275e-54,0.044606517672066914,0.005364008736553167,8.31589206186312,9.39572273231239e-17,-0.03998575703158039,0.005363985023771111,-7.454487075258218,9.207126790888912e-14,-0.005780089138112331,0.005364418524316744,-1.0774866114400592,0.2812695448134354
-1.944,0.002985822328109955,0.0029096891916268186,39291,0.0805895525045257,0.0052477141763009605,15.357077347785761,4.531470525422157e-53,0.03468712823045392,0.005247804369798616,6.609836378444311,3.896577513702253e-11,-0.04299814071690961,0.005247781170723558,-8.193584930101245,2.611487159901862e-16,-0.013081067394005734,0.00524820528003609,-2.4924839437522497,0.012689393089415059
-1.89,0.0020192777461359723,0.0019430708032093236,39291,0.07324281643733721,0.005111341730831333,14.32946969590011,1.8759311558865677e-46,0.02434243377404545,0.005111429580468896,4.762353347693465,1.9202986819972464e-06,-0.03734163942071651,0.005111406984268629,-7.305550024805857,2.81370446837324e-13,-0.008898305357801981,0.005111820072244605,-1.740731330923924,0.08173851249258808
-1.836,0.002834064119426327,0.0027579193945137526,39291,0.06288601490775093,0.005063412522489024,12.419690204668141,2.3812633889032691e-35,0.02825531719524128,0.005063499548357837,5.580195460747078,2.4182914871773656e-08,-0.0443137526648051,0.005063477164042836,-8.751644616764429,2.1846388742319064e-18,-0.009260770799727789,0.005063886378480177,-1.8287872411756643,0.06743906396085113
-1.782,0.0024619070286606703,0.0023857338854094134,39291,0.0471109971695736,0.004997293770037559,9.427301923300684,4.429264967654709e-21,0.021643047437855122,0.004997379659510345,4.330879163176439,1.4888278686688071e-05,-0.04204128155220124,0.004997357567492875,-8.412702310051618,4.140017447571425e-17,-0.0132330458645158,0.004997761438350573,-2.6477946232029725,0.008105107669168533
-1.728,0.002474325060874971,0.0023981528658787443,39291,0.024461315762050632,0.004936275751661186,4.955419225479606,7.247415796776768e-07,0.02483769918577659,0.004936360592405265,5.031581206605958,4.885932019364561e-07,-0.040995294133072326,0.004936338770136021,-8.304797551798233,1.0314890457099767e-16,-0.008052542359701908,0.004936737709644762,-1.6311464844425274,0.10286742968225686
-1.674,0.0011353421840826217,0.0010590677428311546,39291,0.003798971544337709,0.0048803037726763325,0.7784293194221337,0.4363206478713656,0.010598510895842227,0.00488038765141898,2.171653494115512,0.029887771583291266,-0.029852412972834527,0.004880366076590449,-6.116838881416494,9.634868442196176e-10,-0.007504800948067581,0.004880760492560612,-1.537629424657613,0.12414730199270065
