mouse,n_trials,r2_signed,r2_unsigned,delta_r2
SM1L,10835,0.10371398702526106,0.017183405520834104,0.08653058150442697
SM1N,7789,0.17382000642080317,0.01059863761232902,0.16322136880847415
SM2L,8230,0.03872209693046391,0.0024977465588538863,0.03622435037161002
SM2N,10247,0.16037603679290088,0.007862075775691691,0.15251396101720918
SM2R,9668,0.18298152216180852,0.009460579459295815,0.1735209427025127
SM3FR,752,0.1818710092925119,0.002406230705020174,0.17946477858749174
SM3MN,5959,0.02382418269711457,-0.0005950853560739988,0.02441926805318857
SM3MR,3226,0.008269649673414503,0.00021870259306309148,0.008050947080351412
