peth_time,r_squared,r_squared_adj,n_trials,Intercept_beta,Intercept_se,Intercept_tstat,Intercept_pvalue,C(reward_seq_3)[T.001]_beta,C(reward_seq_3)[T.001]_se,C(reward_seq_3)[T.001]_tstat,C(reward_seq_3)[T.001]_pvalue,C(reward_seq_3)[T.010]_beta,C(reward_seq_3)[T.010]_se,C(reward_seq_3)[T.010]_tstat,C(reward_seq_3)[T.010]_pvalue,C(reward_seq_3)[T.011]_beta,C(reward_seq_3)[T.011]_se,C(reward_seq_3)[T.011]_tstat,C(reward_seq_3)[T.011]_pvalue,C(reward_seq_3)[T.100]_beta,C(reward_seq_3)[T.100]_se,C(reward_seq_3)[T.100]_tstat,C(reward_seq_3)[T.100]_pvalue,C(reward_seq_3)[T.101]_beta,C(reward_seq_3)[T.101]_se,C(reward_seq_3)[T.101]_tstat,C(reward_seq_3)[T.101]_pvalue,C(reward_seq_3)[T.110]_beta,C(reward_seq_3)[T.110]_se,C(reward_seq_3)[T.110]_tstat,C(reward_seq_3)[T.110]_pvalue,C(reward_seq_3)[T.111]_beta,C(reward_seq_3)[T.111]_se,C(reward_seq_3)[T.111]_tstat,C(reward_seq_3)[T.111]_pvalue,Port_beta,Port_se,Port_tstat,Port_pvalue
-2.16,0.053596046197830316,0.05310606227145076,15461,0.1739110084492513,0.0450730050674916,3.858429412213358,0.00011458167207632496,-0.2104606188913615,0.06599429843051347,-3.189072751685649,0.0014301468750091632,-0.28455585726633864,0.07939748600221853,-3.583940394011815,0.00033949118123129037,-0.7141309572810348,0.0588333969771014,-12.138190109250063,9.440095321240398e-34,0.4615646704019049,0.06608485834847244,6.98442399570603,2.9769489794817877e-12,0.6011102669279467,0.06338908881993652,9.482866501448926,2.8264359110358213e-21,0.4814037883185522,0.058902297933985034,8.172920330851731,3.241724193509719e-16,0.19194001035314281,0.04862960623609511,3.9469785015589167,7.949402950099489e-05,-0.056356885703643736,0.012421816640026813,-4.536927837273413,5.75094990584255e-06
-2.106,0.05404417906756742,0.053554427154063666,15461,0.15025361011574087,0.04212955689499963,3.566465474351441,0.00036292205621597383,-0.22238714609795746,0.061684605814737864,-3.6052292652379094,0.00031285904393303513,-0.2655648132084071,0.0742125114321018,-3.5784372214835574,0.000346712774368849,-0.6436056492346668,0.054991339973037935,-11.703763711708506,1.6560018832213108e-31,0.44254969527204424,0.06176925180650935,7.164562987719524,8.155996001706556e-13,0.5494831430751853,0.05924952685011471,9.27405115766121,2.0246006658295565e-20,0.46863334456938155,0.055055741420840285,8.51197954064768,1.865297741272921e-17,0.20584886010943668,0.04545389772963309,4.528739456709697,5.978039122592885e-06,-0.0612438141584333,0.0116106221471509,-5.274808996644659,1.3468680561408454e-07
-2.052,0.054747170044436966,0.05425778209209131,15461,0.1391747090375991,0.039104026798917224,3.5590889335584435,0.0003732596087160794,-0.21979444394935757,0.057254731752150234,-3.8388869744569725,0.00012408592118927405,-0.2673685693753546,0.06888294702668235,-3.881491441877295,0.0001042492180617678,-0.5844733499549227,0.0510421421562417,-11.450799775719254,3.085199497954218e-30,0.39670592092489426,0.057333298900124334,6.919293474041382,4.7173740539501554e-12,0.5232154548031835,0.054994527750303605,9.513954864360029,2.100668044227067e-21,0.46131291379286343,0.05110191862023415,9.027311033488349,1.9633803895541121e-19,0.19850276016189716,0.042189630414693,4.70501301411653,2.560486998228726e-06,-0.052922879352570035,0.0107768064289368,-4.910812836952033,9.162651414080145e-07
-1.998,0.05652571146860608,0.056037244324660174,15461,0.10008999002044248,0.03584111854734555,2.7926022980623553,0.005235020022264772,-0.18138447818515493,0.05247729699750786,-3.456437136877855,0.0005488385300017965,-0.23773864952642387,0.06313523369266427,-3.7655463616989335,0.0001668011921862657,-0.5123615778437334,0.04678309672146036,-10.951852565345524,8.238242962096698e-28,0.3963275497362084,0.05254930836551727,7.542012674638313,4.8847073808385034e-14,0.5126690171474833,0.050405688362726214,10.170856381491054,3.189322635348206e-24,0.4529500813610057,0.0468378853329584,9.670592046184426,4.642867827803651e-22,0.21390416087277564,0.038669254011547916,5.531634016236692,3.224121445977875e-08,-0.04908198767904403,0.00987757088975846,-4.969034211633408,6.800691885169683e-07
-1.944,0.059619031784002074,0.0591321661519979,15461,0.06051586508536191,0.03308633814773042,1.8290287917375057,0.06741455761896456,-0.1683807404063526,0.04844384505591874,-3.4757922335023297,0.0005107449752187736,-0.25761015163557877,0.05828260321262158,-4.42001793735581,9.936515063187999e-06,-0.443755838837499,0.04318730610149594,-10.275145150165502,1.0951381788524367e-24,0.38355570051663707,0.0485103215658327,7.906682292264725,2.821104268755217e-15,0.5164349785428842,0.04653146211202147,11.09861919446246,1.632778673017099e-28,0.434917510729828,0.04323788361135446,10.058714127617863,9.94877680824276e-24,0.22760099438800638,0.035697100592897414,6.375895818084781,1.8705991701190527e-10,-0.0555138814280013,0.009118371964452294,-6.088135211463246,1.169352449754481e-09
-1.89,0.05829572489223811,0.057808174141470436,15461,0.028027257942339807,0.031103371781843615,0.9011003096037494,0.36754903250886883,-0.1384869150939063,0.04554045590021346,-3.0409646183023207,0.0023621659652397447,-0.2241208353220042,0.0547895469133441,-4.090576541479286,4.3248372012752746e-05,-0.3866530766268357,0.040598957549590725,-9.52371932590997,1.913344192469411e-21,0.37814927149517,0.04560294826770911,8.292211049059144,1.202373596896942e-16,0.508556055184787,0.04374268796869718,11.626081496151222,4.0925165503200285e-31,0.41629281980870947,0.04064650379317638,10.241786647308041,1.5433317039247592e-24,0.22784823723375047,0.0335576631755763,6.789752791832697,1.1641910915084108e-11,-0.0527825071965239,0.00857187978884735,-6.157635022506715,7.566570615289721e-10
-1.836,0.05547340377299981,0.05498439181533632,15461,-0.004457495785550099,0.02957666104352312,-0.1507099053199661,0.8802065264060592,-0.11742871711887312,0.043305100082891665,-2.711660217713366,0.006702120426040245,-0.15791607410094685,0.05210019894788828,-3.0310071226195863,0.00244142948391503,-0.3263404614696857,0.03860615545436064,-8.453068108671902,3.088094220733834e-17,0.38707142503513375,0.043364525009044044,8.92599250088423,4.905782782144998e-19,0.4933460265408694,0.0415955756905423,11.860540895291487,2.6202336196906734e-32,0.4008731508851007,0.03865136788792859,10.37151264730011,4.0403977010606484e-25,0.24008479977762,0.03191048340733647,7.523696733545022,5.6176840189664465e-14,-0.051170018941289995,0.008151128591420422,-6.277660616856134,3.52880323905513e-10
-1.782,0.05435889884742495,0.05386930987452687,15461,-0.0039783484729099105,0.028392058383651678,-0.14012187560168826,0.888565523200049,-0.12257238208467341,0.04157064680337158,-2.9485319933663434,0.003197649728090489,-0.18251323903034794,0.05001348489444326,-3.6492805773393737,0.00026384197882679404,-0.3279553861049054,0.0370599040241756,-8.84933177082616,9.744080802497844e-19,0.3572583565886643,0.04162769164593444,8.582228378823784,1.0180127962687665e-17,0.4582822045027974,0.0399295921797805,11.477257329336355,2.2787102476096868e-30,0.3656162940273299,0.03710330561205731,9.85400863874827,7.690822732833038e-23,0.20898382500665025,0.030632406633677382,6.822311661823288,9.29145228503614e-12,-0.0453344711988309,0.007824660076392919,-5.79379433179538,7.015307693449436e-09
-1.728,0.049969942273225376,0.04947808099560347,15461,-0.006763830489604059,0.027375420980164676,-0.2470767662168522,0.8048520967456814,-0.14832149698528696,0.04008212230626116,-3.7004402075315737,0.00021597278258898126,-0.16642921887489434,0.048222646810942404,-3.45126677777316,0.0005594535574599469,-0.3093319132791342,0.035732896165446,-8.656782586189044,5.325479105823049e-18,0.3539968433543016,0.04013712453818121,8.819686198934239,1.2686084577633851e-18,0.4108748274993238,0.038499829097181276,10.672120815450725,1.6999768796552203e-26,0.3220049073985363,0.03577474366813195,9.000900478439416,2.495119039319549e-19,0.17797960609896843,0.0295355488461296,6.02594544716887,1.7194271316179104e-09,-0.03526129494314291,0.00754448165481666,-4.673786292611749,2.9819358775402416e-06
-1.674,0.04484153838640614,0.044347021968278444,15461,-0.020038574628590513,0.026854942848269742,-0.7461782637858637,0.45557108827213144,-0.13862148331068183,0.03932005665052337,-3.525464994690864,0.0004239636792377882,-0.1551551782522572,0.047305808558651255,-3.2798335548982496,0.001040981835262406,-0.28943464519702733,0.035053520638879204,-8.256935107282898,1.6145097488286127e-16,0.3397279501787528,0.03937401314660102,8.628227681893787,6.829875533426838e-18,0.3705789658068644,0.03776784696104191,9.812022543649947,1.164025918069955e-22,0.30581680464428046,0.03509457251142532,8.714076928696576,3.2248745273368078e-18,0.15547571541905789,0.028974001051154545,5.3660423061544185,8.16435553311192e-08,-0.03126742247665033,0.007401041386969828,-4.224732823640107,2.4059580599335422e-05
