peth_time,r_squared,r_squared_adj,n_trials,Intercept_beta,Intercept_se,Intercept_tstat,Intercept_pvalue,C(Q_diff_bin)[T.1]_beta,C(Q_diff_bin)[T.1]_se,C(Q_diff_bin)[T.1]_tstat,C(Q_diff_bin)[T.1]_pvalue,C(Q_diff_bin)[T.2]_beta,C(Q_diff_bin)[T.2]_se,C(Q_diff_bin)[T.2]_tstat,C(Q_diff_bin)[T.2]_pvalue,C(Q_diff_bin)[T.3]_beta,C(Q_diff_bin)[T.3]_se,C(Q_diff_bin)[T.3]_tstat,C(Q_diff_bin)[T.3]_pvalue,C(Q_diff_bin)[T.4]_beta,C(Q_diff_bin)[T.4]_se,C(Q_diff_bin)[T.4]_tstat,C(Q_diff_bin)[T.4]_pvalue,RPE_beta,RPE_se,RPE_tstat,RPE_pvalue,Port_beta,Port_se,Port_tstat,Port_pvalue
-2.16,0.10061777614422607,0.0953428070893535,1030,0.9240396131842833,0.13056489479061445,7.077243961067452,2.7266396001122614e-12,0.028915688004920864,0.1635544432060986,0.17679549046847698,0.8597040259213629,-0.8450143322057305,0.16161518691041205,-5.22855771391179,2.0709112909965608e-07,-0.025766666149937802,0.18733926185146205,-0.13754012850956854,0.8906309413500828,-0.031723062681350785,0.19896538738199832,-0.1594401071400672,0.8733536145312898,-0.11852904030774608,0.0450258768910184,-2.632464895567416,0.0086044865878012,0.026190829204147975,0.06384251553716713,0.4102411846365998,0.6817149316312936
-2.106,0.09843669019721901,0.09253125367012649,923,0.9605338100897489,0.1301937929218327,7.37772353453475,3.6071080451273734e-13,-0.05195782966904924,0.16470149567149098,-0.31546665351893877,0.7524792225965292,-0.8062502304781665,0.15806476942477835,-5.100758590369209,4.111827386826568e-07,-0.1853465256678144,0.18330646730797187,-1.011129221951646,0.3122215958771165,-0.09680855662308571,0.1946162763284141,-0.4974329919853245,0.6190031258072655,-0.1220432633889111,0.043686855034973666,-2.793592335525387,0.005321338272956669,0.09747373137831664,0.0608195872762988,1.6026700565313083,0.10935226810642233
-2.052,0.11192125625758365,0.1056153716866316,852,0.9153180165056427,0.12408607895540046,7.376476267209879,3.8834889546716104e-13,-0.06481824603705699,0.15862766483791937,-0.408618799900296,0.6829229629019451,-0.7813652191636096,0.15076140355141954,-5.1827934786844345,2.735969619135933e-07,-0.1592605447201494,0.17484686619629833,-0.9108573015049044,0.3626303218963134,-0.07353225516347607,0.1858980223638188,-0.3955515729993457,0.6925357094554805,-0.12448781519781765,0.04149248084183442,-3.000249989205368,0.0027768217685414927,0.06731877246553354,0.05741818331267209,1.1724295089405312,0.2413550823145804
-1.998,0.1074186101250455,0.10032524808630405,762,0.7669954404287002,0.12315643520912528,6.22781456061396,7.848825657874132e-10,-0.017077550564627043,0.1585728069862233,-0.10769532865815214,0.9142659870685695,-0.6076775073909237,0.148637349779293,-4.088323078238715,4.811084710259809e-05,-0.041580174167412866,0.17342248831993778,-0.23976229709438748,0.810579614505561,0.11447297193547226,0.18358460312585995,0.6235434235026405,0.5331158031735981,-0.12209896560092329,0.040676433382245254,-3.001712673614544,0.0027731560578233756,0.027784017475896202,0.05621296683506707,0.49426349542119935,0.6212638757174294
-1.944,0.12458962592406009,0.11696631352281817,696,0.733950913065482,0.12367993736376384,5.9342762351731055,4.674556641311396e-09,-0.03525185508798523,0.15699206893728354,-0.22454545205126206,0.822399477025778,-0.6510848642643641,0.14703771611571265,-4.428012631480123,1.1057147543151575e-05,-0.08036673970256959,0.17044891180312288,-0.4715004563678133,0.6374326579914509,0.1146489088387335,0.17962366015366468,0.6382728686223936,0.523508153313718,-0.10283751773925504,0.039395437290210965,-2.610391578641221,0.009240443257404096,0.03312537649460934,0.05308753807573055,0.6239765055097347,0.5328495450839177
-1.89,0.14345637524241595,0.134975745294321,613,0.7251189533028517,0.12078263356094177,6.003503417045362,3.3273343075692573e-09,-0.1352885729935756,0.15459207733522623,-0.8751326415014671,0.38184845194322437,-0.7226217481898971,0.1421877403901533,-5.082166340129417,4.977899941560797e-07,-0.1287331701791098,0.16472810765868254,-0.7814887939212266,0.43482026624834835,0.05991367751517552,0.17403454664209023,0.34426312862118497,0.7307678385830536,-0.08144693326462689,0.03791261867169868,-2.14828033826706,0.03208716048797234,-0.0050688633365999535,0.049870032339012806,-0.101641468811213,0.9190748833482835
-1.836,0.1581304810823312,0.14979513931086907,613,0.6467972211842382,0.11740813575787573,5.5089642383734985,5.341040365020676e-08,-0.1812280024000362,0.15027299097356048,-1.2059918500718605,0.2282912683542637,-0.7520284246077319,0.13821521384868324,-5.440995992170918,7.699228038726055e-08,-0.16139357124511863,0.1601258347903982,-1.007917126279965,0.3138965223683551,0.09695797776044185,0.16917226488860446,0.5731316408412819,0.5667681679868578,-0.07967872799297089,0.036853393146933346,-2.162045911900005,0.031005314915931934,-0.03673155879318477,0.048476733405172945,-0.7577152215719459,0.4489160209442715
-1.782,,,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.728,,,359,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.674,,,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.6199999999999999,,,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.566,,,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,
