peth_time,r_squared,r_squared_adj,n_trials,Intercept_beta,Intercept_se,Intercept_tstat,Intercept_pvalue,C(Q_diff_bin)[T.1]_beta,C(Q_diff_bin)[T.1]_se,C(Q_diff_bin)[T.1]_tstat,C(Q_diff_bin)[T.1]_pvalue,C(Q_diff_bin)[T.2]_beta,C(Q_diff_bin)[T.2]_se,C(Q_diff_bin)[T.2]_tstat,C(Q_diff_bin)[T.2]_pvalue,C(Q_diff_bin)[T.3]_beta,C(Q_diff_bin)[T.3]_se,C(Q_diff_bin)[T.3]_tstat,C(Q_diff_bin)[T.3]_pvalue,C(Q_diff_bin)[T.4]_beta,C(Q_diff_bin)[T.4]_se,C(Q_diff_bin)[T.4]_tstat,C(Q_diff_bin)[T.4]_pvalue,Reward_beta,Reward_se,Reward_tstat,Reward_pvalue,Q_chosen_beta,Q_chosen_se,Q_chosen_tstat,Q_chosen_pvalue,RPE_abs_beta,RPE_abs_se,RPE_abs_tstat,RPE_abs_pvalue,Port_beta,Port_se,Port_tstat,Port_pvalue
-2.16,0.054340413296904866,0.05331752569636061,7405,0.45092607920898536,0.045497995012083604,9.910900009752648,5.191213218073869e-23,0.08085592684772926,0.050085981386689384,1.6143424688732795,0.10649582126412749,-0.009893956534625088,0.07374101861322403,-0.13417168247321712,0.8932704682299811,-0.049492767257352493,0.06906593109513537,-0.7166017524498196,0.47364248993140534,0.003334886065447501,0.06940551625495968,0.04804929413963104,0.96167825427276,-0.05716937731528895,0.018995046836604426,-3.009699202484757,0.0026238826806136693,0.3246991566555215,0.02619494035440637,12.395491353004834,6.136182352887349e-35,-0.046381765735352944,0.01793873363023112,-2.5855652183378437,0.009740897599683558,-0.0888782203617224,0.026216653129193926,-3.3901436588315232,0.0007022141573252291
-2.106,0.06386994535245116,0.06278031339592849,6882,0.41628774602119756,0.04431406511906287,9.394032005475397,7.695916397266065e-21,0.06873902514710804,0.04900656194252726,1.402649409026533,0.16076657791460258,-0.013209380512504015,0.0709768068092306,-0.1861084078917188,0.8523652409104954,0.004619513756213735,0.066879481999695,0.06907221195634862,0.9449341492042649,0.04705611831121097,0.06731424685099223,0.6990513971785952,0.4845435656426922,-0.0557639741199747,0.018261413013187105,-3.0536505625115584,0.0022694028387996758,0.3161806129109452,0.02521093582592669,12.541407232721129,1.0871862237354929e-35,-0.046522210030736325,0.017279356345043836,-2.69235781135332,0.007112074512480965,-0.11896627354169462,0.02512525205426478,-4.734928560507761,2.235243881165682e-06
-2.052,0.06781929588631053,0.0666409982669538,6338,0.38450831053267165,0.04355583665986179,8.827939950629151,1.3609071915675262e-18,0.0712136802574361,0.04835475635283425,1.4727337211215628,0.14087257675580164,-0.012677758978392878,0.06887258004005724,-0.18407556346835444,0.853960073630205,-0.012242282765332662,0.0653024825854748,-0.18747040358394745,0.851297836305839,0.0550104920599379,0.06563722065164479,0.8380990467572366,0.4020067274780399,-0.05528299038233736,0.017707652625607518,-3.1219829952159284,0.0018044699886460124,0.3104138290181601,0.024360084898291282,12.74272361176926,9.650076195410775e-37,-0.03744757289627768,0.016804401186505488,-2.2284384001941926,0.025886286460717552,-0.10477264935783334,0.02427309828956594,-4.316410212983442,1.6100438125937018e-05
-1.998,0.07664535332126876,0.0753638062752191,5773,0.3647570296168469,0.042130661849073915,8.657756930653695,6.1657078899516305e-18,0.061783555976987814,0.04700238847030919,1.314476944421999,0.18873805309406413,-0.01197086183807916,0.06604915522523025,-0.18124171001518558,0.8561842293098615,-0.05790105406165136,0.06269795234474101,-0.923491946647409,0.35578955135317547,0.0405935503017318,0.06309568754777725,0.6433648935356095,0.5200129518197154,-0.04925014499181993,0.01682671368058495,-2.926902182251183,0.003436947254072768,0.31216177619716273,0.023337852250981447,13.375771379477952,3.315193825945521e-40,-0.018036680803856394,0.015995041884133233,-1.1276419864675957,0.2595180842470877,-0.08660351475197377,0.02300368709259314,-3.764766682983567,0.0001683631444698045
-1.944,0.08948767118806233,0.08806887519458839,5143,0.3565663928939256,0.04170623239102547,8.549475041304692,1.6112716566481627e-17,0.03390493986447402,0.04690533848437194,0.7228375481347517,0.4698126223517626,-0.061604302192527806,0.06415042597454863,-0.9603101032714734,0.3369443898151804,-0.08701265674929357,0.06123738157469682,-1.4209075324874283,0.15540437449748107,0.007905571285057205,0.061722656917351335,0.12808216107163087,0.8980889697335515,-0.0438914663931334,0.016290028191580777,-2.694376331148276,0.007074997080278128,0.3015462009212028,0.022549124624086852,13.372856195006914,4.0608291312099794e-40,-0.01495496021709341,0.015536090460987032,-0.9625948210489049,0.33579623217031684,-0.08148841415870173,0.02202237099474113,-3.7002561703351966,0.0002176366481186015
-1.89,0.09486953034880397,0.09326504469464725,4522,0.32220022794895037,0.04197247041724227,7.676465662993014,1.991754814307441e-14,0.031033614816978188,0.04770497781992565,0.6505320038953234,0.5153817516816548,-0.07126194384305583,0.06339878495598739,-1.1240269650676618,0.26106137037852767,-0.0825008947567566,0.06074189375674034,-1.3582206555356486,0.17446157072924887,0.007601771543237445,0.06130422629900607,0.12400077453323463,0.9013201840454145,-0.05749758323529927,0.01597612481233723,-3.598969331467538,0.0003229096860710666,0.2903710056973864,0.022073197428646146,13.154913629347998,8.191685056968254e-39,-0.007955029428059224,0.015274145021743023,-0.5208166752859223,0.602520036930233,-0.07788359492942626,0.021373246655344413,-3.643975863159346,0.0002714777030178503
-1.836,0.0913011111284795,0.08969029989183597,4522,0.23150159385599142,0.040252202081816686,5.751277740915663,9.441786465297369e-09,-0.005356090412783265,0.04574975903080035,-0.11707363112398814,0.9068069148495187,-0.036933931609524705,0.06080034552223325,-0.6074625282518968,0.5435745660346475,-0.04584526166524483,0.058252348694828045,-0.7870113856768013,0.4313165275835733,0.029122701980874743,0.05879163368099754,0.4953545284843428,0.6203740039458522,-0.054525983179510414,0.015321333198589837,-3.5588275819580075,0.0003763470898358459,0.2821169231391577,0.021168513424568592,13.32719579692957,9.001921041343761e-40,-0.009025331403953764,0.014648124495183575,-0.6161424561158917,0.5378315779085077,-0.08325974336664012,0.02049725057789347,-4.061995683286262,4.9480879929428035e-05
-1.782,,,3336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.728,,,2752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.674,,,2207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
