peth_time,r_squared,r_squared_adj,n_trials,Intercept_beta,Intercept_se,Intercept_tstat,Intercept_pvalue,C(Q_diff_bin)[T.1]_beta,C(Q_diff_bin)[T.1]_se,C(Q_diff_bin)[T.1]_tstat,C(Q_diff_bin)[T.1]_pvalue,C(Q_diff_bin)[T.2]_beta,C(Q_diff_bin)[T.2]_se,C(Q_diff_bin)[T.2]_tstat,C(Q_diff_bin)[T.2]_pvalue,C(Q_diff_bin)[T.3]_beta,C(Q_diff_bin)[T.3]_se,C(Q_diff_bin)[T.3]_tstat,C(Q_diff_bin)[T.3]_pvalue,C(Q_diff_bin)[T.4]_beta,C(Q_diff_bin)[T.4]_se,C(Q_diff_bin)[T.4]_tstat,C(Q_diff_bin)[T.4]_pvalue,RPE_beta,RPE_se,RPE_tstat,RPE_pvalue,Port_beta,Port_se,Port_tstat,Port_pvalue
-2.16,0.03790841134555789,0.037128126196608546,7405,0.6006533162321319,0.043907070830562674,13.680104476794916,4.329049305468529e-42,0.005474252911848493,0.050056024085597485,0.10936251953385943,0.9129179266226953,-0.4930266007469093,0.06068446567858367,-8.124428471665768,5.226188223421425e-16,-0.12923337093972556,0.06923314878736,-1.8666400879244696,0.06199139494698174,0.014910242050937047,0.06997186835718308,0.21308909424606512,0.8312633422791929,-0.1026521330099124,0.017578580586628353,-5.839614438949505,5.453602696502245e-09,-0.09352884337558359,0.026426304084211576,-3.539232844575587,0.00040375595743416065
-2.106,0.045915290097917394,0.04508263435109372,6882,0.558799216925177,0.04293588614378303,13.014735856478632,2.8504420607060003e-38,-0.00537449396937397,0.04902811227877611,-0.10962065883373909,0.9127134254281033,-0.4812122641860872,0.058648648763114083,-8.205001723564623,2.729290645935345e-16,-0.06980073458143687,0.0671184364020737,-1.0399636571283462,0.2983933569961813,0.06251704512214104,0.06790528816386054,0.9206506122363067,0.35726517173659667,-0.10163891233823186,0.017041753111278205,-5.96411130208003,2.5816735266236204e-09,-0.12554951144424187,0.025339325212584158,-4.954729867150951,7.41618902271495e-07
-2.052,0.048639915655459776,0.047738294978462936,6338,0.5210558956054385,0.0422892713140951,12.321231352874353,1.725527873738146e-34,-0.0012254014566431505,0.04840455757782738,-0.025315828053440754,0.9798038468832466,-0.46116776213923794,0.05709308187392615,-8.077471858282163,7.853676471774742e-16,-0.08619136052488231,0.06556080852631449,-1.3146781203939428,0.18866572421440336,0.06789817368617504,0.06627013015207457,1.0245667773756364,0.3056067926085539,-0.10471148970645883,0.016627350588814815,-6.297545068719368,3.2268578769495417e-10,-0.10999520815177355,0.02450394512585741,-4.4888775087772625,7.286783964809105e-06
-1.998,0.05434511595081393,0.053361083813405874,5773,0.49753001438176087,0.041021460968735206,12.128529862965067,1.8998109637136982e-33,-0.010231915881415818,0.047121299141909594,-0.21713993603193277,0.8281069744560713,-0.45397422345826566,0.054735641185007546,-8.293941819806657,1.3508143322284755e-16,-0.13190441700444103,0.06301374885021768,-2.0932640798435114,0.03636917073362865,0.05394391017510794,0.06381063042288856,0.8453749762008075,0.39793658908351026,-0.10516514541747399,0.01594573740022415,-6.5951885935357035,4.6255291152951634e-11,-0.09157559905772573,0.02326293167710062,-3.9365459319072067,8.36362198205936e-05
-1.944,0.06441158087375132,0.06331860374860387,5143,0.48524578323478806,0.04076579999288075,11.903256732838074,3.0118741875547376e-32,-0.038954258547491745,0.04709864421147922,-0.8270781293105149,0.40823120322135165,-0.48918055926724785,0.053536180600325244,-9.137382491276862,9.022474329564497e-20,-0.16453708622426763,0.06161230066123155,-2.670523328271033,0.007597172782125817,0.01957449364073361,0.06253575840957197,0.31301281280595233,0.7542836370942936,-0.10134055995056415,0.015601816561490792,-6.495433371566369,9.061214287454516e-11,-0.08430312288991199,0.02231295356753142,-3.77821441857815,0.00015974510839762698
-1.89,0.07103034465924407,0.06979583348935603,4522,0.43305128454114666,0.04117907565435596,10.516294444684508,1.4322591598908709e-25,-0.03264247158557211,0.047908291763023525,-0.6813532769449766,0.4956829242010129,-0.4510184350692052,0.0532282448805808,-8.473291503055924,3.1889786680164065e-17,-0.15367732689385394,0.06106142916167237,-2.5167659683654375,0.011878120426990409,0.018922830184292617,0.06207496579189359,0.30483835057970765,0.7605033217205169,-0.11336759034010314,0.015364508036048545,-7.378536955047153,1.8945879454129104e-13,-0.07890201913086156,0.02164425406209771,-3.6454025583182683,0.00026997904617733084
-1.836,0.0663879886704759,0.06514730825674897,4522,0.3401495030213789,0.03951206718502789,8.608749864402693,1.0059622453089358e-17,-0.0678281217456199,0.04596887163639538,-1.475522877353328,0.14014175274691668,-0.4090383593297888,0.051073462782794427,-8.008823703012853,1.4614929905977127e-15,-0.11577402222527348,0.058589544644006744,-1.9760184676075354,0.04821346801189906,0.040116147376239926,0.059562051355034666,0.6735185653213568,0.5006519166350949,-0.10884790667062949,0.014742523093061052,-7.383261737732095,1.8292994302167474e-13,-0.08422436321419922,0.020768052878354315,-4.0554771170668005,5.087578235346636e-05
-1.782,,,3336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.728,,,2752,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.674,,,2207,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.6199999999999999,,,1633,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.566,,,1130,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.512,,,706,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.458,,,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.404,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.35,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.296,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.242,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.188,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.134,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.08,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.026,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.972,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.918,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.864,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8099999999999999,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.756,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.702,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.648,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.594,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.54,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.486,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.432,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.378,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.324,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.27,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.216,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.162,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.108,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.054,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0039487288491822925,0.0035620129421739533,15461,-0.2887086209461426,0.03842226554030701,-7.514096758382761,6.043970783533413e-14,-0.2719918366023264,0.047699757695291604,-5.702163904894939,1.2045862499165727e-08,-0.23554595004739026,0.05405373038077321,-4.3576261691491585,1.3232898633938014e-05,-0.3929347183822344,0.05855428286377309,-6.710605939729457,2.0055768352174436e-11,-0.18832867090252897,0.0586783947108589,-3.2095061875930506,0.0013323472247326667,0.021458885256669422,0.01631181996228284,1.3155420612959152,0.18834730730169094,0.061239481401464325,0.021101360816977763,2.902157919227284,0.0037112521379005104
0.054,0.004640836190451747,0.004254263921511625,15456,-0.31598997904640197,0.0387703336244289,-8.150303324893212,3.906337062431607e-16,-0.2827226884478661,0.04813815607036848,-5.873151602121637,4.363678577253949e-09,-0.23240261479926191,0.05454068618145818,-4.26108710891632,2.0464012531352196e-05,-0.3909567961813545,0.0590859172371393,-6.616750902118737,3.792561423615249e-11,-0.22306987858614474,0.05920754139035027,-3.7675923260427937,0.00016544184444623855,0.020005605302807726,0.016464275327922922,1.2150917610615277,0.2243496652224485,0.11181273806185754,0.021291045293267755,5.251632154350487,1.5275644909176324e-07
0.108,0.006277774186753016,0.005891437547416611,15440,-0.16564055862469593,0.03948763159016326,-4.1947453406134025,2.747042814473316e-05,-0.3144044844872054,0.04896879846889899,-6.420506410564467,1.3979012073246332e-10,-0.20729308088002285,0.055530532148385,-3.732956859230307,0.0001899246470189117,-0.39211910554301505,0.06017215715974172,-6.516620378126696,7.413760936219584e-11,-0.23578409723177923,0.060346440974913124,-3.9071748627197094,9.377990773261151e-05,-0.013592464048465931,0.016754001385242755,-0.8112965813909048,0.41720788443456047,0.14295777277089075,0.02170006360830832,6.5878964850663575,4.605365603613214e-11
