peth_time,r_squared,r_squared_adj,n_trials,Intercept_beta,Intercept_se,Intercept_tstat,Intercept_pvalue,C(Q_diff_bin)[T.1]_beta,C(Q_diff_bin)[T.1]_se,C(Q_diff_bin)[T.1]_tstat,C(Q_diff_bin)[T.1]_pvalue,C(Q_diff_bin)[T.2]_beta,C(Q_diff_bin)[T.2]_se,C(Q_diff_bin)[T.2]_tstat,C(Q_diff_bin)[T.2]_pvalue,C(Q_diff_bin)[T.3]_beta,C(Q_diff_bin)[T.3]_se,C(Q_diff_bin)[T.3]_tstat,C(Q_diff_bin)[T.3]_pvalue,C(Q_diff_bin)[T.4]_beta,C(Q_diff_bin)[T.4]_se,C(Q_diff_bin)[T.4]_tstat,C(Q_diff_bin)[T.4]_pvalue,Reward_beta,Reward_se,Reward_tstat,Reward_pvalue,Q_chosen_beta,Q_chosen_se,Q_chosen_tstat,Q_chosen_pvalue,Port_beta,Port_se,Port_tstat,Port_pvalue
-2.16,0.05348564398643063,0.052589929441061556,7405,0.45986657223904237,0.04538383682905628,10.132827111360935,5.661877912420874e-24,0.07453001464435748,0.05004540938780294,1.4892477762909841,0.13646476699625862,-0.037252456190174206,0.07300594723456694,-0.5102660481958088,0.6098803108972823,-0.06075588902852967,0.06895490085125405,-0.8810960247711637,0.3782944759493163,8.491465134301501e-05,0.06942079534440271,0.0012231875322336184,0.9990240707809785,-0.04029510418793527,0.017845539737430565,-2.2579930212711536,0.02397511571296355,0.3241414584415349,0.02620411639419871,12.369867907978614,8.389165731655687e-35,-0.08727559005031628,0.026219394707319217,-3.3286653267381894,0.0008768958656240909
-2.106,0.06288263111909365,0.06192833644609885,6882,0.42565907754234644,0.04419722958207307,9.630899528485354,8.127572938430378e-22,0.06236969089805132,0.048971671967572926,1.27358712480452,0.202852840261275,-0.040265703933102234,0.07029371447409047,-0.5728208309143167,0.5667847487624142,-0.007521313924879815,0.06675760846873142,-0.11266601811241816,0.9102986331406071,0.04285467713282269,0.06732673701850306,0.6365179575098844,0.5244600744612327,-0.03997454931981714,0.017301974629693233,-2.3104038802145612,0.02089526755095639,0.316223162853502,0.025222387232710704,12.537400204664007,1.1421299101320862e-35,-0.11703468932467355,0.025126419874171125,-4.657833862156389,3.2556359459233735e-06
-2.052,0.06708787681457784,0.06605622043822745,6338,0.3919477738162062,0.043441310686837514,9.022466578913889,2.3990648905350114e-19,0.06587143335524273,0.048310420528414305,1.3635036216772265,0.17277233287846874,-0.034067253410311034,0.06822182011362563,-0.4993600779570368,0.6175430930319541,-0.021806029578295003,0.06518171485406261,-0.33454212775955966,0.7379815906669307,0.05210464375758599,0.06564482113170834,0.7937357869106592,0.4273790143784413,-0.04340658303858014,0.016891900864356324,-2.5696683509534775,0.010202273646708613,0.310832484701705,0.024366990190579845,12.756293751120369,8.142512306720513e-37,-0.1035065125743012,0.02427404828054151,-4.264081185719392,2.0364574218868374e-05
-1.998,0.07644165519091106,0.07532024870111675,5773,0.36840577964088517,0.04200721144256214,8.77006035367567,2.31794120359766e-18,0.05912985950766822,0.04694454433290063,1.2595682916497632,0.20787613067921668,-0.02242910701406941,0.06539630853152543,-0.34297206551432585,0.7316319804721645,-0.06266323414752284,0.06255703583945403,-1.0016976237227952,0.31653169645937496,0.038895262631578026,0.06307919646247905,0.6166099889162955,0.5375163522442418,-0.04394830942014185,0.01615687459510894,-2.7200996802590782,0.006545791062112632,0.3124820850562009,0.023336673197227757,13.390172730075411,2.746492790034193e-40,-0.08593343209258744,0.022996552301730148,-3.73679632342637,0.00018818221619227422
-1.944,0.08932334113029217,0.08808191238402385,5143,0.35941362514587666,0.04160091431253932,8.63956071844177,7.435214536780555e-18,0.03179386636248652,0.046853705031512545,0.6785774218090718,0.4974362319412391,-0.0698244338178018,0.06357904811302802,-1.098230248645293,0.2721554522672811,-0.09080816853624643,0.06110987040485823,-1.485982017874271,0.1373452674092083,0.006872789101016102,0.06171288992685475,0.11136715699365368,0.9113295555135437,-0.040102210767449124,0.01580713145844811,-2.536969523715609,0.011211019955303785,0.3021440309906972,0.022540409068873408,13.404549583260899,2.6880407023562365e-40,-0.08106070790877001,0.022017730756822753,-3.6816104622249184,0.0002341453366933259
-1.89,0.09481512825523708,0.09341142996055096,4522,0.323659368969857,0.04187548137732942,7.729090110115844,1.3262387808091123e-14,0.02980243461606717,0.04764252498217214,0.625542718972583,0.5316465436605669,-0.07559312420866796,0.06284592382300566,-1.2028325722693252,0.22910420256781863,-0.08450470726616234,0.06061502763593745,-1.394121401275435,0.16334956409836374,0.007095053643238438,0.06129155724767562,0.11575906963120122,0.9078486391853218,-0.05575956572488304,0.015622449141284904,-3.569194895154382,0.00036180418526983574,0.2907930362808823,0.02205653793956721,13.18398368219107,5.651909296099224e-39,-0.0776825090745277,0.021368033983014553,-3.6354542086687767,0.000280583896794459
-1.836,0.09122467178744886,0.08981540566040236,4522,0.2331570536374892,0.040159670386935464,5.805751177513116,6.846954223050553e-09,-0.006752918599491604,0.04569041445625506,-0.1477972717003254,0.8825093636241128,-0.04184784657658477,0.06027086741170545,-0.694329588634016,0.4875112712037376,-0.04811867524998686,0.05813138023225457,-0.8277573155451743,0.4078517109745017,0.028547808196111187,0.05878018963863706,0.48567056982317564,0.6272243252905623,-0.05255412573269151,0.014982333038691297,-3.5077397890550497,0.000456334871886198,0.28259573543182126,0.021152790711786346,13.359737695242206,5.912106097194544e-40,-0.08303160260392894,0.020492497598828246,-4.051804920483517,5.1678333095549646e-05
-1.782,,,3336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.728,,,2752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.674,,,2207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
